date,아파트전세
2022-12-19,52.52435
2022-12-20,49.51284
2022-12-21,45.52701
2022-12-22,43.48981
2022-12-23,43.13551
2022-12-24,37.90965
2022-12-25,43.75553
2022-12-26,51.99291
2022-12-27,54.29583
2022-12-28,49.60141
2022-12-29,42.69264
2022-12-30,42.42692
2022-12-31,39.68113
2023-01-01,44.99557
2023-01-02,59.69884
2023-01-03,62.35606
2023-01-04,53.85296
2023-01-05,52.43578
2023-01-06,48.89282
2023-01-07,48.09565
2023-01-08,57.04162
2023-01-09,65.89902
2023-01-10,65.98759
2023-01-11,58.72453
2023-01-12,56.68733
2023-01-13,55.97874
2023-01-14,50.39858
2023-01-15,53.94154
2023-01-16,60.23029
2023-01-17,56.68733
2023-01-18,50.22143
2023-01-19,49.15854
2023-01-20,44.46412
2023-01-21,34.36669
2023-01-22,41.98405
2023-01-23,50.39858
2023-01-24,57.83879
2023-01-25,68.91054
2023-01-26,68.37909
2023-01-27,58.37023
2023-01-28,56.42161
2023-01-29,64.03897
2023-01-30,75.02214
2023-01-31,71.47918
2023-02-01,60.93888
2023-02-02,62.97608
2023-02-03,56.95305
2023-02-04,49.77856
2023-02-05,63.2418
2023-02-06,67.40478
2023-02-07,67.05048
2023-02-08,66.96191
2023-02-09,64.65899
2023-02-10,59.69884
2023-02-11,51.55004
2023-02-12,67.84765
2023-02-13,75.19929
2023-02-14,67.49335
2023-02-15,57.83879
2023-02-16,56.24446
2023-02-17,59.43312
2023-02-18,53.67581
2023-02-19,53.94154
2023-02-20,64.83613
2023-02-21,55.97874
2023-02-22,57.30735
2023-02-23,57.39592
2023-02-24,48.44995
2023-02-25,50.13286
2023-02-26,54.56155
2023-02-27,60.23029
2023-02-28,53.14437
2023-03-01,58.8131
2023-03-02,58.8131
2023-03-03,48.89282
2023-03-04,49.51284
2023-03-05,52.79007
2023-03-06,58.19309
2023-03-07,54.7387
2023-03-08,59.34455
2023-03-09,51.46147
2023-03-10,41.45261
2023-03-11,42.07263
2023-03-12,46.94419
2023-03-13,61.29317
2023-03-14,51.63861
2023-03-15,49.24712
2023-03-16,51.90434
2023-03-17,44.10983
2023-03-18,43.8441
2023-03-19,47.20992
2023-03-20,59.61027
2023-03-21,56.42161
2023-03-22,51.37289
2023-03-23,52.3472
2023-03-24,45.08414
2023-03-25,40.03542
2023-03-26,47.29849
2023-03-27,56.42161
2023-03-28,52.3472
2023-03-29,45.17271
2023-03-30,45.08414
2023-03-31,48.44995
2023-04-01,42.42692
2023-04-02,42.69264
2023-04-03,55.44729
2023-04-04,53.41009
2023-04-05,45.43844
2023-04-06,45.70416
2023-04-07,42.1612
2023-04-08,41.62976
2023-04-09,46.50132
2023-04-10,57.04162
2023-04-11,51.81576
2023-04-12,42.86979
2023-04-13,48.71567
2023-04-14,45.26129
2023-04-15,43.57838
2023-04-16,46.50132
2023-04-17,51.90434
2023-04-18,60.67316
2023-04-19,52.3472
2023-04-20,54.29583
2023-04-21,46.05845
2023-04-22,43.22409
2023-04-23,54.56155
2023-04-24,56.86448
2023-04-25,52.43578
2023-04-26,48.89282
2023-04-27,51.55004
2023-04-28,44.37555
2023-04-29,43.31266
2023-04-30,39.50398
2023-05-01,50.57573
2023-05-02,54.03011
2023-05-03,45.08414
2023-05-04,43.22409
2023-05-05,40.74402
2023-05-06,41.71833
2023-05-07,46.05845
2023-05-08,50.93002
2023-05-09,58.10451
2023-05-10,49.95571
2023-05-11,52.7015
2023-05-12,43.8441
2023-05-13,41.00974
2023-05-14,47.65279
2023-05-15,57.04162
2023-05-16,52.7015
2023-05-17,49.77856
2023-05-18,43.48981
2023-05-19,41.27546
2023-05-20,39.59255
2023-05-21,41.98405
2023-05-22,55.35872
2023-05-23,49.15854
2023-05-24,48.89282
2023-05-25,45.26129
2023-05-26,36.22674
2023-05-27,39.59255
