date,전세권설정
2022-08-18,63.85041
2022-08-19,55.40166
2022-08-20,39.19667
2022-08-21,38.78116
2022-08-22,67.72853
2022-08-23,64.54293
2022-08-24,62.67313
2022-08-25,61.7036
2022-08-26,56.16343
2022-08-27,36.91135
2022-08-28,32.54847
2022-08-29,62.11911
2022-08-30,64.54293
2022-08-31,64.19667
2022-09-01,56.64819
2022-09-02,61.49584
2022-09-03,43.28254
2022-09-04,29.91689
2022-09-05,61.63434
2022-09-06,50.83102
2022-09-07,54.98614
2022-09-08,41.68975
2022-09-09,16.27423
2022-09-10,16.68975
2022-09-11,17.17451
2022-09-12,31.44044
2022-09-13,71.60664
2022-09-14,75.06925
2022-09-15,70.77562
2022-09-16,68.21329
2022-09-17,41.82825
2022-09-18,35.87257
2022-09-19,70.98337
2022-09-20,73.61495
2022-09-21,72.92243
2022-09-22,63.5734
2022-09-23,57.06371
2022-09-24,36.08033
2022-09-25,28.94736
2022-09-26,59.97229
2022-09-27,61.91135
2022-09-28,60.2493
2022-09-29,64.81994
2022-09-30,55.95567
2022-10-01,34.14127
2022-10-02,30.3324
2022-10-03,37.25761
2022-10-04,72.36842
2022-10-05,61.28808
2022-10-06,60.66481
2022-10-07,56.71745
2022-10-08,34.34903
2022-10-09,25.20775
2022-10-10,35.87257
2022-10-11,68.42105
2022-10-12,60.18005
2022-10-13,68.83656
2022-10-14,58.03324
2022-10-15,36.14958
2022-10-16,31.37119
2022-10-17,68.07479
2022-10-18,62.81163
2022-10-19,61.7036
2022-10-20,56.44044
2022-10-21,60.04155
2022-10-22,38.50415
2022-10-23,36.35734
2022-10-24,69.52908
2022-10-25,59.83379
2022-10-26,60.1108
2022-10-27,58.03324
2022-10-28,58.86426
2022-10-29,35.59556
2022-10-30,27.77008
2022-10-31,60.38781
2022-11-01,62.32686
2022-11-02,53.39335
2022-11-03,60.52631
2022-11-04,46.26038
2022-11-05,36.77285
2022-11-06,32.68698
2022-11-07,60.1108
2022-11-08,63.71191
2022-11-09,57.68698
2022-11-10,54.22437
2022-11-11,50.277
2022-11-12,32.40997
2022-11-13,26.31578
2022-11-14,59.00277
2022-11-15,61.28808
2022-11-16,55.3324
2022-11-17,58.17174
2022-11-18,46.32963
2022-11-19,29.98614
2022-11-20,27.97783
2022-11-21,58.518
2022-11-22,58.44875
2022-11-23,55.88642
2022-11-24,52.35457
2022-11-25,51.03878
2022-11-26,31.99445
2022-11-27,31.57894
2022-11-28,61.7036
2022-11-29,56.44044
2022-11-30,58.3795
2022-12-01,54.01662
2022-12-02,49.16897
2022-12-03,31.57894
2022-12-04,29.36288
2022-12-05,60.18005
2022-12-06,56.85595
2022-12-07,56.09418
2022-12-08,60.2493
2022-12-09,56.44044
2022-12-10,37.04986
2022-12-11,33.03324
2022-12-12,72.85318
2022-12-13,69.32132
2022-12-14,65.37396
2022-12-15,57.54847
2022-12-16,54.91689
2022-12-17,38.4349
2022-12-18,39.12742
2022-12-19,70.77562
2022-12-20,91.48199
2022-12-21,70.63711
2022-12-22,61.91135
2022-12-23,72.02216
2022-12-24,42.86703
2022-12-25,37.25761
2022-12-26,70.15235
2022-12-27,78.11634
2022-12-28,76.66204
2022-12-29,75.96952
2022-12-30,53.53185
2022-12-31,34.07202
2023-01-01,26.93905
2023-01-02,67.79778
2023-01-03,68.4903
2023-01-04,65.78947
2023-01-05,66.34349
2023-01-06,66.48199
2023-01-07,45.91412
2023-01-08,40.78947
2023-01-09,79.98614
2023-01-10,80.12465
2023-01-11,75.90027
2023-01-12,75.277
2023-01-13,60.38781
2023-01-14,49.03047
2023-01-15,45.70637
2023-01-16,80.81717
2023-01-17,71.19113
2023-01-18,66.27423
2023-01-19,58.86426
2023-01-20,47.85318
2023-01-21,21.19113
2023-01-22,24.79224
2023-01-23,25.41551
2023-01-24,32.06371
2023-01-25,70.91412
2023-01-26,75.06925
2023-01-27,74.16897
2023-01-28,47.29916
2023-01-29,36.49584
2023-01-30,78.73961
2023-01-31,76.66204
2023-02-01,73.68421
2023-02-02,78.73961
2023-02-03,70.42936
2023-02-04,46.60664
2023-02-05,42.65927
2023-02-06,82.82548
2023-02-07,81.16343
2023-02-08,69.66759
2023-02-09,80.26315
2023-02-10,67.31301
2023-02-11,57.47922
2023-02-12,44.25207
2023-02-13,89.88919
2023-02-14,80.47091
2023-02-15,72.16066
2023-02-16,70.42936
2023-02-17,66.20498
2023-02-18,47.71468
2023-02-19,32.89473
2023-02-20,70.01385
2023-02-21,68.00554
2023-02-22,73.68421
2023-02-23,67.03601
2023-02-24,66.96675
2023-02-25,43.83656
2023-02-26,34.41828
2023-02-27,65.72022
2023-02-28,60.45706
2023-03-01,41.759
2023-03-02,60.31855
2023-03-03,55.40166
2023-03-04,43.97506
2023-03-05,37.25761
2023-03-06,61.91135
2023-03-07,65.78947
2023-03-08,65.78947
2023-03-09,70.77562
2023-03-10,61.28808
2023-03-11,39.19667
2023-03-12,35.1108
2023-03-13,74.72299
2023-03-14,66.82825
2023-03-15,66.759
2023-03-16,60.52631
2023-03-17,60.04155
2023-03-18,38.4349
2023-03-19,32.06371
2023-03-20,75.06925
2023-03-21,65.78947
2023-03-22,63.91966
2023-03-23,61.77285
2023-03-24,56.02493
2023-03-25,36.42659
2023-03-26,32.40997
2023-03-27,67.59002
2023-03-28,61.7036
2023-03-29,64.12742
2023-03-30,59.00277
2023-03-31,57.34072
2023-04-01,31.02493
2023-04-02,26.80055
2023-04-03,57.82548
2023-04-04,58.03324
2023-04-05,57.75623
2023-04-06,51.93905
2023-04-07,51.80055
2023-04-08,34.62603
2023-04-09,27.07756
2023-04-10,58.03324
2023-04-11,56.16343
2023-04-12,58.44875
2023-04-13,51.31578
2023-04-14,46.53739
2023-04-15,33.93351
2023-04-16,29.84764
2023-04-17,71.9529
2023-04-18,82.13296
2023-04-19,98.96121
2023-04-20,100.0
2023-04-21,87.18836
2023-04-22,50.20775
2023-04-23,54.08587
2023-04-24,88.78116
2023-04-25,92.24376
2023-04-26,83.24099
2023-04-27,77.97783
2023-04-28,68.07479
2023-04-29,41.8975
2023-04-30,32.06371
2023-05-01,64.40443
2023-05-02,76.03878
2023-05-03,66.48199
2023-05-04,63.5734
2023-05-05,40.0277
2023-05-06,33.86426
2023-05-07,32.54847
2023-05-08,71.53739
2023-05-09,66.20498
2023-05-10,69.18282
2023-05-11,61.35734
2023-05-12,62.67313
2023-05-13,41.41274
2023-05-14,32.27146
2023-05-15,69.52908
2023-05-16,67.59002
2023-05-17,67.93628
2023-05-18,62.04986
2023-05-19,54.77839
2023-05-20,35.52631
2023-05-21,26.93905
2023-05-22,64.33518
2023-05-23,63.36565
2023-05-24,62.67313
2023-05-25,58.31024
2023-05-26,49.93074
2023-05-27,31.71745
