date,사업자등록증발급
2022-05-14,7.5599
2022-05-15,8.80863
2022-05-16,38.94701
2022-05-17,34.96456
2022-05-18,31.6571
2022-05-19,32.29834
2022-05-20,26.02092
2022-05-21,5.73742
2022-05-22,6.68241
2022-05-23,37.02328
2022-05-24,32.26459
2022-05-25,34.05332
2022-05-26,31.15086
2022-05-27,27.94465
2022-05-28,5.97367
2022-05-29,8.84238
2022-05-30,67.8704
2022-05-31,49.81437
2022-06-01,15.3898
2022-06-02,39.892
2022-06-03,32.43334
2022-06-04,8.84238
2022-06-05,5.50118
2022-06-06,9.85487
2022-06-07,40.49949
2022-06-08,41.14073
2022-06-09,35.84205
2022-06-10,33.51333
2022-06-11,7.99865
2022-06-12,8.60614
2022-06-13,100.0
2022-06-14,62.87546
2022-06-15,52.41309
2022-06-16,48.59939
2022-06-17,34.66081
2022-06-18,9.61862
2022-06-19,10.96861
2022-06-20,46.70941
2022-06-21,38.10327
2022-06-22,40.76949
2022-06-23,33.71582
2022-06-24,30.00337
2022-06-25,7.12116
2022-06-26,8.97738
2022-06-27,42.86196
2022-06-28,39.99325
2022-06-29,38.47451
2022-06-30,33.81707
2022-07-01,32.43334
2022-07-02,7.5599
2022-07-03,9.58488
2022-07-04,43.9082
2022-07-05,46.47316
2022-07-06,44.07694
2022-07-07,47.7219
2022-07-08,38.50826
2022-07-09,11.94735
2022-07-10,11.33985
2022-07-11,48.12689
2022-07-12,44.27944
2022-07-13,40.49949
2022-07-14,40.49949
2022-07-15,33.88457
2022-07-16,7.59365
2022-07-17,8.90988
2022-07-18,47.28315
2022-07-19,41.41073
2022-07-20,40.63449
2022-07-21,37.32703
2022-07-22,31.82585
2022-07-23,7.4249
2022-07-24,8.57239
2022-07-25,44.41444
2022-07-26,38.06952
2022-07-27,35.8083
2022-07-28,32.90583
2022-07-29,37.12453
2022-07-30,6.58116
2022-07-31,8.23489
2022-08-01,40.97198
2022-08-02,38.74451
2022-08-03,33.04083
2022-08-04,34.25582
2022-08-05,29.02463
2022-08-06,7.5599
2022-08-07,9.11238
2022-08-08,38.20452
2022-08-09,37.46203
2022-08-10,36.44954
2022-08-11,32.36584
2022-08-12,29.46338
2022-08-13,6.98616
2022-08-14,6.41241
2022-08-15,12.45359
2022-08-16,40.22949
2022-08-17,39.14951
2022-08-18,32.80458
2022-08-19,28.11339
2022-08-20,7.39115
2022-08-21,8.50489
2022-08-22,37.05703
2022-08-23,33.71582
2022-08-24,32.63584
2022-08-25,32.60209
2022-08-26,29.83462
2022-08-27,7.18866
2022-08-28,8.67364
2022-08-29,39.217
2022-08-30,33.78332
2022-08-31,35.5383
2022-09-01,35.3358
2022-09-02,28.28214
2022-09-03,6.98616
2022-09-04,7.2899
2022-09-05,33.58083
2022-09-06,33.27708
2022-09-07,32.23084
2022-09-08,22.91596
2022-09-09,4.69119
2022-09-10,3.44245
2022-09-11,4.48869
2022-09-12,9.28113
2022-09-13,40.83698
2022-09-14,40.93823
2022-09-15,37.02328
2022-09-16,31.6571
2022-09-17,7.79615
2022-09-18,9.58488
2022-09-19,39.6895
2022-09-20,36.55079
2022-09-21,39.892
2022-09-22,35.3358
2022-09-23,27.9784
2022-09-24,7.32365
2022-09-25,10.22612
2022-09-26,43.4357
2022-09-27,40.76949
2022-09-28,39.65575
2022-09-29,37.22578
2022-09-30,32.26459
2022-10-01,8.47114
2022-10-02,7.99865
2022-10-03,12.79109
2022-10-04,65.81167
2022-10-05,66.21667
2022-10-06,46.16942
2022-10-07,40.76949
2022-10-08,10.36112
2022-10-09,8.36989
2022-10-10,12.82483
2022-10-11,53.56058
2022-10-12,52.44684
2022-10-13,46.33817
2022-10-14,38.27202
2022-10-15,11.03611
2022-10-16,12.31859
2022-10-17,47.28315
2022-10-18,43.8407
2022-10-19,41.20823
2022-10-20,37.59703
2022-10-21,33.58083
2022-10-22,9.82112
2022-10-23,10.46236
2022-10-24,46.16942
2022-10-25,47.41815
2022-10-26,42.52446
2022-10-27,38.60951
2022-10-28,33.85082
2022-10-29,8.70739
2022-10-30,9.61862
2022-10-31,46.47316
2022-11-01,49.20688
2022-11-02,43.13196
2022-11-03,44.51569
2022-11-04,35.9433
2022-11-05,8.90988
2022-11-06,11.87985
2022-11-07,40.46574
2022-11-08,44.24569
2022-11-09,40.66824
2022-11-10,41.68072
2022-11-11,36.04454
2022-11-12,9.65237
2022-11-13,10.69861
2022-11-14,49.37563
2022-11-15,47.6544
2022-11-16,41.74822
2022-11-17,40.90448
2022-11-18,36.28079
2022-11-19,8.70739
2022-11-20,11.5086
2022-11-21,47.14816
2022-11-22,42.86196
2022-11-23,40.83698
2022-11-24,37.86702
2022-11-25,35.77455
2022-11-26,10.05737
2022-11-27,11.7111
2022-11-28,44.98818
2022-11-29,45.35943
2022-11-30,38.84576
2022-12-01,38.37327
2022-12-02,35.03206
2022-12-03,8.77489
2022-12-04,11.40735
2022-12-05,46.30442
2022-12-06,42.82821
2022-12-07,42.35572
2022-12-08,40.76949
2022-12-09,32.90583
2022-12-10,8.63989
2022-12-11,12.48734
2022-12-12,50.15187
2022-12-13,43.5707
2022-12-14,43.53695
2022-12-15,41.00573
2022-12-16,33.44583
2022-12-17,9.98987
2022-12-18,12.25109
2022-12-19,46.27067
2022-12-20,45.35943
2022-12-21,37.93452
2022-12-22,39.352
2022-12-23,32.80458
2022-12-24,9.34863
2022-12-25,9.88862
2022-12-26,47.7894
2022-12-27,47.48565
2022-12-28,43.53695
2022-12-29,43.13196
2022-12-30,31.3871
2022-12-31,9.61862
2023-01-01,12.79109
2023-01-02,61.69422
2023-01-03,58.11677
2023-01-04,54.77556
2023-01-05,54.77556
2023-01-06,42.79446
2023-01-07,11.81235
2023-01-08,16.43604
2023-01-09,66.25042
2023-01-10,59.73675
2023-01-11,54.53931
2023-01-12,53.22308
2023-01-13,46.20317
2023-01-14,11.47485
2023-01-15,15.82855
2023-01-16,67.7354
2023-01-17,58.69051
2023-01-18,56.56429
2023-01-19,50.75936
2023-01-20,37.36078
2023-01-21,8.70739
2023-01-22,7.08741
2023-01-23,8.36989
2023-01-24,16.03104
2023-01-25,61.99797
2023-01-26,62.33547
2023-01-27,52.04184
2023-01-28,13.66857
2023-01-29,17.31353
2023-01-30,67.09416
2023-01-31,61.69422
2023-02-01,61.86297
2023-02-02,56.90178
2023-02-03,48.43064
2023-02-04,11.9136
2023-02-05,12.68984
2023-02-06,66.99291
2023-02-07,60.91798
2023-02-08,57.13803
2023-02-09,50.28687
2023-02-10,45.46068
2023-02-11,12.38609
2023-02-12,15.82855
2023-02-13,59.2305
2023-02-14,56.66554
2023-02-15,54.74181
2023-02-16,54.30307
2023-02-17,43.5707
2023-02-18,11.87985
2023-02-19,13.53358
2023-02-20,58.89301
2023-02-21,56.73304
2023-02-22,54.37057
2023-02-23,51.4006
2023-02-24,45.86567
2023-02-25,11.5086
2023-02-26,12.82483
2023-02-27,58.21802
2023-02-28,51.6031
2023-03-01,23.2872
2023-03-02,65.40668
2023-03-03,48.70064
2023-03-04,12.38609
2023-03-05,16.57104
2023-03-06,69.22038
2023-03-07,59.838
2023-03-08,57.37428
2023-03-09,53.52683
2023-03-10,46.74316
2023-03-11,10.49611
2023-03-12,14.24232
2023-03-13,63.17921
2023-03-14,58.31927
2023-03-15,54.67431
2023-03-16,53.18933
2023-03-17,43.19946
2023-03-18,10.63111
2023-03-19,14.30982
2023-03-20,57.81302
2023-03-21,57.67802
2023-03-22,52.75059
2023-03-23,52.07559
2023-03-24,44.68444
2023-03-25,11.6436
2023-03-26,13.06108
2023-03-27,60.14174
2023-03-28,58.82551
2023-03-29,51.09686
2023-03-30,49.88187
2023-03-31,40.33074
2023-04-01,11.06986
2023-04-02,14.20857
2023-04-03,61.89672
2023-04-04,55.24805
2023-04-05,55.4843
2023-04-06,56.76679
2023-04-07,49.74687
2023-04-08,13.06108
2023-04-09,12.58859
2023-04-10,61.62672
2023-04-11,57.98177
2023-04-12,57.23928
2023-04-13,53.42558
2023-04-14,41.88322
2023-04-15,11.06986
2023-04-16,13.29733
2023-04-17,61.32298
2023-04-18,52.54809
2023-04-19,52.71684
2023-04-20,48.12689
2023-04-21,41.27573
2023-04-22,9.78737
2023-04-23,13.46608
2023-04-24,56.39554
2023-04-25,52.85183
2023-04-26,49.91562
2023-04-27,46.54066
2023-04-28,39.99325
2023-04-29,9.75362
2023-04-30,10.05737
2023-05-01,28.88963
2023-05-02,58.31927
2023-05-03,53.39183
2023-05-04,44.34694
2023-05-05,11.00236
2023-05-06,9.51738
2023-05-07,13.29733
2023-05-08,54.16807
2023-05-09,57.50928
2023-05-10,55.5518
2023-05-11,51.02936
2023-05-12,42.49071
2023-05-13,10.52986
2023-05-14,12.75734
2023-05-15,57.91427
2023-05-16,54.10057
2023-05-17,53.22308
2023-05-18,46.60816
2023-05-19,40.80323
2023-05-20,9.88862
2023-05-21,12.92608
2023-05-22,52.21059
2023-05-23,53.76307
2023-05-24,52.17684
2023-05-25,46.23692
