date,종합지수
2022-01-23,2.26937
2022-01-24,62.33421
2022-01-25,83.81962
2022-01-26,65.87091
2022-01-27,97.73062
2022-01-28,74.88947
2022-01-29,4.33244
2022-01-30,2.50515
2022-01-31,2.32832
2022-02-01,3.59563
2022-02-02,3.80194
2022-02-03,50.72207
2022-02-04,51.95991
2022-02-05,4.50928
2022-02-06,2.35779
2022-02-07,55.37872
2022-02-08,52.16622
2022-02-09,48.12849
2022-02-10,53.49248
2022-02-11,52.84409
2022-02-12,4.33244
2022-02-13,2.00412
2022-02-14,57.47126
2022-02-15,56.94076
2022-02-16,48.62953
2022-02-17,57.11759
2022-02-18,52.81461
2022-02-19,4.77453
2022-02-20,1.50309
2022-02-21,53.13881
2022-02-22,62.12791
2022-02-23,58.67963
2022-02-24,80.16504
2022-02-25,62.74683
2022-02-26,5.48187
2022-02-27,2.15148
2022-02-28,48.68847
2022-03-01,6.63129
2022-03-02,50.86943
2022-03-03,44.14972
2022-03-04,53.05039
2022-03-05,4.2735
2022-03-06,2.7704
2022-03-07,64.19098
2022-03-08,65.45829
2022-03-09,6.33657
2022-03-10,47.65694
2022-03-11,52.54936
2022-03-12,4.33244
2022-03-13,2.62304
2022-03-14,54.49454
2022-03-15,51.31152
2022-03-16,49.10109
2022-03-17,48.04008
2022-03-18,50.54524
2022-03-19,3.68405
2022-03-20,1.79781
2022-03-21,46.38962
2022-03-22,41.173
2022-03-23,43.94341
2022-03-24,43.85499
2022-03-25,42.29295
2022-03-26,3.15355
2022-03-27,1.50309
2022-03-28,41.55614
2022-03-29,38.93309
2022-03-30,41.29089
2022-03-31,39.43412
2022-04-01,41.26142
2022-04-02,2.47568
2022-04-03,1.26731
2022-04-04,37.13527
2022-04-05,35.30798
2022-04-06,43.11818
2022-04-07,50.27998
2022-04-08,41.26142
2022-04-09,2.7704
2022-04-10,1.47362
2022-04-11,45.15178
2022-04-12,48.24638
2022-04-13,42.26348
2022-04-14,49.04214
2022-04-15,43.88446
2022-04-16,3.80194
2022-04-17,1.73887
2022-04-18,42.0277
2022-04-19,39.49307
2022-04-20,41.32036
2022-04-21,37.37105
2022-04-22,41.79192
2022-04-23,4.2735
2022-04-24,1.41467
2022-04-25,50.39787
2022-04-26,41.02564
2022-04-27,53.84615
2022-04-28,43.88446
2022-04-29,39.72885
2022-04-30,3.80194
2022-05-01,2.29885
2022-05-02,42.41084
2022-05-03,38.07839
2022-05-04,39.10993
2022-05-05,4.95137
2022-05-06,46.03595
2022-05-07,4.03772
2022-05-08,1.3852
2022-05-09,46.97907
2022-05-10,55.76186
2022-05-11,47.71588
2022-05-12,58.67963
2022-05-13,48.77689
2022-05-14,4.65664
2022-05-15,2.18096
2022-05-16,46.18331
2022-05-17,41.79192
2022-05-18,46.71382
2022-05-19,57.64809
2022-05-20,46.38962
2022-05-21,3.71352
2022-05-22,1.76834
2022-05-23,43.2066
2022-05-24,49.63159
2022-05-25,44.41497
2022-05-26,45.38756
2022-05-27,40.90775
2022-05-28,4.03772
2022-05-29,1.85676
2022-05-30,37.81314
2022-05-31,43.14765
2022-06-01,5.01031
2022-06-02,44.76864
2022-06-03,41.64456
2022-06-04,3.27144
2022-06-05,1.73887
2022-06-06,3.18302
2022-06-07,47.98113
2022-06-08,46.18331
2022-06-09,47.4801
2022-06-10,55.2903
2022-06-11,4.74506
2022-06-12,1.94518
2022-06-13,81.78603
2022-06-14,80.45977
2022-06-15,84.46802
2022-06-16,70.08547
2022-06-17,78.57353
2022-06-18,5.18715
2022-06-19,3.86089
2022-06-20,85.58797
2022-06-21,72.8264
2022-06-22,89.44886
2022-06-23,90.4804
2022-06-24,72.6201
2022-06-25,5.4524
2022-06-26,3.00618
2022-06-27,66.78455
2022-06-28,58.47332
2022-06-29,66.1951
2022-06-30,69.31918
2022-07-01,74.65369
2022-07-02,5.92396
2022-07-03,2.62304
2022-07-04,74.47686
2022-07-05,63.39522
2022-07-06,78.16091
2022-07-07,64.63306
2022-07-08,63.60153
2022-07-09,4.65664
2022-07-10,2.35779
2022-07-11,60.06483
2022-07-12,65.10462
2022-07-13,59.29855
2022-07-14,62.06896
2022-07-15,64.89832
2022-07-16,4.2735
2022-07-17,1.76834
2022-07-18,54.9661
2022-07-19,57.79546
2022-07-20,58.09018
2022-07-21,53.49248
2022-07-22,61.77424
2022-07-23,3.743
2022-07-24,1.88623
2022-07-25,54.87768
2022-07-26,52.69672
2022-07-27,52.28411
2022-07-28,53.2567
2022-07-29,47.42116
2022-07-30,3.89036
2022-07-31,1.9157
2022-08-01,50.30946
2022-08-02,55.67344
2022-08-03,49.1895
2022-08-04,50.30946
2022-08-05,46.47804
2022-08-06,3.38933
2022-08-07,2.12201
2022-08-08,47.89272
2022-08-09,48.659
2022-08-10,48.42322
2022-08-11,47.00854
2022-08-12,54.40613
2022-08-13,3.06513
2022-08-14,1.97465
2022-08-15,2.97671
2022-08-16,44.41497
2022-08-17,49.86737
2022-08-18,50.48629
2022-08-19,50.98732
2022-08-20,3.21249
2022-08-21,1.56203
2022-08-22,53.90509
2022-08-23,52.60831
