date,필리핀환율
2022-05-05,10.09025
2022-05-06,12.99467
2022-05-07,7.86854
2022-05-08,7.63133
2022-05-09,12.74589
2022-05-10,13.77574
2022-05-11,13.54431
2022-05-12,14.6031
2022-05-13,14.01295
2022-05-14,8.30826
2022-05-15,7.70654
2022-05-16,14.61467
2022-05-17,14.02453
2022-05-18,12.57232
2022-05-19,12.8211
2022-05-20,13.11617
2022-05-21,8.05369
2022-05-22,7.66026
2022-05-23,13.60217
2022-05-24,13.47489
2022-05-25,13.24924
2022-05-26,12.91367
2022-05-27,12.72274
2022-05-28,8.64383
2022-05-29,7.86854
2022-05-30,16.13631
2022-05-31,16.21152
2022-06-01,12.58967
2022-06-02,15.23952
2022-06-03,14.73617
2022-06-04,9.85304
2022-06-05,8.21569
2022-06-06,11.12589
2022-06-07,13.78731
2022-06-08,14.85767
2022-06-09,14.37167
2022-06-10,14.20388
2022-06-11,10.31589
2022-06-12,10.02082
2022-06-13,18.19023
2022-06-14,17.49595
2022-06-15,17.57116
2022-06-16,16.9058
2022-06-17,15.71395
2022-06-18,10.68039
2022-06-19,10.15389
2022-06-20,17.95302
2022-06-21,16.92895
2022-06-22,18.85558
2022-06-23,18.60101
2022-06-24,19.38208
2022-06-25,11.94168
2022-06-26,11.07961
2022-06-27,20.75329
2022-06-28,19.19115
2022-06-29,18.20759
2022-06-30,19.45151
2022-07-01,20.15158
2022-07-02,12.63017
2022-07-03,11.31103
2022-07-04,19.9838
2022-07-05,18.97708
2022-07-06,20.63758
2022-07-07,20.26151
2022-07-08,19.49201
2022-07-09,12.42189
2022-07-10,11.95325
2022-07-11,19.7003
2022-07-12,19.89701
2022-07-13,18.73987
2022-07-14,18.76301
2022-07-15,19.09858
2022-07-16,12.17889
2022-07-17,12.06317
2022-07-18,20.82851
2022-07-19,19.59615
2022-07-20,17.72737
2022-07-21,18.25966
2022-07-22,15.84702
2022-07-23,11.7276
2022-07-24,11.54825
2022-07-25,18.68201
2022-07-26,19.02337
2022-07-27,18.39273
2022-07-28,19.49201
2022-07-29,19.50358
2022-07-30,12.80953
2022-07-31,12.20203
2022-08-01,20.47558
2022-08-02,18.51423
2022-08-03,18.58366
2022-08-04,16.94052
2022-08-05,17.58273
2022-08-06,12.4971
2022-08-07,11.93589
2022-08-08,19.69451
2022-08-09,17.72737
2022-08-10,17.87202
2022-08-11,17.36287
2022-08-12,18.03401
2022-08-13,11.39203
2022-08-14,12.38717
2022-08-15,14.61467
2022-08-16,18.10923
2022-08-17,17.20087
2022-08-18,16.43138
2022-08-19,18.06294
2022-08-20,12.14996
2022-08-21,11.88382
2022-08-22,22.05507
2022-08-23,19.23744
2022-08-24,19.24901
2022-08-25,19.44573
2022-08-26,18.1208
2022-08-27,11.50775
2022-08-28,11.13168
2022-08-29,20.49872
2022-08-30,19.52672
2022-08-31,19.1333
2022-09-01,19.2548
2022-09-02,20.07637
2022-09-03,13.05831
2022-09-04,11.39782
2022-09-05,23.1775
2022-09-06,20.55658
2022-09-07,23.81393
2022-09-08,21.64429
2022-09-09,15.43624
2022-09-10,12.56653
2022-09-11,12.5376
2022-09-12,17.18352
2022-09-13,24.1495
2022-09-14,24.90742
2022-09-15,24.10321
2022-09-16,20.93844
2022-09-17,13.60217
2022-09-18,12.9021
2022-09-19,22.15922
2022-09-20,20.75908
2022-09-21,21.7195
2022-09-22,26.32492
2022-09-23,22.21707
2022-09-24,15.29738
2022-09-25,14.42374
2022-09-26,26.33071
2022-09-27,24.90164
2022-09-28,26.6547
2022-09-29,25.59592
2022-09-30,24.27678
2022-10-01,17.24137
2022-10-02,16.80166
2022-10-03,21.10622
2022-10-04,25.55542
2022-10-05,24.61235
2022-10-06,26.18606
2022-10-07,23.24114
2022-10-08,13.90881
2022-10-09,13.82203
2022-10-10,17.28766
2022-10-11,23.93543
2022-10-12,23.75028
2022-10-13,22.06086
2022-10-14,22.83614
2022-10-15,15.72552
2022-10-16,14.38324
2022-10-17,24.0685
2022-10-18,23.31636
2022-10-19,24.85535
2022-10-20,22.732
2022-10-21,23.59407
2022-10-22,15.99745
2022-10-23,14.92131
2022-10-24,23.04443
2022-10-25,24.32307
2022-10-26,21.84679
2022-10-27,22.43693
2022-10-28,21.41286
2022-10-29,13.60796
2022-10-30,12.18467
2022-10-31,21.18143
2022-11-01,21.11201
2022-11-02,23.59407
2022-11-03,22.44272
2022-11-04,21.52279
2022-11-05,14.89817
2022-11-06,15.10645
2022-11-07,26.03563
2022-11-08,27.51099
2022-11-09,31.19069
2022-11-10,29.14255
2022-11-11,34.74311
2022-11-12,20.44665
2022-11-13,17.33973
2022-11-14,32.75862
2022-11-15,31.32376
2022-11-16,27.37213
2022-11-17,29.25827
2022-11-18,24.54292
2022-11-19,17.19509
2022-11-20,15.93959
2022-11-21,26.7762
2022-11-22,25.01157
2022-11-23,23.30479
2022-11-24,24.08007
2022-11-25,24.47928
2022-11-26,17.7158
2022-11-27,15.98009
2022-11-28,24.98264
2022-11-29,25.52649
2022-11-30,24.84378
2022-12-01,30.76834
2022-12-02,25.94885
2022-12-03,16.83638
2022-12-04,17.2703
2022-12-05,27.49942
2022-12-06,26.49271
2022-12-07,27.86392
2022-12-08,26.6547
2022-12-09,27.91599
2022-12-10,18.22494
2022-12-11,17.62902
2022-12-12,27.07706
2022-12-13,25.90256
2022-12-14,27.3432
2022-12-15,26.29021
2022-12-16,25.76371
2022-12-17,18.41587
2022-12-18,16.61652
2022-12-19,25.89678
2022-12-20,26.88613
2022-12-21,29.28141
2022-12-22,36.51932
2022-12-23,33.28511
2022-12-24,25.49178
2022-12-25,24.25364
2022-12-26,29.26984
2022-12-27,33.67854
2022-12-28,36.53668
2022-12-29,33.8984
2022-12-30,29.37977
2022-12-31,24.06271
2023-01-01,22.95186
2023-01-02,34.49433
2023-01-03,33.63804
2023-01-04,54.18884
2023-01-05,62.17889
2023-01-06,44.16223
2023-01-07,35.98704
2023-01-08,32.81647
2023-01-09,40.00809
2023-01-10,36.59453
2023-01-11,46.09465
2023-01-12,48.61721
2023-01-13,41.59338
2023-01-14,33.22147
2023-01-15,32.75862
2023-01-16,39.43531
2023-01-17,34.85304
2023-01-18,49.32885
2023-01-19,52.80027
2023-01-20,40.38417
2023-01-21,30.35177
2023-01-22,28.14163
2023-01-23,31.78662
2023-01-24,35.14232
2023-01-25,51.01828
2023-01-26,51.67206
2023-01-27,41.7843
2023-01-28,35.33904
2023-01-29,34.03725
2023-01-30,39.57417
2023-01-31,35.31589
2023-02-01,33.7769
2023-02-02,35.24068
2023-02-03,35.84818
2023-02-04,30.97084
2023-02-05,30.05669
2023-02-06,41.03216
2023-02-07,39.17495
2023-02-08,37.11525
2023-02-09,36.40361
2023-02-10,33.19833
2023-02-11,27.37792
2023-02-12,27.92177
