date,이벤트응모
2022-06-22,62.24899
2022-06-23,61.24497
2022-06-24,62.8514
2022-06-25,55.42168
2022-06-26,56.02409
2022-06-27,61.44578
2022-06-28,67.67068
2022-06-29,63.45381
2022-06-30,65.86345
2022-07-01,61.64658
2022-07-02,62.24899
2022-07-03,58.83534
2022-07-04,66.86746
2022-07-05,70.28112
2022-07-06,68.67469
2022-07-07,70.28112
2022-07-08,60.04016
2022-07-09,54.21686
2022-07-10,53.81526
2022-07-11,67.46987
2022-07-12,68.27309
2022-07-13,69.2771
2022-07-14,65.26104
2022-07-15,59.43775
2022-07-16,50.6024
2022-07-17,54.41767
2022-07-18,61.04417
2022-07-19,65.26104
2022-07-20,69.0763
2022-07-21,76.10441
2022-07-22,63.25301
2022-07-23,54.61847
2022-07-24,60.44176
2022-07-25,64.85943
2022-07-26,66.86746
2022-07-27,69.0763
2022-07-28,64.05622
2022-07-29,73.09236
2022-07-30,53.41365
2022-07-31,56.02409
2022-08-01,62.24899
2022-08-02,67.67068
2022-08-03,73.69477
2022-08-04,68.27309
2022-08-05,70.88353
2022-08-06,59.23694
2022-08-07,61.64658
2022-08-08,75.1004
2022-08-09,70.88353
2022-08-10,80.12048
2022-08-11,67.26907
2022-08-12,70.68273
2022-08-13,59.23694
2022-08-14,58.83534
2022-08-15,63.25301
2022-08-16,69.2771
2022-08-17,76.50602
2022-08-18,68.07228
2022-08-19,72.08835
2022-08-20,58.83534
2022-08-21,61.84738
2022-08-22,69.0763
2022-08-23,66.86746
2022-08-24,73.09236
2022-08-25,70.48192
2022-08-26,70.48192
2022-08-27,60.44176
2022-08-28,60.24096
2022-08-29,68.47389
2022-08-30,66.46586
2022-08-31,70.28112
2022-09-01,75.3012
2022-09-02,73.49397
2022-09-03,66.66666
2022-09-04,69.87951
2022-09-05,76.50602
2022-09-06,70.28112
2022-09-07,75.1004
2022-09-08,69.67871
2022-09-09,57.42971
2022-09-10,55.82329
2022-09-11,57.63052
2022-09-12,62.04819
2022-09-13,72.28915
2022-09-14,77.51004
2022-09-15,72.48995
2022-09-16,73.09236
2022-09-17,61.24497
2022-09-18,58.63453
2022-09-19,69.87951
2022-09-20,71.48594
2022-09-21,65.26104
2022-09-22,64.85943
2022-09-23,66.06425
2022-09-24,59.63855
2022-09-25,58.43373
2022-09-26,67.67068
2022-09-27,69.67871
2022-09-28,69.87951
2022-09-29,66.26506
2022-09-30,70.28112
2022-10-01,64.65863
2022-10-02,67.06827
2022-10-03,70.08032
2022-10-04,83.33333
2022-10-05,80.32128
2022-10-06,78.51405
2022-10-07,73.69477
2022-10-08,68.8755
2022-10-09,71.08433
2022-10-10,73.49397
2022-10-11,84.53815
2022-10-12,83.13253
2022-10-13,80.12048
2022-10-14,82.93172
2022-10-15,69.0763
2022-10-16,71.48594
2022-10-17,71.68674
2022-10-18,76.50602
2022-10-19,71.88755
2022-10-20,79.71887
2022-10-21,72.08835
2022-10-22,62.6506
2022-10-23,66.06425
2022-10-24,72.69076
2022-10-25,78.71485
2022-10-26,73.49397
2022-10-27,77.51004
2022-10-28,67.67068
2022-10-29,60.04016
2022-10-30,60.44176
2022-10-31,78.91566
2022-11-01,78.91566
2022-11-02,76.50602
2022-11-03,80.92369
2022-11-04,76.10441
2022-11-05,62.04819
2022-11-06,61.44578
2022-11-07,88.35341
2022-11-08,85.34136
2022-11-09,77.10843
2022-11-10,79.91967
2022-11-11,74.09638
2022-11-12,75.1004
2022-11-13,71.88755
2022-11-14,83.73493
2022-11-15,84.93975
2022-11-16,89.55823
2022-11-17,84.73895
2022-11-18,83.53413
2022-11-19,68.27309
2022-11-20,67.46987
2022-11-21,80.32128
2022-11-22,85.94377
2022-11-23,85.14056
2022-11-24,75.90361
2022-11-25,83.73493
2022-11-26,71.28514
2022-11-27,72.89156
2022-11-28,82.93172
2022-11-29,83.33333
2022-11-30,82.53012
2022-12-01,86.14457
2022-12-02,83.13253
2022-12-03,69.87951
2022-12-04,65.06024
2022-12-05,84.33734
2022-12-06,78.71485
2022-12-07,79.11646
2022-12-08,76.30522
2022-12-09,74.69879
2022-12-10,64.05622
2022-12-11,67.87148
2022-12-12,78.51405
2022-12-13,82.12851
2022-12-14,78.51405
2022-12-15,80.92369
2022-12-16,83.53413
2022-12-17,62.44979
2022-12-18,62.44979
2022-12-19,74.89959
2022-12-20,74.09638
2022-12-21,81.92771
2022-12-22,79.91967
2022-12-23,74.09638
2022-12-24,66.66666
2022-12-25,70.28112
2022-12-26,77.71084
2022-12-27,90.36144
2022-12-28,81.12449
2022-12-29,77.71084
2022-12-30,79.71887
2022-12-31,63.65461
2023-01-01,72.48995
2023-01-02,84.93975
2023-01-03,68.8755
2023-01-04,70.48192
2023-01-05,81.12449
2023-01-06,79.71887
2023-01-07,66.06425
2023-01-08,65.06024
2023-01-09,76.70682
2023-01-10,79.31726
2023-01-11,85.14056
2023-01-12,74.49799
2023-01-13,74.69879
2023-01-14,61.84738
2023-01-15,65.86345
2023-01-16,73.09236
2023-01-17,74.69879
2023-01-18,76.70682
2023-01-19,73.09236
2023-01-20,67.67068
2023-01-21,63.45381
2023-01-22,56.6265
2023-01-23,59.23694
2023-01-24,63.25301
2023-01-25,73.49397
2023-01-26,73.29317
2023-01-27,78.31325
2023-01-28,68.67469
2023-01-29,68.27309
2023-01-30,76.70682
2023-01-31,72.48995
2023-02-01,75.90361
2023-02-02,74.69879
2023-02-03,72.69076
2023-02-04,63.25301
2023-02-05,60.64257
2023-02-06,78.51405
2023-02-07,71.48594
2023-02-08,81.3253
2023-02-09,85.14056
2023-02-10,78.11244
2023-02-11,64.05622
2023-02-12,63.85542
2023-02-13,75.502
2023-02-14,73.69477
2023-02-15,78.11244
2023-02-16,80.32128
2023-02-17,74.29718
2023-02-18,75.1004
2023-02-19,69.2771
2023-02-20,81.3253
2023-02-21,92.36947
2023-02-22,91.36546
2023-02-23,83.13253
2023-02-24,57.22891
2023-02-25,54.41767
2023-02-26,56.8273
2023-02-27,63.25301
2023-02-28,66.06425
2023-03-01,64.25702
2023-03-02,65.66265
2023-03-03,72.89156
2023-03-04,63.45381
2023-03-05,62.04819
2023-03-06,62.44979
2023-03-07,65.26104
2023-03-08,60.44176
2023-03-09,59.83935
2023-03-10,60.24096
2023-03-11,54.81927
2023-03-12,60.24096
2023-03-13,61.04417
2023-03-14,64.25702
2023-03-15,60.04016
2023-03-16,64.65863
2023-03-17,59.43775
2023-03-18,56.6265
2023-03-19,52.20883
2023-03-20,61.24497
2023-03-21,68.07228
2023-03-22,74.89959
2023-03-23,68.47389
2023-03-24,67.26907
2023-03-25,57.42971
2023-03-26,58.03212
2023-03-27,66.06425
2023-03-28,61.84738
2023-03-29,66.26506
2023-03-30,60.64257
2023-03-31,65.46184
2023-04-01,56.6265
2023-04-02,56.02409
2023-04-03,61.44578
2023-04-04,62.24899
2023-04-05,70.68273
2023-04-06,65.86345
2023-04-07,62.6506
2023-04-08,56.02409
2023-04-09,57.63052
2023-04-10,68.27309
2023-04-11,67.87148
2023-04-12,63.25301
2023-04-13,60.84337
2023-04-14,63.65461
2023-04-15,57.42971
2023-04-16,58.03212
2023-04-17,64.85943
2023-04-18,64.65863
2023-04-19,65.46184
2023-04-20,68.27309
2023-04-21,60.84337
2023-04-22,55.62248
2023-04-23,52.81124
2023-04-24,63.45381
2023-04-25,65.26104
2023-04-26,61.84738
2023-04-27,61.84738
2023-04-28,54.81927
2023-04-29,53.01204
2023-04-30,50.0
2023-05-01,58.23293
2023-05-02,64.45783
2023-05-03,64.65863
2023-05-04,62.04819
2023-05-05,54.21686
2023-05-06,57.83132
2023-05-07,54.41767
2023-05-08,55.02008
2023-05-09,56.02409
2023-05-10,62.04819
2023-05-11,64.65863
2023-05-12,56.4257
2023-05-13,53.21285
2023-05-14,48.79518
2023-05-15,58.63453
2023-05-16,57.83132
2023-05-17,54.21686
2023-05-18,59.83935
2023-05-19,59.23694
2023-05-20,52.81124
2023-05-21,53.21285
2023-05-22,58.23293
2023-05-23,59.03614
2023-05-24,60.84337
2023-05-25,59.63855
2023-05-26,58.63453
