date,원자재가격
2022-02-24,66.2636
2022-02-25,64.63119
2022-02-26,33.07134
2022-02-27,22.06771
2022-02-28,40.81015
2022-03-01,39.17775
2022-03-02,61.30592
2022-03-03,58.04111
2022-03-04,64.81257
2022-03-05,39.48004
2022-03-06,24.66747
2022-03-07,76.84401
2022-03-08,100.0
2022-03-09,61.97097
2022-03-10,88.81499
2022-03-11,73.39782
2022-03-12,39.11729
2022-03-13,26.96493
2022-03-14,63.36154
2022-03-15,70.07255
2022-03-16,66.08222
2022-03-17,65.29625
2022-03-18,60.8827
2022-03-19,28.11366
2022-03-20,20.61668
2022-03-21,53.14389
2022-03-22,60.64087
2022-03-23,55.98548
2022-03-24,51.81378
2022-03-25,48.54897
2022-03-26,25.57436
2022-03-27,17.95646
2022-03-28,46.67472
2022-03-29,49.63724
2022-03-30,51.81378
2022-03-31,49.03264
2022-04-01,44.9214
2022-04-02,21.46311
2022-04-03,16.20314
2022-04-04,41.89842
2022-04-05,44.43772
2022-04-06,45.64691
2022-04-07,44.25634
2022-04-08,34.70374
2022-04-09,19.46795
2022-04-10,11.97097
2022-04-11,34.09915
2022-04-12,41.53567
2022-04-13,40.62877
2022-04-14,36.69891
2022-04-15,33.37363
2022-04-16,14.81257
2022-04-17,12.63603
2022-04-18,34.82466
2022-04-19,41.29383
2022-04-20,55.86457
2022-04-21,51.69286
2022-04-22,45.82829
2022-04-23,26.72309
2022-04-24,18.56106
2022-04-25,46.07013
2022-04-26,50.54413
2022-04-27,51.69286
2022-04-28,51.51148
2022-04-29,39.17775
2022-04-30,23.94195
2022-05-01,16.2636
2022-05-02,41.65659
2022-05-03,48.30713
2022-05-04,42.86577
2022-05-05,33.01088
2022-05-06,48.91172
2022-05-07,23.03506
2022-05-08,17.95646
2022-05-09,47.4607
2022-05-10,53.80894
2022-05-11,49.57678
2022-05-12,48.42805
2022-05-13,45.64691
2022-05-14,22.00725
2022-05-15,15.47762
2022-05-16,43.47037
2022-05-17,42.6844
2022-05-18,40.26602
2022-05-19,49.57678
2022-05-20,42.01934
2022-05-21,17.41233
2022-05-22,12.69649
2022-05-23,37.06166
2022-05-24,42.01934
2022-05-25,40.99153
2022-05-26,35.12696
2022-05-27,33.19226
2022-05-28,15.11487
2022-05-29,10.70133
2022-05-30,33.25272
2022-05-31,34.09915
2022-06-01,23.45828
2022-06-02,32.46674
2022-06-03,32.95042
2022-06-04,15.84038
2022-06-05,10.76178
2022-06-06,17.53325
2022-06-07,32.8295
2022-06-08,37.3035
2022-06-09,32.95042
2022-06-10,29.56469
2022-06-11,15.47762
2022-06-12,12.09189
2022-06-13,36.63845
2022-06-14,36.21523
2022-06-15,35.73155
2022-06-16,35.24788
2022-06-17,30.65296
2022-06-18,19.46795
2022-06-19,14.57073
2022-06-20,37.48488
2022-06-21,36.63845
2022-06-22,40.26602
2022-06-23,43.16807
2022-06-24,43.77267
2022-06-25,21.70495
2022-06-26,13.48246
2022-06-27,41.71704
2022-06-28,36.21523
2022-06-29,34.03869
2022-06-30,33.55501
2022-07-01,35.97339
2022-07-02,17.04957
2022-07-03,13.36154
2022-07-04,38.14993
2022-07-05,45.16324
2022-07-06,87.84764
2022-07-07,71.22128
2022-07-08,54.29262
2022-07-09,26.23941
2022-07-10,16.44498
2022-07-11,46.19105
2022-07-12,51.14873
2022-07-13,58.948
2022-07-14,57.85973
2022-07-15,47.82345
