date,파이코인상장
2021-09-24,13.93469
2021-09-25,13.2234
2021-09-26,17.16779
2021-09-27,16.63972
2021-09-28,13.42817
2021-09-29,13.89158
2021-09-30,11.46675
2021-10-01,13.04019
2021-10-02,11.96249
2021-10-03,11.96249
2021-10-04,14.72141
2021-10-05,19.043
2021-10-06,15.69134
2021-10-07,17.08158
2021-10-08,13.41739
2021-10-09,12.30736
2021-10-10,12.79232
2021-10-11,15.49735
2021-10-12,15.13094
2021-10-13,16.6505
2021-10-14,17.20012
2021-10-15,22.81495
2021-10-16,18.83823
2021-10-17,17.55577
2021-10-18,19.03222
2021-10-19,19.3232
2021-10-20,18.06229
2021-10-21,18.55803
2021-10-22,14.66752
2021-10-23,13.42817
2021-10-24,13.68681
2021-10-25,15.45425
2021-10-26,16.1332
2021-10-27,17.22168
2021-10-28,17.39411
2021-10-29,18.23472
2021-10-30,15.74523
2021-10-31,16.44573
2021-11-01,20.18536
2021-11-02,21.40316
2021-11-03,17.93296
2021-11-04,18.40715
2021-11-05,16.51039
2021-11-06,14.41965
2021-11-07,15.84222
2021-11-08,19.71117
2021-11-09,21.78036
2021-11-10,21.79114
2021-11-11,19.043
2021-11-12,17.23246
2021-11-13,13.98857
2021-11-14,15.49735
2021-11-15,22.82573
2021-11-16,34.98221
2021-11-17,32.32029
2021-11-18,29.3135
2021-11-19,24.25907
2021-11-20,20.18536
2021-11-21,23.19215
2021-11-22,26.63002
2021-11-23,24.85181
2021-11-24,25.03502
2021-11-25,28.67765
2021-11-26,27.02877
2021-11-27,20.39012
2021-11-28,21.93124
2021-11-29,25.47688
2021-11-30,24.31296
2021-12-01,24.05431
2021-12-02,23.04127
2021-12-03,22.49164
2021-12-04,18.8059
2021-12-05,22.35154
2021-12-06,25.05657
2021-12-07,25.85407
2021-12-08,24.5285
2021-12-09,25.67086
2021-12-10,25.34755
2021-12-11,29.67992
2021-12-12,28.52678
2021-12-13,30.69296
2021-12-14,28.69921
2021-12-15,27.23353
2021-12-16,25.326
2021-12-17,24.63627
2021-12-18,22.5563
2021-12-19,23.95732
2021-12-20,26.66235
2021-12-21,25.68164
2021-12-22,24.91647
2021-12-23,23.56935
2021-12-24,22.52397
2021-12-25,19.8405
2021-12-26,21.14451
2021-12-27,25.14279
2021-12-28,26.69468
2021-12-29,32.85914
2021-12-30,29.06563
2021-12-31,26.77012
2022-01-01,24.45306
2022-01-02,27.56762
2022-01-03,30.45586
2022-01-04,25.77863
2022-01-05,23.04127
2022-01-06,21.84502
2022-01-07,21.45705
2022-01-08,22.06056
2022-01-09,25.16434
2022-01-10,24.2483
2022-01-11,25.75708
2022-01-12,21.74803
2022-01-13,20.03448
2022-01-14,21.16607
2022-01-15,22.42698
2022-01-16,25.80019
2022-01-17,22.04978
2022-01-18,22.24377
2022-01-19,24.48539
2022-01-20,24.69016
2022-01-21,22.43776
2022-01-22,18.67658
2022-01-23,18.95678
2022-01-24,19.6034
2022-01-25,16.82293
2022-01-26,16.2733
2022-01-27,19.19387
2022-01-28,15.82067
2022-01-29,15.50813
2022-01-30,15.44347
2022-01-31,14.04246
2022-02-01,14.66752
2022-02-02,16.75827
2022-02-03,19.47408
2022-02-04,22.3731
2022-02-05,22.3731
2022-02-06,21.09063
2022-02-07,23.37536
2022-02-08,22.20066
2022-02-09,20.28235
2022-02-10,18.41793
2022-02-11,17.65276
2022-02-12,15.01239
2022-02-13,16.56428
2022-02-14,17.43722
2022-02-15,16.20864
2022-02-16,18.17006
2022-02-17,15.30337
2022-02-18,15.45425
2022-02-19,16.39185
2022-02-20,15.49735
2022-02-21,16.83371
2022-02-22,16.90914
2022-02-23,13.81614
2022-02-24,12.10259
2022-02-25,11.16499
2022-02-26,11.01411
2022-02-27,13.51438
2022-02-28,14.10712
2022-03-01,15.20637
2022-03-02,20.56256
2022-03-03,20.58411
2022-03-04,17.36178
2022-03-05,14.32266
2022-03-06,15.15249
2022-03-07,16.05776
2022-03-08,14.98006
2022-03-09,11.68229
2022-03-10,14.82918
2022-03-11,16.1332
2022-03-12,22.97661
2022-03-13,36.29701
2022-03-14,34.30326
2022-03-15,28.89319
2022-03-16,32.42806
2022-03-17,23.69867
2022-03-18,19.71117
2022-03-19,14.05323
2022-03-20,13.62215
2022-03-21,14.54898
2022-03-22,15.46502
2022-03-23,15.18482
2022-03-24,13.96702
2022-03-25,14.07479
2022-03-26,11.61763
2022-03-27,11.07878
2022-03-28,14.09634
2022-03-29,14.31188
2022-03-30,15.37881
2022-03-31,14.88306
2022-04-01,12.41513
2022-04-02,10.77702
2022-04-03,10.62614
2022-04-04,13.87002
2022-04-05,14.51665
2022-04-06,13.79458
2022-04-07,12.663
2022-04-08,11.13266
2022-04-09,9.72087
2022-04-10,11.01411
2022-04-11,12.4259
2022-04-12,12.04871
2022-04-13,11.02489
2022-04-14,11.3482
2022-04-15,9.22513
2022-04-16,8.06121
2022-04-17,10.77702
2022-04-18,12.50134
2022-04-19,11.67151
2022-04-20,12.11337
2022-04-21,12.95398
2022-04-22,11.21888
2022-04-23,8.10432
2022-04-24,10.30283
2022-04-25,12.01638
2022-04-26,13.12641
2022-04-27,13.16952
2022-04-28,11.7254
2022-04-29,10.51837
2022-04-30,8.94492
2022-05-01,10.09807
2022-05-02,11.19732
2022-05-03,11.71462
2022-05-04,10.71236
2022-05-05,9.22513
2022-05-06,10.66925
2022-05-07,9.65621
2022-05-08,10.21661
2022-05-09,12.46901
2022-05-10,11.64996
2022-05-11,11.47752
2022-05-12,11.49908
2022-05-13,12.73844
2022-05-14,10.9279
2022-05-15,9.77476
2022-05-16,12.73844
2022-05-17,12.74921
2022-05-18,12.97553
2022-05-19,13.10486
2022-05-20,9.78553
2022-05-21,8.49229
2022-05-22,8.78327
2022-05-23,10.82013
2022-05-24,11.22965
2022-05-25,11.16499
2022-05-26,12.09182
