date,비트코인전망
2022-09-28,3.4086
2022-09-29,2.48671
2022-09-30,2.06695
2022-10-01,1.94739
2022-10-02,2.1493
2022-10-03,2.5
2022-10-04,2.59032
2022-10-05,2.49468
2022-10-06,2.22104
2022-10-07,2.09086
2022-10-08,1.78799
2022-10-09,1.80127
2022-10-10,2.15462
2022-10-11,2.92507
2022-10-12,2.18384
2022-10-13,4.09404
2022-10-14,2.31668
2022-10-15,1.80393
2022-10-16,1.96599
2022-10-17,2.33528
2022-10-18,2.2848
2022-10-19,2.38841
2022-10-20,2.25823
2022-10-21,2.31934
2022-10-22,1.65249
2022-10-23,1.64984
2022-10-24,2.37247
2022-10-25,2.0696
2022-10-26,2.88257
2022-10-27,2.39904
2022-10-28,2.08023
2022-10-29,2.01115
2022-10-30,1.70828
2022-10-31,1.97927
2022-11-01,1.98724
2022-11-02,1.96068
2022-11-03,2.05897
2022-11-04,1.94473
2022-11-05,1.93145
2022-11-06,1.73219
2022-11-07,2.52922
2022-11-08,4.60945
2022-11-09,12.21307
2022-11-10,13.04994
2022-11-11,5.99362
2022-11-12,6.73751
2022-11-13,7.35122
2022-11-14,10.89001
2022-11-15,5.12752
2022-11-16,4.20031
2022-11-17,3.70085
2022-11-18,3.11105
2022-11-19,2.5
2022-11-20,2.72051
2022-11-21,4.36238
2022-11-22,4.43411
2022-11-23,2.99149
2022-11-24,2.9729
2022-11-25,2.79489
2022-11-26,2.05897
2022-11-27,2.27417
2022-11-28,3.18012
2022-11-29,2.68331
2022-11-30,2.64877
2022-12-01,2.62486
2022-12-02,2.08554
2022-12-03,1.54091
2022-12-04,1.85972
2022-12-05,2.44155
2022-12-06,2.88257
2022-12-07,3.10308
2022-12-08,2.98087
2022-12-09,2.38575
2022-12-10,1.84378
2022-12-11,1.99256
2022-12-12,3.61317
2022-12-13,3.45908
2022-12-14,2.71253
2022-12-15,2.78427
2022-12-16,3.0526
2022-12-17,4.69978
2022-12-18,3.0712
2022-12-19,3.8018
2022-12-20,4.64133
2022-12-21,2.82146
2022-12-22,2.71785
2022-12-23,2.32199
2022-12-24,1.8119
2022-12-25,2.21838
2022-12-26,3.4086
2022-12-27,3.14824
2022-12-28,4.53241
2022-12-29,3.87088
2022-12-30,3.8815
2022-12-31,2.37513
2023-01-01,2.48671
2023-01-02,2.92507
2023-01-03,2.69925
2023-01-04,3.03666
2023-01-05,2.61424
2023-01-06,2.5797
2023-01-07,2.01647
2023-01-08,2.15462
2023-01-09,3.12433
2023-01-10,2.80286
2023-01-11,2.56907
2023-01-12,3.19872
2023-01-13,3.85759
2023-01-14,7.04038
2023-01-15,4.06748
2023-01-16,4.17906
2023-01-17,3.49628
2023-01-18,3.40595
2023-01-19,3.50956
2023-01-20,2.56907
2023-01-21,4.59086
2023-01-22,3.36875
2023-01-23,3.08979
2023-01-24,3.74335
2023-01-25,3.6849
2023-01-26,3.5255
2023-01-27,2.84803
2023-01-28,2.53453
2023-01-29,3.08979
2023-01-30,4.54038
2023-01-31,3.78055
2023-02-01,3.36078
2023-02-02,4.21891
2023-02-03,3.38469
2023-02-04,2.53188
2023-02-05,3.19606
2023-02-06,3.48299
2023-02-07,2.97555
2023-02-08,2.87194
2023-02-09,3.71413
2023-02-10,4.42348
2023-02-11,2.30871
2023-02-12,2.45483
2023-02-13,4.02497
2023-02-14,3.65037
2023-02-15,3.76195
2023-02-16,6.12911
2023-02-17,3.74867
2023-02-18,3.39532
2023-02-19,3.48299
2023-02-20,3.98777
2023-02-21,4.07279
2023-02-22,3.70085
2023-02-23,3.40595
2023-02-24,3.14027
2023-02-25,3.27045
2023-02-26,2.52391
2023-02-27,2.84272
2023-02-28,2.53453
2023-03-01,2.55844
2023-03-02,2.91179
2023-03-03,5.29489
2023-03-04,3.00743
2023-03-05,2.74707
2023-03-06,3.61583
2023-03-07,3.01009
2023-03-08,3.79117
2023-03-09,3.43517
2023-03-10,6.33634
2023-03-11,3.43251
2023-03-12,3.28905
2023-03-13,4.74495
2023-03-14,6.52231
2023-03-15,4.78746
2023-03-16,4.01434
2023-03-17,5.93783
2023-03-18,6.44792
2023-03-19,4.43942
2023-03-20,6.70563
2023-03-21,5.66153
2023-03-22,4.60414
2023-03-23,5.78374
2023-03-24,3.89479
2023-03-25,3.36078
2023-03-26,3.1695
2023-03-27,4.05419
2023-03-28,5.76248
2023-03-29,4.22157
2023-03-30,4.35972
2023-03-31,3.71679
2023-04-01,2.80552
2023-04-02,2.70191
2023-04-03,3.59458
2023-04-04,2.95164
2023-04-05,2.93039
2023-04-06,2.87194
2023-04-07,2.76301
2023-04-08,2.07757
2023-04-09,2.29543
2023-04-10,2.68597
2023-04-11,5.69341
2023-04-12,5.22848
2023-04-13,3.71679
2023-04-14,3.80712
2023-04-15,2.59298
2023-04-16,2.64346
2023-04-17,3.9187
2023-04-18,3.31296
2023-04-19,3.90276
2023-04-20,4.24282
2023-04-21,4.07545
2023-04-22,4.21891
2023-04-23,2.74973
2023-04-24,3.64771
2023-04-25,3.91073
2023-04-26,3.79914
2023-04-27,3.46174
2023-04-28,2.70456
2023-04-29,2.23963
2023-04-30,2.1493
2023-05-01,3.5866
2023-05-02,3.9187
2023-05-03,2.96493
2023-05-04,2.80552
2023-05-05,2.41232
2023-05-06,2.97555
2023-05-07,2.75504
2023-05-08,4.57226
2023-05-09,4.8459
2023-05-10,3.19872
2023-05-11,3.91604
2023-05-12,5.356
2023-05-13,2.51328
2023-05-14,2.64612
2023-05-15,2.88257
2023-05-16,2.88788
2023-05-17,3.03666
2023-05-18,2.5611
2023-05-19,2.6408
2023-05-20,2.01912
2023-05-21,1.98193
2023-05-22,3.60255
2023-05-23,2.71519
2023-05-24,3.0526
2023-05-25,3.48034
2023-05-26,2.35122
