date,금리인하
2022-10-08,0.81115
2022-10-09,0.82979
2022-10-10,0.96032
2022-10-11,1.65493
2022-10-12,2.02321
2022-10-13,1.82742
2022-10-14,1.37988
2022-10-15,0.87175
2022-10-16,0.90438
2022-10-17,1.40785
2022-10-18,1.67824
2022-10-19,1.61297
2022-10-20,1.89268
2022-10-21,1.96261
2022-10-22,1.33793
2022-10-23,1.37056
2022-10-24,2.54533
2022-10-25,2.14908
2022-10-26,3.0488
2022-10-27,2.61992
2022-10-28,2.0372
2022-10-29,1.35658
2022-10-30,1.08153
2022-10-31,2.11645
2022-11-01,2.34021
2022-11-02,2.17705
2022-11-03,2.00456
2022-11-04,1.44049
2022-11-05,0.87175
2022-11-06,1.1095
2022-11-07,1.99524
2022-11-08,2.37284
2022-11-09,2.76443
2022-11-10,2.72714
2022-11-11,4.15365
2022-11-12,1.84606
2022-11-13,1.91599
2022-11-14,3.85063
2022-11-15,3.83198
2022-11-16,3.37047
2022-11-17,2.96955
2022-11-18,2.55932
2022-11-19,1.61764
2022-11-20,1.63628
2022-11-21,2.9276
2022-11-22,2.75511
2022-11-23,2.88564
2022-11-24,2.78308
2022-11-25,2.27495
2022-11-26,1.38921
2022-11-27,1.62696
2022-11-28,2.81105
2022-11-29,3.67815
2022-11-30,3.58025
2022-12-01,3.83665
2022-12-02,3.02549
2022-12-03,1.50109
2022-12-04,1.53372
2022-12-05,3.23994
2022-12-06,2.69451
2022-12-07,3.39378
2022-12-08,4.14432
2022-12-09,3.59889
2022-12-10,3.49634
2022-12-11,3.53829
2022-12-12,5.11864
2022-12-13,4.6105
2022-12-14,4.86224
2022-12-15,4.21891
2022-12-16,3.17467
2022-12-17,1.61764
2022-12-18,1.92997
2022-12-19,3.38445
2022-12-20,3.64085
2022-12-21,3.93454
2022-12-22,3.80868
2022-12-23,2.80173
2022-12-24,1.62696
2022-12-25,1.83674
2022-12-26,3.83198
2022-12-27,3.82732
2022-12-28,4.16763
2022-12-29,3.86462
2022-12-30,3.92522
2022-12-31,2.20968
2023-01-01,2.70849
2023-01-02,5.54286
2023-01-03,6.97403
2023-01-04,5.23052
2023-01-05,5.90648
2023-01-06,4.26553
2023-01-07,3.07211
2023-01-08,2.91361
2023-01-09,5.20721
2023-01-10,6.33536
2023-01-11,7.21178
2023-01-12,6.76425
2023-01-13,6.23747
2023-01-14,3.48701
2023-01-15,2.98354
2023-01-16,7.56141
2023-01-17,7.79917
2023-01-18,8.60099
2023-01-19,9.04386
2023-01-20,6.9414
2023-01-21,3.80401
2023-01-22,3.52897
2023-01-23,3.66416
2023-01-24,5.8552
2023-01-25,10.61022
2023-01-26,9.21169
2023-01-27,7.31434
2023-01-28,4.11169
2023-01-29,4.18162
2023-01-30,8.7222
2023-01-31,6.71763
2023-02-01,6.41928
2023-02-02,6.12558
2023-02-03,4.01379
2023-02-04,2.58263
2023-02-05,3.42175
2023-02-06,5.85054
2023-02-07,6.34469
2023-02-08,5.33774
2023-02-09,4.95081
2023-02-10,4.18628
2023-02-11,2.75045
2023-02-12,2.82038
2023-02-13,5.89716
2023-02-14,5.99039
2023-02-15,6.04633
2023-02-16,5.55685
2023-02-17,4.22357
2023-02-18,2.18637
2023-02-19,2.40548
2023-02-20,4.66178
2023-02-21,9.49139
2023-02-22,6.51251
2023-02-23,5.77129
2023-02-24,3.85529
2023-02-25,1.73884
2023-02-26,1.92997
2023-02-27,3.57559
2023-02-28,3.48235
2023-03-01,2.40548
2023-03-02,3.08144
2023-03-03,2.74113
2023-03-04,1.65959
2023-03-05,1.6223
2023-03-06,2.70383
2023-03-07,3.07677
2023-03-08,2.59661
2023-03-09,2.68518
2023-03-10,2.40548
2023-03-11,1.585
2023-03-12,2.42412
2023-03-13,5.6594
2023-03-14,7.70127
2023-03-15,5.5009
2023-03-16,5.85054
2023-03-17,3.99981
2023-03-18,2.52668
2023-03-19,2.40548
2023-03-20,4.38208
2023-03-21,3.73875
2023-03-22,3.38445
2023-03-23,4.74103
2023-03-24,2.58729
2023-03-25,1.63162
2023-03-26,1.7808
2023-03-27,3.26791
2023-03-28,3.75273
2023-03-29,3.71078
2023-03-30,4.41937
2023-03-31,3.56626
2023-04-01,1.80877
2023-04-02,2.71316
2023-04-03,4.76434
2023-04-04,3.95319
2023-04-05,3.40776
2023-04-06,3.43573
2023-04-07,3.69679
2023-04-08,2.13043
2023-04-09,2.22833
2023-04-10,4.0744
2023-04-11,5.77595
2023-04-12,4.55456
2023-04-13,3.77138
2023-04-14,3.24926
2023-04-15,1.70621
2023-04-16,2.43811
2023-04-17,4.06041
2023-04-18,3.3052
2023-04-19,2.97888
2023-04-20,2.80173
2023-04-21,2.44743
2023-04-22,1.43116
2023-04-23,1.59899
2023-04-24,2.8297
2023-04-25,2.82504
2023-04-26,2.68518
2023-04-27,2.50804
2023-04-28,2.38683
2023-04-29,1.20274
2023-04-30,1.35191
2023-05-01,1.95328
2023-05-02,2.9882
2023-05-03,3.07211
2023-05-04,3.29588
2023-05-05,1.47312
2023-05-06,1.18875
2023-05-07,1.3053
2023-05-08,2.44743
2023-05-09,2.72714
2023-05-10,2.54067
2023-05-11,3.59423
2023-05-12,2.87632
2023-05-13,1.67824
2023-05-14,2.00923
2023-05-15,3.81334
2023-05-16,4.08838
2023-05-17,3.70145
2023-05-18,3.51964
2023-05-19,2.96489
2023-05-20,1.99058
2023-05-21,1.66891
2023-05-22,3.4031
2023-05-23,3.06279
2023-05-24,2.68985
2023-05-25,3.38445
2023-05-26,2.42412
2023-05-27,1.38455
