date,블록체인기술
2022-11-13,30.11152
2022-11-14,44.60966
2022-11-15,34.94423
2022-11-16,38.28996
2022-11-17,35.31598
2022-11-18,36.80297
2022-11-19,28.99628
2022-11-20,22.30483
2022-11-21,39.4052
2022-11-22,43.49442
2022-11-23,39.4052
2022-11-24,50.92936
2022-11-25,47.58364
2022-11-26,28.62453
2022-11-27,23.79182
2022-11-28,47.58364
2022-11-29,40.52044
2022-11-30,44.98141
2022-12-01,37.54646
2022-12-02,39.77695
2022-12-03,22.30483
2022-12-04,41.63568
2022-12-05,43.49442
2022-12-06,32.71375
2022-12-07,43.12267
2022-12-08,42.75092
2022-12-09,37.91821
2022-12-10,29.36802
2022-12-11,27.13754
2022-12-12,34.20074
2022-12-13,33.45724
2022-12-14,36.05947
2022-12-15,32.342
2022-12-16,32.342
2022-12-17,20.07434
2022-12-18,52.41635
2022-12-19,46.84014
2022-12-20,27.88104
2022-12-21,28.99628
2022-12-22,30.85501
2022-12-23,27.88104
2022-12-24,16.35687
2022-12-25,20.07434
2022-12-26,24.53531
2022-12-27,24.53531
2022-12-28,28.25278
2022-12-29,14.12639
2022-12-30,13.75464
2022-12-31,10.40892
2023-01-01,12.26765
2023-01-02,18.9591
2023-01-03,23.42007
2023-01-04,19.33085
2023-01-05,18.9591
2023-01-06,14.49814
2023-01-07,13.75464
2023-01-08,10.03717
2023-01-09,15.98513
2023-01-10,16.35687
2023-01-11,21.18959
2023-01-12,15.24163
2023-01-13,14.49814
2023-01-14,9.66542
2023-01-15,9.66542
2023-01-16,15.24163
2023-01-17,14.86988
2023-01-18,13.75464
2023-01-19,10.78066
2023-01-20,11.89591
2023-01-21,8.55018
2023-01-22,7.06319
2023-01-23,6.69144
2023-01-24,10.78066
2023-01-25,11.15241
2023-01-26,11.52416
2023-01-27,11.89591
2023-01-28,4.08921
2023-01-29,6.3197
2023-01-30,11.52416
2023-01-31,9.29368
2023-02-01,13.75464
2023-02-02,11.89591
2023-02-03,10.78066
2023-02-04,7.06319
2023-02-05,7.80669
2023-02-06,13.38289
2023-02-07,15.24163
2023-02-08,11.52416
2023-02-09,10.40892
2023-02-10,11.52416
2023-02-11,4.08921
2023-02-12,1.85873
2023-02-13,8.17843
2023-02-14,9.66542
2023-02-15,10.03717
2023-02-16,10.40892
2023-02-17,8.92193
2023-02-18,3.71747
