date,부동산수수료
2023-01-02,15.71635
2023-01-03,15.83212
2023-01-04,15.86107
2023-01-05,16.87409
2023-01-06,16.87409
2023-01-07,14.79015
2023-01-08,10.44862
2023-01-09,17.62662
2023-01-10,20.98408
2023-01-11,19.45007
2023-01-12,18.95803
2023-01-13,17.71345
2023-01-14,14.73227
2023-01-15,10.47756
2023-01-16,19.91316
2023-01-17,17.04775
2023-01-18,17.01881
2023-01-19,14.38494
2023-01-20,14.06657
2023-01-21,6.91751
2023-01-22,4.7178
2023-01-23,5.84659
2023-01-24,7.78581
2023-01-25,18.35021
2023-01-26,19.30535
2023-01-27,18.84225
2023-01-28,17.16353
2023-01-29,11.75108
2023-01-30,22.89435
2023-01-31,22.60492
2023-02-01,20.43415
2023-02-02,20.72358
2023-02-03,21.04196
2023-02-04,18.75542
2023-02-05,13.54558
2023-02-06,24.10998
2023-02-07,22.17076
2023-02-08,20.72358
2023-02-09,21.96816
2023-02-10,21.64978
2023-02-11,17.7424
2023-02-12,11.92474
2023-02-13,22.14182
2023-02-14,20.92619
2023-02-15,22.19971
2023-02-16,21.62083
2023-02-17,20.02894
2023-02-18,20.14471
2023-02-19,14.61649
2023-02-20,24.77568
2023-02-21,21.62083
2023-02-22,20.17366
2023-02-23,21.21562
2023-02-24,21.534
2023-02-25,19.13169
2023-02-26,11.95369
2023-02-27,23.27062
2023-02-28,24.10998
2023-03-01,19.68162
2023-03-02,20.81041
2023-03-03,21.07091
2023-03-04,18.75542
2023-03-05,12.12735
2023-03-06,22.60492
2023-03-07,19.33429
2023-03-08,19.59479
2023-03-09,18.35021
2023-03-10,18.08972
2023-03-11,14.1534
2023-03-12,10.18813
2023-03-13,19.62373
2023-03-14,19.21852
2023-03-15,20.83936
2023-03-16,19.79739
2023-03-17,19.39218
2023-03-18,16.75832
2023-03-19,13.11143
2023-03-20,25.12301
2023-03-21,24.19681
2023-03-22,21.70767
2023-03-23,17.91606
2023-03-24,18.20549
2023-03-25,14.90593
2023-03-26,9.6382
2023-03-27,21.88133
2023-03-28,19.39218
2023-03-29,19.45007
2023-03-30,19.33429
2023-03-31,20.31837
2023-04-01,16.1505
2023-04-02,9.34876
2023-04-03,18.90014
2023-04-04,20.23154
2023-04-05,19.04486
2023-04-06,18.92908
2023-04-07,18.32127
2023-04-08,16.70043
2023-04-09,10.68017
2023-04-10,21.59189
2023-04-11,19.85528
2023-04-12,20.08683
2023-04-13,19.7395
2023-04-14,20.05788
2023-04-15,16.38205
2023-04-16,11.69319
2023-04-17,22.14182
2023-04-18,21.91027
2023-04-19,20.57887
2023-04-20,19.18958
2023-04-21,18.81331
2023-04-22,15.13748
2023-04-23,10.44862
2023-04-24,21.50506
2023-04-25,19.68162
2023-04-26,19.7395
2023-04-27,19.33429
2023-04-28,22.19971
2023-04-29,15.4848
2023-04-30,9.26193
2023-05-01,18.14761
2023-05-02,22.14182
2023-05-03,20.34732
2023-05-04,17.91606
2023-05-05,12.44573
2023-05-06,12.59044
2023-05-07,9.78292
2023-05-08,20.28943
2023-05-09,21.09985
2023-05-10,20.46309
2023-05-11,20.69464
2023-05-12,20.05788
2023-05-13,15.6874
2023-05-14,11.60636
2023-05-15,20.75253
2023-05-16,20.72358
2023-05-17,20.34732
2023-05-18,19.56584
2023-05-19,19.33429
2023-05-20,15.19536
2023-05-21,9.52243
2023-05-22,21.7945
2023-05-23,18.35021
2023-05-24,18.8712
2023-05-25,16.84515
2023-05-26,18.43704
2023-05-27,12.99565
