date,환테크
2021-08-22,9.97697
2021-08-23,9.20951
2021-08-24,8.67229
2021-08-25,12.04911
2021-08-26,8.97927
2021-08-27,6.5234
2021-08-28,6.67689
2021-08-29,6.06293
2021-08-30,8.28856
2021-08-31,8.59554
2021-09-01,6.44666
2021-09-02,5.21872
2021-09-03,5.98618
2021-09-04,7.06062
2021-09-05,7.06062
2021-09-06,8.44205
2021-09-07,4.98848
2021-09-08,5.5257
2021-09-09,8.67229
2021-09-10,5.44896
2021-09-11,4.37452
2021-09-12,4.98848
2021-09-13,7.44435
2021-09-14,6.75364
2021-09-15,6.06293
2021-09-16,4.52801
2021-09-17,4.98848
2021-09-18,4.22102
2021-09-19,5.06523
2021-09-20,6.13967
2021-09-21,5.60245
2021-09-22,5.60245
2021-09-23,9.97697
2021-09-24,7.5211
2021-09-25,5.5257
2021-09-26,3.22333
2021-09-27,5.37221
2021-09-28,10.43745
2021-09-29,7.44435
2021-09-30,5.90943
2021-10-01,4.75825
2021-10-02,3.91404
2021-10-03,3.60706
2021-10-04,5.21872
2021-10-05,6.44666
2021-10-06,8.97927
2021-10-07,5.98618
2021-10-08,5.44896
2021-10-09,3.91404
2021-10-10,4.83499
2021-10-11,4.22102
2021-10-12,7.90483
2021-10-13,9.74673
2021-10-14,6.13967
2021-10-15,5.98618
2021-10-16,4.29777
2021-10-17,3.37682
2021-10-18,4.75825
2021-10-19,5.37221
2021-10-20,5.44896
2021-10-21,5.37221
2021-10-22,4.37452
2021-10-23,3.06983
2021-10-24,2.45587
2021-10-25,6.5234
2021-10-26,6.75364
2021-10-27,6.29316
2021-10-28,4.83499
2021-10-29,4.6815
2021-10-30,3.30007
2021-10-31,3.06983
2021-11-01,4.91174
2021-11-02,4.22102
2021-11-03,4.37452
2021-11-04,4.91174
2021-11-05,3.60706
2021-11-06,1.76515
2021-11-07,2.91634
2021-11-08,4.22102
2021-11-09,5.83269
2021-11-10,3.14658
2021-11-11,6.5234
2021-11-12,6.90713
2021-11-13,4.6815
2021-11-14,3.76055
2021-11-15,7.90483
2021-11-16,8.28856
