date,라울뒤피
2021-11-08,0.70274
2021-11-09,1.19465
2021-11-10,0.74959
2021-11-11,1.05411
2021-11-12,0.51534
2021-11-13,0.46849
2021-11-14,0.58561
2021-11-15,0.86671
2021-11-16,1.26493
2021-11-17,0.96041
2021-11-18,0.63246
2021-11-19,1.05411
2021-11-20,0.70274
2021-11-21,0.81986
2021-11-22,1.26493
2021-11-23,1.21808
2021-11-24,1.19465
2021-11-25,1.26493
2021-11-26,1.00726
2021-11-27,0.96041
2021-11-28,0.98383
2021-11-29,0.89013
2021-11-30,0.93698
2021-12-01,0.58561
2021-12-02,0.84328
2021-12-03,1.40548
2021-12-04,0.74959
2021-12-05,0.46849
2021-12-06,1.45233
2021-12-07,0.74959
2021-12-08,1.40548
2021-12-09,1.00726
2021-12-10,0.70274
2021-12-11,0.72616
2021-12-12,1.12438
2021-12-13,0.96041
2021-12-14,0.89013
2021-12-15,0.89013
2021-12-16,0.67931
2021-12-17,2.38931
2021-12-18,0.84328
2021-12-19,0.77301
2021-12-20,0.93698
2021-12-21,0.81986
2021-12-22,0.89013
2021-12-23,0.70274
2021-12-24,0.72616
2021-12-25,0.65589
2021-12-26,0.67931
2021-12-27,0.84328
2021-12-28,0.84328
2021-12-29,0.79643
2021-12-30,0.60904
2021-12-31,0.96041
2022-01-01,0.86671
2022-01-02,1.28835
2022-01-03,0.58561
2022-01-04,0.84328
2022-01-05,0.49191
2022-01-06,0.84328
2022-01-07,0.93698
2022-01-08,1.35863
2022-01-09,0.74959
2022-01-10,0.79643
2022-01-11,1.5226
2022-01-12,0.72616
2022-01-13,0.60904
2022-01-14,1.05411
2022-01-15,1.05411
2022-01-16,1.05411
2022-01-17,1.26493
2022-01-18,1.49918
2022-01-19,1.49918
2022-01-20,1.00726
2022-01-21,0.84328
2022-01-22,0.96041
2022-01-23,1.28835
2022-01-24,1.03068
2022-01-25,1.03068
2022-01-26,1.00726
2022-01-27,1.03068
2022-01-28,1.00726
2022-01-29,1.05411
2022-01-30,0.98383
2022-01-31,0.65589
2022-02-01,1.00726
2022-02-02,1.35863
2022-02-03,0.74959
2022-02-04,0.67931
2022-02-05,1.35863
2022-02-06,1.4289
2022-02-07,0.89013
2022-02-08,1.03068
2022-02-09,1.05411
2022-02-10,0.89013
2022-02-11,0.86671
2022-02-12,0.67931
2022-02-13,1.26493
2022-02-14,1.03068
2022-02-15,0.81986
2022-02-16,0.84328
2022-02-17,0.93698
2022-02-18,1.12438
2022-02-19,0.79643
2022-02-20,1.26493
2022-02-21,1.17123
2022-02-22,0.91356
2022-02-23,1.2415
2022-02-24,0.63246
2022-02-25,1.12438
2022-02-26,0.91356
2022-02-27,1.19465
2022-02-28,0.98383
2022-03-01,0.81986
2022-03-02,0.81986
2022-03-03,0.98383
2022-03-04,0.72616
2022-03-05,0.65589
2022-03-06,0.74959
2022-03-07,0.67931
2022-03-08,0.81986
2022-03-09,0.89013
2022-03-10,0.77301
2022-03-11,1.1478
2022-03-12,0.93698
2022-03-13,0.72616
2022-03-14,0.70274
2022-03-15,0.81986
2022-03-16,1.03068
2022-03-17,0.67931
2022-03-18,0.96041
2022-03-19,1.10096
2022-03-20,0.98383
2022-03-21,0.53876
2022-03-22,1.05411
2022-03-23,0.84328
2022-03-24,0.86671
2022-03-25,0.77301
2022-03-26,0.63246
2022-03-27,0.89013
2022-03-28,0.91356
2022-03-29,0.91356
2022-03-30,1.2415
2022-03-31,0.74959
2022-04-01,1.07753
2022-04-02,0.77301
2022-04-03,1.03068
2022-04-04,1.00726
2022-04-05,0.53876
2022-04-06,0.67931
2022-04-07,0.67931
2022-04-08,0.67931
2022-04-09,0.98383
2022-04-10,0.44506
2022-04-11,1.10096
2022-04-12,0.70274
2022-04-13,1.3352
2022-04-14,0.81986
2022-04-15,0.72616
2022-04-16,0.53876
2022-04-17,0.44506
2022-04-18,0.89013
2022-04-19,0.81986
2022-04-20,1.00726
2022-04-21,0.84328
2022-04-22,0.35137
2022-04-23,0.79643
2022-04-24,0.60904
2022-04-25,1.07753
2022-04-26,1.10096
2022-04-27,0.81986
2022-04-28,0.72616
2022-04-29,0.70274
2022-04-30,0.89013
2022-05-01,1.17123
2022-05-02,0.72616
2022-05-03,0.74959
2022-05-04,0.96041
2022-05-05,0.49191
2022-05-06,0.70274
2022-05-07,0.77301
2022-05-08,0.79643
2022-05-09,0.44506
2022-05-10,0.89013
2022-05-11,0.86671
2022-05-12,1.05411
2022-05-13,0.96041
2022-05-14,1.21808
2022-05-15,1.2415
2022-05-16,1.45233
2022-05-17,0.96041
2022-05-18,1.12438
2022-05-19,0.84328
2022-05-20,1.17123
