date,전환사채
2023-04-30,6.4935
2023-05-01,7.76334
2023-05-02,16.56565
2023-05-03,13.76623
2023-05-04,13.56421
2023-05-05,5.97402
2023-05-06,5.22366
2023-05-07,5.10822
2023-05-08,15.15151
2023-05-09,17.60461
2023-05-10,17.83549
2023-05-11,15.23809
2023-05-12,15.23809
2023-05-13,6.89754
2023-05-14,6.08946
2023-05-15,14.45887
2023-05-16,16.04617
2023-05-17,16.50793
2023-05-18,16.53679
2023-05-19,14.48773
2023-05-20,5.97402
2023-05-21,6.2049
2023-05-22,12.17893
2023-05-23,14.14141
2023-05-24,15.00721
2023-05-25,14.05483
2023-05-26,13.79509
2023-05-27,6.40692
