date,자동차보험비교견적
2022-08-10,24.39353
2022-08-11,25.74123
2022-08-12,21.69811
2022-08-13,12.80323
2022-08-14,8.22102
2022-08-15,13.20754
2022-08-16,30.0539
2022-08-17,22.50673
2022-08-18,25.33692
2022-08-19,20.88948
2022-08-20,14.15094
2022-08-21,12.938
2022-08-22,24.25876
2022-08-23,24.66307
2022-08-24,24.93261
2022-08-25,22.23719
2022-08-26,24.79784
2022-08-27,9.29919
2022-08-28,9.83827
2022-08-29,25.47169
2022-08-30,24.79784
2022-08-31,21.42857
2022-09-01,20.75471
2022-09-02,21.69811
2022-09-03,8.7601
2022-09-04,8.89487
2022-09-05,27.22371
2022-09-06,21.42857
2022-09-07,21.2938
2022-09-08,22.10242
2022-09-09,11.45552
2022-09-10,8.62533
2022-09-11,6.33423
2022-09-12,11.05121
2022-09-13,33.42318
2022-09-14,27.22371
2022-09-15,27.7628
2022-09-16,22.6415
2022-09-17,9.97304
2022-09-18,11.9946
2022-09-19,27.22371
2022-09-20,27.35849
2022-09-21,27.49326
2022-09-22,24.5283
2022-09-23,21.83288
2022-09-24,12.80323
2022-09-25,11.32075
2022-09-26,19.67654
2022-09-27,24.93261
2022-09-28,23.71967
2022-09-29,23.71967
2022-09-30,19.81132
2022-10-01,13.74663
2022-10-02,10.10781
2022-10-03,14.28571
2022-10-04,29.38005
2022-10-05,25.20215
2022-10-06,24.39353
2022-10-07,20.61994
2022-10-08,7.81671
2022-10-09,9.02964
2022-10-10,11.18598
2022-10-11,24.12398
2022-10-12,21.42857
2022-10-13,20.75471
2022-10-14,19.81132
2022-10-15,11.32075
2022-10-16,8.7601
2022-10-17,21.15902
2022-10-18,25.20215
2022-10-19,20.21563
2022-10-20,19.67654
2022-10-21,18.59838
2022-10-22,8.89487
2022-10-23,9.7035
2022-10-24,23.71967
2022-10-25,21.83288
2022-10-26,23.71967
2022-10-27,18.73315
2022-10-28,16.57681
2022-10-29,7.14285
2022-10-30,9.7035
2022-10-31,23.98921
2022-11-01,19.81132
2022-11-02,22.23719
2022-11-03,21.15902
2022-11-04,19.94609
2022-11-05,7.81671
2022-11-06,5.92991
2022-11-07,19.54177
2022-11-08,22.91105
2022-11-09,23.85444
2022-11-10,24.66307
2022-11-11,20.75471
2022-11-12,10.51212
2022-11-13,9.97304
2022-11-14,20.88948
2022-11-15,24.93261
2022-11-16,22.37196
2022-11-17,22.10242
2022-11-18,17.78975
2022-11-19,9.29919
2022-11-20,11.59029
2022-11-21,16.71159
2022-11-22,21.2938
2022-11-23,23.5849
2022-11-24,19.13746
2022-11-25,13.47708
2022-11-26,10.78167
2022-11-27,8.7601
2022-11-28,16.98113
2022-11-29,19.00269
2022-11-30,18.19407
2022-12-01,22.37196
2022-12-02,17.1159
2022-12-03,8.89487
2022-12-04,11.9946
2022-12-05,25.06738
2022-12-06,27.22371
2022-12-07,18.19407
2022-12-08,20.48517
2022-12-09,20.48517
2022-12-10,7.00808
2022-12-11,10.6469
2022-12-12,23.5849
2022-12-13,24.79784
2022-12-14,21.42857
2022-12-15,20.21563
2022-12-16,19.13746
2022-12-17,11.18598
2022-12-18,9.83827
2022-12-19,21.56334
2022-12-20,23.45013
2022-12-21,24.5283
2022-12-22,23.18059
2022-12-23,20.21563
2022-12-24,8.89487
2022-12-25,9.7035
2022-12-26,23.85444
2022-12-27,23.71967
2022-12-28,20.88948
2022-12-29,19.81132
2022-12-30,22.23719
2022-12-31,9.16442
2023-01-01,13.47708
2023-01-02,26.54986
2023-01-03,29.38005
2023-01-04,23.71967
2023-01-05,23.71967
2023-01-06,18.73315
2023-01-07,12.12938
2023-01-08,10.6469
2023-01-09,27.49326
2023-01-10,18.59838
2023-01-11,47.16981
2023-01-12,29.24528
2023-01-13,17.1159
2023-01-14,10.91644
2023-01-15,9.02964
2023-01-16,25.33692
