date,나스닥선물
2022-07-06,59.65733
2022-07-07,45.77503
2022-07-08,45.54602
2022-07-09,6.90177
2022-07-10,2.40629
2022-07-11,46.58508
2022-07-12,54.27689
2022-07-13,58.99159
2022-07-14,55.32233
2022-07-15,43.09077
2022-07-16,6.03511
2022-07-17,2.16579
2022-07-18,41.87549
2022-07-19,44.70448
2022-07-20,48.12174
2022-07-21,46.01979
2022-07-22,41.14547
2022-07-23,6.35692
2022-07-24,1.94317
2022-07-25,41.25657
2022-07-26,38.55826
2022-07-27,43.53729
2022-07-28,46.12748
2022-07-29,38.38671
2022-07-30,5.82824
2022-07-31,1.87336
2022-08-01,38.77322
2022-08-02,43.43301
2022-08-03,39.71693
2022-08-04,39.13887
2022-08-05,35.09034
2022-08-06,5.85165
2022-08-07,1.73885
2022-08-08,36.27072
2022-08-09,39.08651
2022-08-10,45.8176
2022-08-11,39.69181
2022-08-12,32.49079
2022-08-13,5.19399
2022-08-14,1.56049
2022-08-15,29.99765
2022-08-16,37.63158
2022-08-17,41.43875
2022-08-18,40.82153
2022-08-19,39.86506
2022-08-20,5.88443
2022-08-21,1.83079
2022-08-22,48.08513
2022-08-23,57.06842
2022-08-24,45.44471
2022-08-25,39.65308
2022-08-26,39.65904
2022-08-27,9.02969
2022-08-28,2.36628
2022-08-29,63.8442
2022-08-30,50.22028
2022-08-31,49.97765
2022-09-01,55.68543
2022-09-02,48.42694
2022-09-03,7.41513
2022-09-04,1.9006
2022-09-05,40.39161
2022-09-06,46.9967
2022-09-07,52.16813
2022-09-08,35.96381
2022-09-09,23.44109
2022-09-10,6.40757
2022-09-11,2.52548
2022-09-12,32.34138
2022-09-13,56.41162
2022-09-14,69.56092
2022-09-15,50.47738
2022-09-16,48.57465
2022-09-17,7.92635
2022-09-18,2.60083
2022-09-19,56.42141
2022-09-20,50.22794
2022-09-21,56.07704
2022-09-22,64.67979
2022-09-23,58.89581
2022-09-24,8.59848
2022-09-25,2.64254
2022-09-26,80.3882
2022-09-27,70.46206
2022-09-28,86.7115
2022-09-29,78.86985
2022-09-30,64.62104
2022-10-01,8.94072
2022-10-02,2.68638
2022-10-03,56.89943
2022-10-04,60.30946
2022-10-05,69.50686
2022-10-06,62.94647
2022-10-07,52.63254
2022-10-08,8.85261
2022-10-09,3.24358
2022-10-10,56.50313
2022-10-11,76.92327
2022-10-12,65.84229
2022-10-13,81.92742
2022-10-14,64.05874
2022-10-15,10.20495
2022-10-16,3.16271
2022-10-17,56.90156
2022-10-18,63.7778
2022-10-19,67.46663
2022-10-20,61.34511
2022-10-21,51.18229
2022-10-22,7.95743
2022-10-23,2.29818
2022-10-24,58.47142
2022-10-25,51.34447
2022-10-26,65.45578
2022-10-27,53.98659
2022-10-28,47.07417
2022-10-29,7.47387
2022-10-30,2.07087
2022-10-31,46.64807
2022-11-01,45.19868
2022-11-02,47.39555
2022-11-03,56.82494
2022-11-04,44.39459
2022-11-05,7.18569
2022-11-06,1.95977
2022-11-07,48.13578
2022-11-08,46.97584
2022-11-09,48.35202
2022-11-10,56.3069
2022-11-11,57.08672
2022-11-12,8.09492
2022-11-13,2.3169
2022-11-14,48.17026
2022-11-15,48.98371
2022-11-16,53.58561
2022-11-17,50.88389
2022-11-18,41.24763
2022-11-19,6.59274
2022-11-20,1.72523
2022-11-21,40.78195
2022-11-22,42.59274
2022-11-23,36.5938
2022-11-24,31.36575
2022-11-25,27.7812
2022-11-26,4.72789
2022-11-27,1.57837
2022-11-28,36.52995
2022-11-29,35.90805
2022-11-30,33.10162
2022-12-01,38.71576
2022-12-02,34.01085
2022-12-03,6.24922
2022-12-04,1.5358
2022-12-05,29.95424
2022-12-06,37.5026
2022-12-07,41.19953
2022-12-08,37.66308
2022-12-09,31.93657
2022-12-10,6.06278
2022-12-11,1.49835
2022-12-12,33.07183
2022-12-13,44.07321
2022-12-14,38.99542
2022-12-15,44.48015
2022-12-16,40.59934
2022-12-17,6.59657
2022-12-18,1.55836
2022-12-19,34.17345
2022-12-20,50.93327
2022-12-21,40.59465
2022-12-22,37.33574
2022-12-23,42.56847
2022-12-24,6.25561
2022-12-25,1.49409
2022-12-26,16.36224
2022-12-27,33.84271
2022-12-28,37.53836
2022-12-29,33.11737
2022-12-30,25.2753
2022-12-31,5.04416
2023-01-01,1.6584
2023-01-02,17.62903
2023-01-03,42.94987
2023-01-04,38.47525
2023-01-05,39.44194
2023-01-06,34.33223
2023-01-07,6.45738
2023-01-08,1.40172
2023-01-09,34.29136
2023-01-10,41.00244
2023-01-11,36.34904
2023-01-12,43.87825
2023-01-13,34.68894
2023-01-14,6.39395
2023-01-15,1.46685
2023-01-16,27.38363
2023-01-17,37.83377
2023-01-18,34.96477
2023-01-19,36.15324
2023-01-20,26.71831
2023-01-21,6.44844
2023-01-22,1.90443
2023-01-23,14.68979
2023-01-24,17.22932
2023-01-25,22.64637
2023-01-26,17.3898
2023-01-27,13.06885
2023-01-28,2.21049
2023-01-29,0.84963
2023-01-30,16.90411
2023-01-31,16.07747
2023-02-01,13.80908
2023-02-02,15.95487
2023-02-03,17.63754
2023-02-04,2.42588
2023-02-05,0.92242
2023-02-06,17.44854
2023-02-07,15.0465
2023-02-08,14.57699
2023-02-09,15.32701
2023-02-10,13.99169
2023-02-11,1.93763
2023-02-12,0.62147
2023-02-13,14.42758
2023-02-14,19.77737
2023-02-15,22.11812
2023-02-16,19.78333
2023-02-17,20.1013
2023-02-18,3.03373
2023-02-19,0.81728
2023-02-20,15.03884
2023-02-21,23.77354
2023-02-22,28.89517
2023-02-23,23.63179
2023-02-24,21.41108
2023-02-25,3.5241
2023-02-26,0.99606
2023-02-27,23.67266
2023-02-28,20.2273
2023-03-01,17.82739
2023-03-02,25.27061
2023-03-03,19.28317
2023-03-04,3.18016
2023-03-05,1.00372
2023-03-06,20.86367
2023-03-07,20.36777
2023-03-08,24.43971
2023-03-09,23.60753
2023-03-10,27.10098
2023-03-11,4.66106
2023-03-12,1.72395
2023-03-13,46.39693
2023-03-14,44.06512
2023-03-15,41.21613
2023-03-16,34.76896
2023-03-17,26.1245
2023-03-18,4.3384
2023-03-19,1.3749
2023-03-20,34.15473
2023-03-21,26.89411
2023-03-22,26.99797
2023-03-23,31.46791
2023-03-24,25.54687
2023-03-25,3.957
2023-03-26,1.19825
2023-03-27,25.26167
2023-03-28,24.49462
2023-03-29,22.89198
2023-03-30,23.5258
2023-03-31,19.49132
2023-04-01,2.96435
2023-04-02,0.96626
2023-04-03,23.60668
2023-04-04,23.70075
2023-04-05,22.73832
2023-04-06,27.13844
2023-04-07,16.13663
2023-04-08,2.97243
2023-04-09,1.12759
2023-04-10,21.09439
2023-04-11,20.54272
2023-04-12,24.16728
2023-04-13,22.18495
2023-04-14,17.86101
2023-04-15,3.07885
2023-04-16,0.96413
2023-04-17,18.62041
2023-04-18,20.34138
2023-04-19,21.93976
2023-04-20,25.1029
2023-04-21,21.30382
2023-04-22,3.19463
2023-04-23,0.90539
2023-04-24,20.48738
2023-04-25,22.68894
2023-04-26,28.00979
2023-04-27,21.46174
2023-04-28,16.79344
2023-04-29,2.74002
2023-04-30,0.86538
2023-05-01,14.17814
2023-05-02,18.16239
2023-05-03,20.74789
2023-05-04,18.9503
2023-05-05,11.72203
2023-05-06,3.18569
2023-05-07,1.06289
2023-05-08,18.42375
2023-05-09,19.3368
2023-05-10,22.82813
2023-05-11,19.93274
2023-05-12,15.70501
2023-05-13,2.70767
2023-05-14,0.8326
2023-05-15,17.69713
2023-05-16,17.99425
2023-05-17,17.41704
2023-05-18,17.21783
2023-05-19,15.63307
2023-05-20,2.65191
2023-05-21,0.87942
2023-05-22,16.59338
2023-05-23,17.884
2023-05-24,20.32691
2023-05-25,24.64403
2023-05-26,17.27189
