date,양도세율
2022-11-26,5.823
2022-11-27,4.72758
2022-11-28,7.03372
2022-11-29,6.51484
2022-11-30,6.71663
2022-12-01,6.91842
2022-12-02,6.60132
2022-12-03,3.37272
2022-12-04,4.03574
2022-12-05,6.97607
2022-12-06,7.78322
2022-12-07,7.03372
2022-12-08,7.75439
2022-12-09,7.17786
2022-12-10,4.81406
2022-12-11,4.75641
2022-12-12,8.61919
2022-12-13,8.12914
2022-12-14,9.51282
2022-12-15,8.27327
2022-12-16,7.66791
2022-12-17,4.90054
2022-12-18,4.9582
2022-12-19,6.60132
2022-12-20,7.40847
2022-12-21,17.32487
2022-12-22,14.47102
2022-12-23,9.25338
2022-12-24,6.91842
2022-12-25,5.65004
2022-12-26,8.87863
2022-12-27,9.51282
2022-12-28,8.07149
2022-12-29,7.78322
2022-12-30,6.6878
2022-12-31,4.90054
2023-01-01,7.06255
2023-01-02,8.96511
2023-01-03,12.42432
2023-01-04,12.25136
2023-01-05,9.19573
2023-01-06,9.22456
2023-01-07,6.88959
2023-01-08,7.5526
2023-01-09,9.85874
2023-01-10,8.04266
2023-01-11,9.10925
2023-01-12,10.89651
2023-01-13,7.8697
2023-01-14,6.05361
2023-01-15,6.51484
2023-01-16,9.28221
2023-01-17,7.58143
2023-01-18,8.15797
2023-01-19,7.23551
2023-01-20,5.65004
2023-01-21,3.97809
2023-01-22,4.6411
2023-01-23,4.61228
2023-01-24,5.33294
2023-01-25,9.02277
2023-01-26,9.08042
2023-01-27,7.84087
2023-01-28,6.6878
2023-01-29,5.36177
2023-01-30,9.74344
2023-01-31,9.5993
2023-02-01,7.40847
2023-02-02,8.41741
2023-02-03,7.46612
2023-02-04,6.08244
2023-02-05,6.16892
2023-02-06,8.41741
2023-02-07,8.90746
2023-02-08,8.18679
2023-02-09,7.84087
2023-02-10,8.07149
2023-02-11,6.77428
2023-02-12,6.45719
2023-02-13,8.84981
2023-02-14,9.28221
2023-02-15,7.95618
2023-02-16,7.98501
2023-02-17,7.75439
2023-02-18,5.88065
2023-02-19,6.11127
2023-02-20,8.50389
2023-02-21,7.17786
2023-02-22,7.49495
2023-02-23,8.07149
2023-02-24,6.48601
2023-02-25,4.43931
2023-02-26,4.90054
2023-02-27,7.84087
2023-02-28,7.14903
2023-03-01,6.42836
2023-03-02,7.35082
2023-03-03,6.42836
2023-03-04,6.05361
2023-03-05,6.37071
2023-03-06,7.75439
2023-03-07,7.1202
2023-03-08,7.81204
2023-03-09,7.20668
2023-03-10,6.65897
2023-03-11,5.67886
2023-03-12,4.92937
2023-03-13,6.65897
2023-03-14,6.97607
2023-03-15,8.93629
2023-03-16,8.24445
2023-03-17,6.45719
2023-03-18,6.28423
2023-03-19,5.79417
2023-03-20,7.75439
2023-03-21,7.72556
2023-03-22,6.42836
2023-03-23,9.484
2023-03-24,7.69674
2023-03-25,4.49697
2023-03-26,4.84289
2023-03-27,7.35082
2023-03-28,8.93629
2023-03-29,7.78322
2023-03-30,8.04266
2023-03-31,6.91842
2023-04-01,5.3906
2023-04-02,4.84289
2023-04-03,7.23551
2023-04-04,7.8697
2023-04-05,7.5526
2023-04-06,7.37964
2023-04-07,6.6878
2023-04-08,5.88065
2023-04-09,5.04468
2023-04-10,8.56154
2023-04-11,8.12914
2023-04-12,7.26434
2023-04-13,8.7345
2023-04-14,5.59238
2023-04-15,5.18881
2023-04-16,5.33294
2023-04-17,7.69674
2023-04-18,7.84087
2023-04-19,8.41741
2023-04-20,7.5526
2023-04-21,6.6878
2023-04-22,5.44825
2023-04-23,4.17987
2023-04-24,7.23551
2023-04-25,7.09138
2023-04-26,7.40847
2023-04-27,6.39953
2023-04-28,7.32199
2023-04-29,4.46814
2023-04-30,3.94926
2023-05-01,5.90948
2023-05-02,6.31305
2023-05-03,7.66791
2023-05-04,6.77428
2023-05-05,5.67886
2023-05-06,4.49697
2023-05-07,4.9582
2023-05-08,7.61026
2023-05-09,7.5526
2023-05-10,7.20668
2023-05-11,6.77428
2023-05-12,7.46612
2023-05-13,5.47708
2023-05-14,4.23753
2023-05-15,8.93629
2023-05-16,7.40847
2023-05-17,7.61026
2023-05-18,7.46612
