date,주식장외거래
2021-09-23,15.77028
2021-09-24,16.22607
2021-09-25,4.83135
2021-09-26,3.55515
2021-09-27,14.03828
2021-09-28,16.95533
2021-09-29,16.86417
2021-09-30,17.31996
2021-10-01,13.40018
2021-10-02,2.64357
2021-10-03,2.3701
2021-10-04,3.19051
2021-10-05,15.04102
2021-10-06,11.8505
2021-10-07,16.95533
2021-10-08,13.49134
2021-10-09,3.73746
2021-10-10,1.91431
2021-10-11,3.55515
2021-10-12,10.84776
2021-10-13,17.31996
2021-10-14,15.58796
2021-10-15,14.76754
2021-10-16,3.37283
2021-10-17,3.19051
2021-10-18,14.67639
2021-10-19,14.67639
2021-10-20,17.59343
2021-10-21,30.26435
2021-10-22,17.31996
2021-10-23,3.0082
2021-10-24,2.64357
2021-10-25,12.30628
2021-10-26,13.30902
2021-10-27,18.04922
2021-10-28,13.76481
2021-10-29,15.58796
2021-10-30,3.82862
2021-10-31,4.37556
2021-11-01,16.04375
2021-11-02,16.04375
2021-11-03,29.0793
2021-11-04,21.87784
2021-11-05,16.95533
2021-11-06,2.55241
2021-11-07,3.6463
2021-11-08,16.86417
2021-11-09,19.50774
2021-11-10,21.51321
2021-11-11,21.69553
2021-11-12,20.69279
2021-11-13,4.7402
2021-11-14,6.74567
2021-11-15,19.87237
2021-11-16,20.14585
2021-11-17,18.41385
2021-11-18,27.89425
2021-11-19,17.59343
2021-11-20,5.3783
2021-11-21,7.29261
2021-11-22,23.06289
2021-11-23,17.68459
2021-11-24,16.68185
2021-11-25,17.77575
2021-11-26,17.04649
2021-11-27,7.56608
2021-11-28,8.47766
2021-11-29,20.05469
2021-11-30,22.88058
2021-12-01,18.59617
2021-12-02,22.24247
2021-12-03,17.8669
2021-12-04,5.56061
2021-12-05,3.82862
2021-12-06,14.67639
2021-12-07,16.22607
2021-12-08,14.03828
2021-12-09,16.49954
2021-12-10,15.58796
2021-12-11,3.73746
2021-12-12,4.10209
2021-12-13,13.67365
2021-12-14,16.13491
2021-12-15,15.95259
2021-12-16,18.86964
2021-12-17,18.23154
2021-12-18,3.55515
2021-12-19,4.37556
2021-12-20,19.14311
2021-12-21,13.67365
2021-12-22,19.5989
2021-12-23,16.49954
2021-12-24,15.58796
2021-12-25,2.09662
2021-12-26,7.20145
2021-12-27,17.68459
2021-12-28,19.5989
2021-12-29,17.41112
2021-12-30,16.13491
2021-12-31,6.28988
2022-01-01,2.00546
2022-01-02,3.09936
2022-01-03,17.50227
2022-01-04,18.77848
2022-01-05,19.14311
2022-01-06,19.50774
2022-01-07,15.58796
2022-01-08,5.10483
2022-01-09,5.19598
2022-01-10,15.86144
2022-01-11,18.9608
2022-01-12,20.69279
2022-01-13,17.2288
2022-01-14,16.68185
