date,해외선물거래
2022-09-05,23.80952
2022-09-06,30.81232
2022-09-07,29.41176
2022-09-08,19.60784
2022-09-09,11.48459
2022-09-10,9.80392
2022-09-11,3.92156
2022-09-12,13.44537
2022-09-13,26.05042
2022-09-14,37.53501
2022-09-15,28.85154
2022-09-16,22.12885
2022-09-17,21.28851
2022-09-18,12.60504
2022-09-19,33.61344
2022-09-20,30.2521
2022-09-21,31.09243
2022-09-22,28.29131
2022-09-23,32.7731
2022-09-24,21.0084
2022-09-25,12.04481
2022-09-26,28.0112
2022-09-27,36.97478
2022-09-28,35.014
2022-09-29,32.49299
2022-09-30,31.93277
2022-10-01,15.96638
2022-10-02,15.96638
2022-10-03,21.0084
2022-10-04,31.09243
2022-10-05,33.05322
2022-10-06,31.37254
2022-10-07,26.05042
2022-10-08,8.96358
2022-10-09,12.32492
2022-10-10,16.52661
2022-10-11,26.05042
2022-10-12,31.65266
2022-10-13,25.7703
2022-10-14,25.49019
2022-10-15,14.28571
2022-10-16,14.28571
2022-10-17,29.69187
2022-10-18,29.13165
2022-10-19,26.33053
2022-10-20,30.53221
2022-10-21,28.0112
2022-10-22,10.64425
2022-10-23,14.0056
2022-10-24,28.0112
2022-10-25,29.41176
2022-10-26,28.85154
2022-10-27,27.45098
2022-10-28,28.57142
2022-10-29,11.48459
2022-10-30,9.5238
2022-10-31,19.04761
2022-11-01,22.12885
2022-11-02,27.45098
2022-11-03,19.32773
2022-11-04,20.44817
2022-11-05,10.08403
2022-11-06,10.36414
2022-11-07,30.53221
2022-11-08,27.17086
2022-11-09,29.69187
2022-11-10,28.0112
2022-11-11,25.21008
2022-11-12,12.88515
2022-11-13,7.84313
2022-11-14,24.64985
2022-11-15,39.21568
2022-11-16,26.61064
2022-11-17,29.97198
2022-11-18,22.68907
2022-11-19,14.56582
2022-11-20,5.60224
2022-11-21,21.56862
2022-11-22,19.60784
2022-11-23,23.80952
2022-11-24,20.44817
2022-11-25,22.40896
2022-11-26,16.24649
2022-11-27,8.68347
2022-11-28,17.36694
2022-11-29,17.92717
2022-11-30,17.36694
2022-12-01,22.12885
2022-12-02,20.16806
2022-12-03,9.24369
2022-12-04,7.56302
2022-12-05,21.0084
2022-12-06,21.0084
2022-12-07,22.40896
2022-12-08,25.49019
2022-12-09,21.0084
2022-12-10,13.16526
