date,카페인테리어소품
2022-06-27,36.08247
2022-06-28,49.48453
2022-06-29,38.14432
2022-06-30,41.75257
2022-07-01,38.65979
2022-07-02,20.10309
2022-07-03,41.75257
2022-07-04,37.1134
2022-07-05,48.96907
2022-07-06,44.32989
2022-07-07,47.42268
2022-07-08,48.4536
2022-07-09,42.7835
2022-07-10,35.05154
2022-07-11,46.39175
2022-07-12,58.24742
2022-07-13,43.81443
2022-07-14,46.39175
2022-07-15,39.69072
2022-07-16,31.44329
2022-07-17,32.98969
2022-07-18,39.69072
2022-07-19,36.59793
2022-07-20,28.86597
2022-07-21,42.26804
2022-07-22,37.1134
2022-07-23,31.44329
2022-07-24,50.0
2022-07-25,40.20618
2022-07-26,42.7835
2022-07-27,26.28865
2022-07-28,43.81443
2022-07-29,33.50515
2022-07-30,38.65979
2022-07-31,43.81443
2022-08-01,42.26804
2022-08-02,40.72164
2022-08-03,44.32989
2022-08-04,64.94845
2022-08-05,42.26804
2022-08-06,37.1134
2022-08-07,42.7835
2022-08-08,34.02061
2022-08-09,39.69072
2022-08-10,37.62886
2022-08-11,58.24742
2022-08-12,38.65979
2022-08-13,48.4536
2022-08-14,49.48453
2022-08-15,30.41237
2022-08-16,45.87628
2022-08-17,40.72164
2022-08-18,34.02061
2022-08-19,39.69072
2022-08-20,36.59793
2022-08-21,42.7835
2022-08-22,53.09278
2022-08-23,38.14432
2022-08-24,37.62886
2022-08-25,30.92783
2022-08-26,37.62886
2022-08-27,30.41237
2022-08-28,43.29896
2022-08-29,32.47422
2022-08-30,31.95876
2022-08-31,38.65979
2022-09-01,39.69072
2022-09-02,42.26804
2022-09-03,24.74226
2022-09-04,35.05154
2022-09-05,47.42268
2022-09-06,35.05154
2022-09-07,29.38144
2022-09-08,27.31958
2022-09-09,37.1134
2022-09-10,11.3402
2022-09-11,29.8969
2022-09-12,28.35051
2022-09-13,37.1134
2022-09-14,43.81443
2022-09-15,41.23711
2022-09-16,31.44329
2022-09-17,33.50515
2022-09-18,35.05154
2022-09-19,45.36082
2022-09-20,46.90721
2022-09-21,45.36082
2022-09-22,59.79381
2022-09-23,40.20618
2022-09-24,47.42268
2022-09-25,42.7835
2022-09-26,39.69072
2022-09-27,52.57731
2022-09-28,48.96907
2022-09-29,45.36082
2022-09-30,40.20618
2022-10-01,41.23711
2022-10-02,43.81443
2022-10-03,41.23711
2022-10-04,43.29896
2022-10-05,50.0
2022-10-06,42.7835
2022-10-07,32.47422
2022-10-08,22.68041
2022-10-09,39.17525
2022-10-10,43.29896
2022-10-11,36.59793
2022-10-12,51.54639
2022-10-13,41.75257
2022-10-14,51.03092
2022-10-15,39.69072
2022-10-16,38.14432
2022-10-17,32.98969
2022-10-18,40.72164
2022-10-19,43.81443
2022-10-20,34.02061
2022-10-21,32.47422
2022-10-22,35.56701
2022-10-23,28.35051
2022-10-24,30.92783
2022-10-25,48.4536
2022-10-26,35.05154
2022-10-27,47.93814
2022-10-28,40.20618
2022-10-29,32.98969
2022-10-30,24.2268
2022-10-31,39.69072
2022-11-01,32.98969
2022-11-02,52.57731
2022-11-03,33.50515
2022-11-04,45.36082
2022-11-05,36.59793
2022-11-06,34.53608
2022-11-07,40.20618
2022-11-08,41.23711
2022-11-09,32.98969
2022-11-10,37.1134
2022-11-11,30.41237
2022-11-12,42.26804
2022-11-13,45.87628
2022-11-14,46.90721
2022-11-15,32.47422
2022-11-16,39.69072
2022-11-17,40.72164
2022-11-18,39.17525
2022-11-19,34.02061
2022-11-20,25.77319
2022-11-21,30.92783
2022-11-22,39.17525
2022-11-23,38.65979
2022-11-24,33.50515
2022-11-25,32.98969
2022-11-26,32.47422
2022-11-27,29.8969
2022-11-28,38.14432
2022-11-29,29.38144
2022-11-30,36.59793
2022-12-01,32.47422
2022-12-02,33.50515
