date,미국배당주
2021-12-28,36.67029
2021-12-29,35.03808
2021-12-30,28.29162
2021-12-31,23.72143
2022-01-01,19.36887
2022-01-02,22.08922
2022-01-03,24.15669
2022-01-04,32.42655
2022-01-05,30.79434
2022-01-06,32.31773
2022-01-07,33.40587
2022-01-08,24.48313
2022-01-09,27.20348
2022-01-10,27.52992
2022-01-11,31.33841
2022-01-12,30.90315
2022-01-13,34.27638
2022-01-14,33.29706
2022-01-15,24.59194
2022-01-16,26.76822
2022-01-17,27.63873
2022-01-18,24.80957
2022-01-19,28.07399
2022-01-20,31.12078
2022-01-21,26.98585
2022-01-22,26.22415
2022-01-23,27.20348
2022-01-24,27.63873
2022-01-25,33.07943
2022-01-26,41.67573
2022-01-27,46.8988
2022-01-28,45.70184
2022-01-29,37.32317
2022-01-30,31.77366
2022-01-31,29.37976
2022-02-01,47.11643
2022-02-02,45.04896
2022-02-03,46.8988
2022-02-04,44.83133
2022-02-05,31.55603
2022-02-06,33.6235
2022-02-07,31.66485
2022-02-08,31.33841
2022-02-09,31.77366
2022-02-10,36.45266
2022-02-11,34.05875
2022-02-12,25.89771
2022-02-13,24.37431
2022-02-14,26.65941
2022-02-15,32.1001
2022-02-16,32.97062
2022-02-17,36.12622
2022-02-18,31.44722
2022-02-19,27.63873
2022-02-20,24.80957
2022-02-21,27.74755
2022-02-22,27.96517
2022-02-23,32.20892
2022-02-24,31.77366
2022-02-25,32.31773
2022-02-26,24.2655
2022-02-27,22.95973
2022-02-28,26.87704
2022-03-01,35.79978
2022-03-02,31.01196
2022-03-03,30.46789
2022-03-04,29.59738
2022-03-05,29.59738
2022-03-06,21.32752
2022-03-07,24.80957
2022-03-08,24.48313
2022-03-09,27.63873
2022-03-10,22.85092
2022-03-11,25.13601
2022-03-12,26.55059
2022-03-13,23.61262
2022-03-14,26.65941
2022-03-15,32.20892
2022-03-16,37.43199
2022-03-17,33.73231
2022-03-18,34.92927
2022-03-19,36.88792
2022-03-20,27.09466
2022-03-21,34.49401
2022-03-22,39.82589
2022-03-23,33.73231
2022-03-24,35.90859
2022-03-25,30.35908
2022-03-26,28.50924
2022-03-27,24.48313
2022-03-28,32.42655
2022-03-29,42.00217
2022-03-30,40.91403
2022-03-31,40.91403
2022-04-01,32.8618
2022-04-02,27.20348
2022-04-03,28.29162
2022-04-04,32.42655
2022-04-05,36.88792
2022-04-06,35.36452
2022-04-07,29.92383
2022-04-08,31.99129
2022-04-09,23.17736
2022-04-10,23.17736
2022-04-11,23.83025
2022-04-12,30.14145
2022-04-13,31.12078
2022-04-14,26.65941
2022-04-15,25.24483
2022-04-16,15.6692
2022-04-17,20.45701
2022-04-18,20.78346
2022-04-19,24.37431
2022-04-20,29.7062
2022-04-21,35.58215
2022-04-22,29.7062
2022-04-23,21.54515
2022-04-24,20.78346
2022-04-25,21.65397
2022-04-26,28.61806
2022-04-27,24.04787
2022-04-28,22.52448
2022-04-29,25.57127
2022-04-30,18.71599
2022-05-01,14.03699
2022-05-02,22.63329
2022-05-03,25.89771
2022-05-04,22.19804
2022-05-05,20.67464
2022-05-06,22.52448
2022-05-07,19.15125
2022-05-08,15.6692
2022-05-09,15.77801
2022-05-10,24.80957
2022-05-11,20.02176
2022-05-12,23.28618
2022-05-13,29.7062
2022-05-14,16.10446
2022-05-15,15.88683
2022-05-16,21.21871
2022-05-17,23.28618
2022-05-18,22.85092
2022-05-19,30.25027
2022-05-20,19.91294
2022-05-21,17.95429
2022-05-22,15.23394
2022-05-23,16.53971
2022-05-24,18.93362
2022-05-25,20.45701
2022-05-26,22.08922
2022-05-27,14.68988
2022-05-28,19.04243
2022-05-29,14.9075
2022-05-30,17.73667
2022-05-31,21.1099
2022-06-01,21.54515
2022-06-02,14.36343
2022-06-03,16.86615
2022-06-04,14.36343
2022-06-05,13.60174
2022-06-06,15.88683
2022-06-07,17.1926
2022-06-08,21.00108
2022-06-09,22.52448
2022-06-10,20.3482
2022-06-11,17.51904
2022-06-12,12.18715
2022-06-13,20.67464
2022-06-14,28.40043
2022-06-15,22.52448
2022-06-16,20.02176
2022-06-17,21.87159
2022-06-18,19.91294
2022-06-19,18.06311
2022-06-20,18.06311
2022-06-21,16.4309
2022-06-22,18.49836
2022-06-23,17.62785
2022-06-24,15.45157
2022-06-25,11.31664
2022-06-26,14.79869
2022-06-27,18.8248
2022-06-28,19.91294
2022-06-29,16.86615
2022-06-30,15.45157
2022-07-01,14.25462
2022-07-02,12.18715
2022-07-03,9.57562
2022-07-04,13.27529
2022-07-05,13.38411
2022-07-06,15.34276
2022-07-07,14.03699
2022-07-08,13.38411
2022-07-09,10.9902
2022-07-10,11.86071
2022-07-11,12.40478
2022-07-12,14.47225
2022-07-13,15.12513
2022-07-14,14.79869
2022-07-15,17.84548
2022-07-16,12.29597
2022-07-17,10.01088
2022-07-18,16.53971
2022-07-19,18.49836
2022-07-20,17.84548
2022-07-21,18.60718
2022-07-22,20.67464
2022-07-23,16.10446
2022-07-24,18.06311
2022-07-25,20.56583
2022-07-26,23.17736
2022-07-27,20.13057
2022-07-28,21.1099
2022-07-29,18.8248
2022-07-30,18.49836
2022-07-31,10.66376
2022-08-01,20.02176
2022-08-02,23.93906
2022-08-03,21.32752
2022-08-04,27.63873
2022-08-05,25.0272
2022-08-06,18.06311
2022-08-07,18.06311
2022-08-08,21.65397
2022-08-09,20.13057
2022-08-10,20.02176
2022-08-11,26.55059
2022-08-12,28.1828
2022-08-13,24.2655
2022-08-14,22.19804
2022-08-15,22.63329
2022-08-16,31.33841
2022-08-17,36.23503
2022-08-18,30.03264
2022-08-19,26.98585
2022-08-20,22.95973
2022-08-21,22.19804
2022-08-22,24.04787
2022-08-23,26.76822
2022-08-24,23.61262
2022-08-25,26.76822
2022-08-26,34.82045
2022-08-27,21.21871
2022-08-28,23.06855
2022-08-29,23.83025
2022-08-30,27.09466
2022-08-31,25.89771
2022-09-01,20.89227
2022-09-02,20.23939
2022-09-03,13.92818
2022-09-04,12.29597
2022-09-05,16.64853
2022-09-06,16.4309
2022-09-07,18.49836
2022-09-08,20.45701
2022-09-09,16.32208
2022-09-10,14.14581
2022-09-11,12.73122
2022-09-12,18.49836
2022-09-13,24.70076
2022-09-14,25.7889
2022-09-15,24.70076
2022-09-16,23.17736
2022-09-17,13.60174
2022-09-18,12.84004
2022-09-19,17.30141
2022-09-20,24.04787
2022-09-21,20.23939
2022-09-22,17.73667
2022-09-23,15.12513
2022-09-24,11.7519
2022-09-25,12.40478
2022-09-26,16.53971
2022-09-27,17.95429
2022-09-28,19.5865
2022-09-29,20.02176
2022-09-30,13.81936
2022-10-01,11.42546
2022-10-02,11.64309
2022-10-03,14.25462
2022-10-04,16.32208
2022-10-05,17.95429
2022-10-06,17.84548
2022-10-07,13.27529
2022-10-08,13.05767
2022-10-09,13.05767
2022-10-10,12.73122
2022-10-11,17.41022
2022-10-12,16.64853
2022-10-13,15.56039
2022-10-14,15.88683
2022-10-15,13.81936
2022-10-16,14.14581
2022-10-17,15.77801
2022-10-18,19.47769
2022-10-19,14.25462
2022-10-20,15.01632
2022-10-21,12.40478
2022-10-22,12.18715
2022-10-23,10.66376
2022-10-24,13.81936
2022-10-25,17.30141
2022-10-26,15.12513
2022-10-27,20.02176
2022-10-28,21.87159
2022-10-29,16.53971
2022-10-30,10.88139
2022-10-31,13.16648
2022-11-01,17.30141
2022-11-02,16.10446
2022-11-03,15.01632
2022-11-04,15.34276
2022-11-05,10.44613
2022-11-06,9.14036
2022-11-07,13.38411
2022-11-08,18.60718
2022-11-09,15.56039
2022-11-10,16.75734
2022-11-11,19.80413
2022-11-12,17.1926
2022-11-13,14.58106
2022-11-14,18.06311
2022-11-15,24.2655
2022-11-16,21.87159
2022-11-17,19.04243
2022-11-18,18.06311
2022-11-19,12.73122
2022-11-20,11.64309
2022-11-21,10.2285
2022-11-22,14.36343
2022-11-23,15.88683
2022-11-24,17.30141
2022-11-25,14.68988
2022-11-26,13.16648
2022-11-27,9.68443
2022-11-28,15.01632
2022-11-29,14.03699
2022-11-30,15.23394
2022-12-01,14.14581
2022-12-02,16.64853
2022-12-03,10.11969
2022-12-04,12.29597
2022-12-05,12.62241
2022-12-06,15.77801
2022-12-07,16.32208
2022-12-08,16.4309
2022-12-09,16.75734
2022-12-10,12.94885
2022-12-11,11.31664
2022-12-12,13.49292
2022-12-13,21.1099
2022-12-14,17.30141
2022-12-15,15.56039
2022-12-16,16.97497
2022-12-17,14.03699
2022-12-18,13.60174
2022-12-19,14.68988
2022-12-20,19.91294
2022-12-21,20.3482
2022-12-22,18.28073
2022-12-23,19.5865
2022-12-24,12.62241
2022-12-25,11.64309
2022-12-26,15.45157
2022-12-27,20.23939
2022-12-28,19.5865
2022-12-29,17.08378
2022-12-30,17.84548
2022-12-31,11.31664
2023-01-01,10.11969
2023-01-02,13.16648
2023-01-03,20.23939
2023-01-04,23.93906
2023-01-05,18.17192
2023-01-06,15.99564
2023-01-07,14.03699
2023-01-08,13.60174
2023-01-09,16.4309
2023-01-10,23.28618
2023-01-11,20.89227
2023-01-12,24.2655
2023-01-13,21.87159
2023-01-14,17.51904
2023-01-15,17.1926
2023-01-16,21.43634
2023-01-17,22.63329
2023-01-18,23.5038
2023-01-19,26.87704
2023-01-20,18.60718
2023-01-21,16.86615
2023-01-22,15.23394
2023-01-23,16.21327
2023-01-24,27.63873
2023-01-25,31.66485
2023-01-26,35.69096
2023-01-27,30.90315
2023-01-28,25.89771
2023-01-29,20.13057
2023-01-30,28.61806
2023-01-31,31.12078
2023-02-01,35.36452
2023-02-02,35.03808
2023-02-03,36.88792
2023-02-04,29.37976
2023-02-05,27.85636
2023-02-06,31.66485
2023-02-07,37.97606
2023-02-08,30.25027
2023-02-09,31.77366
2023-02-10,28.29162
2023-02-11,19.69532
2023-02-12,18.06311
2023-02-13,28.9445
2023-02-14,29.81501
2023-02-15,30.46789
2023-02-16,31.01196
2023-02-17,29.05331
2023-02-18,20.3482
2023-02-19,21.65397
2023-02-20,25.68008
2023-02-21,23.93906
2023-02-22,22.52448
2023-02-23,25.46245
2023-02-24,24.04787
2023-02-25,21.76278
2023-02-26,19.69532
2023-02-27,21.32752
2023-02-28,26.22415
2023-03-01,25.35364
2023-03-02,23.61262
2023-03-03,27.52992
2023-03-04,23.93906
2023-03-05,17.1926
2023-03-06,22.95973
2023-03-07,27.96517
2023-03-08,21.32752
2023-03-09,23.17736
2023-03-10,16.86615
2023-03-11,13.27529
2023-03-12,15.56039
2023-03-13,16.32208
2023-03-14,19.04243
2023-03-15,20.13057
2023-03-16,23.17736
2023-03-17,22.19804
2023-03-18,16.10446
2023-03-19,15.6692
2023-03-20,23.39499
2023-03-21,21.54515
2023-03-22,21.21871
2023-03-23,23.83025
2023-03-24,23.39499
2023-03-25,16.10446
2023-03-26,13.05767
2023-03-27,18.28073
2023-03-28,25.57127
2023-03-29,27.4211
2023-03-30,27.31229
2023-03-31,31.12078
2023-04-01,24.70076
2023-04-02,20.89227
2023-04-03,24.37431
2023-04-04,27.85636
2023-04-05,32.1001
2023-04-06,26.87704
2023-04-07,24.04787
2023-04-08,16.21327
2023-04-09,18.8248
2023-04-10,21.21871
2023-04-11,25.68008
2023-04-12,28.72687
2023-04-13,27.31229
2023-04-14,29.27094
2023-04-15,22.30685
2023-04-16,20.13057
2023-04-17,23.61262
2023-04-18,30.57671
2023-04-19,24.04787
2023-04-20,23.5038
2023-04-21,22.19804
2023-04-22,19.26006
2023-04-23,13.92818
2023-04-24,22.85092
2023-04-25,22.85092
2023-04-26,22.08922
2023-04-27,20.78346
2023-04-28,19.47769
2023-04-29,19.47769
2023-04-30,14.36343
2023-05-01,18.38955
2023-05-02,25.68008
2023-05-03,21.32752
2023-05-04,22.08922
2023-05-05,24.48313
2023-05-06,19.91294
2023-05-07,17.84548
2023-05-08,22.85092
2023-05-09,27.63873
2023-05-10,23.83025
2023-05-11,27.63873
2023-05-12,24.48313
2023-05-13,18.28073
2023-05-14,17.1926
2023-05-15,21.98041
2023-05-16,23.83025
2023-05-17,24.59194
2023-05-18,25.24483
2023-05-19,26.65941
2023-05-20,16.4309
2023-05-21,21.00108
2023-05-22,24.70076
2023-05-23,30.79434
2023-05-24,22.08922
2023-05-25,22.63329
2023-05-26,29.37976
