date,TQQQ주가
2022-12-04,6.40706
2022-12-05,20.62045
2022-12-06,40.42161
2022-12-07,41.34217
2022-12-08,37.21807
2022-12-09,37.15364
2022-12-10,22.78376
2022-12-11,5.73506
2022-12-12,19.57102
2022-12-13,52.13108
2022-12-14,53.84332
2022-12-15,48.14507
2022-12-16,49.12086
2022-12-17,28.61088
2022-12-18,7.30921
2022-12-19,22.95866
2022-12-20,48.6882
2022-12-21,46.3592
2022-12-22,44.34318
2022-12-23,58.37245
2022-12-24,29.93648
2022-12-25,8.85574
2022-12-26,16.13734
2022-12-27,31.17002
2022-12-28,52.02062
2022-12-29,52.665
2022-12-30,45.61355
2022-12-31,28.18742
2023-01-01,8.10089
2023-01-02,15.75071
2023-01-03,29.54984
2023-01-04,48.32919
2023-01-05,45.6964
2023-01-06,45.8713
2023-01-07,39.83245
2023-01-08,8.7821
2023-01-09,30.10218
2023-01-10,51.94697
2023-01-11,49.58114
2023-01-12,59.07207
2023-01-13,52.14949
2023-01-14,39.86007
2023-01-15,9.38967
2023-01-16,15.9072
2023-01-17,30.43358
2023-01-18,48.679
2023-01-19,43.36739
2023-01-20,38.5897
2023-01-21,40.67937
2023-01-22,9.26079
2023-01-23,23.43735
2023-01-24,59.67044
2023-01-25,53.69603
2023-01-26,60.9316
2023-01-27,59.37586
2023-01-28,43.86449
2023-01-29,10.65083
2023-01-30,30.12059
2023-01-31,49.79287
2023-02-01,53.65
2023-02-02,85.92469
2023-02-03,97.99318
2023-02-04,46.32237
2023-02-05,9.85915
2023-02-06,32.55086
2023-02-07,54.96639
2023-02-08,65.08331
2023-02-09,57.11129
2023-02-10,54.56135
2023-02-11,28.68452
2023-02-12,7.75108
2023-02-13,26.84341
2023-02-14,57.90297
2023-02-15,58.81432
2023-02-16,56.84433
2023-02-17,47.37181
2023-02-18,30.26788
2023-02-19,8.1193
2023-02-20,15.34566
2023-02-21,30.11138
2023-02-22,49.95857
2023-02-23,51.21053
2023-02-24,45.66878
2023-02-25,28.26106
2023-02-26,7.54855
2023-02-27,23.47417
2023-02-28,38.4148
2023-03-01,38.5897
2023-03-02,39.47344
2023-03-03,40.80824
2023-03-04,29.39335
2023-03-05,8.63481
2023-03-06,25.72954
2023-03-07,41.94973
2023-03-08,41.50787
2023-03-09,40.77142
2023-03-10,42.84267
2023-03-11,31.84203
2023-03-12,8.9478
2023-03-13,35.22047
2023-03-14,49.95857
2023-03-15,48.80787
2023-03-16,45.80686
2023-03-17,57.10208
2023-03-18,26.77897
2023-03-19,7.7971
2023-03-20,26.94467
2023-03-21,47.76765
2023-03-22,52.37043
2023-03-23,59.32983
2023-03-24,51.41305
2023-03-25,25.48099
2023-03-26,6.76608
2023-03-27,28.37153
2023-03-28,41.58151
2023-03-29,42.86108
2023-03-30,52.68342
2023-03-31,51.52352
2023-04-01,34.12501
2023-04-02,9.46331
2023-04-03,31.33572
2023-04-04,47.63877
2023-04-05,43.80926
2023-04-06,41.46184
2023-04-07,31.89726
2023-04-08,11.57138
2023-04-09,6.40706
2023-04-10,25.35211
2023-04-11,44.33397
2023-04-12,41.8945
2023-04-13,40.21909
2023-04-14,42.79664
2023-04-15,21.04391
2023-04-16,5.93758
2023-04-17,22.88502
2023-04-18,39.96133
2023-04-19,36.12261
2023-04-20,36.11341
2023-04-21,33.27809
2023-04-22,16.80935
2023-04-23,4.87894
2023-04-24,19.24882
2023-04-25,33.90407
2023-04-26,41.64595
2023-04-27,38.40559
2023-04-28,43.19248
2023-04-29,24.56043
2023-04-30,6.37024
2023-05-01,20.88741
2023-05-02,36.82224
2023-05-03,34.16183
2023-05-04,34.89827
2023-05-05,32.38516
2023-05-06,25.60066
2023-05-07,6.59118
2023-05-08,21.88161
2023-05-09,33.60029
2023-05-10,37.45742
2023-05-11,41.3974
2023-05-12,39.70358
2023-05-13,19.24882
2023-05-14,5.25637
2023-05-15,22.01049
2023-05-16,37.89008
2023-05-17,41.26852
2023-05-18,51.34861
2023-05-19,58.63941
2023-05-20,22.97707
2023-05-21,7.26318
2023-05-22,26.76976
2023-05-23,45.38341
2023-05-24,35.49663
2023-05-25,53.43827
2023-05-26,57.76488
2023-05-27,45.5399
2023-05-28,11.7555
2023-05-29,20.02209
2023-05-30,54.92957
2023-05-31,56.32882
2023-06-01,44.14986
2023-06-02,55.29779
2023-06-03,32.02614
2023-06-04,9.02144
2023-06-05,39.22489
2023-06-06,48.29236
2023-06-07,47.5283
2023-06-08,48.28316
2023-06-09,52.12188
2023-06-10,27.9941
2023-06-11,7.57617
2023-06-12,28.90545
2023-06-13,67.34787
2023-06-14,60.02025
2023-06-15,61.32744
2023-06-16,68.49857
2023-06-17,30.25867
2023-06-18,8.50593
2023-06-19,17.21439
2023-06-20,32.94669
2023-06-21,45.0336
2023-06-22,42.92552
2023-06-23,42.26272
2023-06-24,21.55021
2023-06-25,6.23216
2023-06-26,23.81478
2023-06-27,41.51707
2023-06-28,45.32817
2023-06-29,42.19828
2023-06-30,41.83927
2023-07-01,29.43938
2023-07-02,7.99042
2023-07-03,27.47859
2023-07-04,30.1482
2023-07-05,27.1656
2023-07-06,35.14682
2023-07-07,31.86964
2023-07-08,20.74933
2023-07-09,5.53254
2023-07-10,20.69409
2023-07-11,34.39197
2023-07-12,39.06839
2023-07-13,45.81607
2023-07-14,51.53272
2023-07-15,30.71895
2023-07-16,7.08828
2023-07-17,24.12777
2023-07-18,44.90472
2023-07-19,58.93399
2023-07-20,46.74583
2023-07-21,41.25011
2023-07-22,20.66648
2023-07-23,6.06646
2023-07-24,20.44554
2023-07-25,34.55767
2023-07-26,36.86826
2023-07-27,41.10282
2023-07-28,39.04078
2023-07-29,27.46939
2023-07-30,6.75688
2023-07-31,24.06333
2023-08-01,36.53686
2023-08-02,36.96952
2023-08-03,36.31593
2023-08-04,34.42879
2023-08-05,19.62625
2023-08-06,5.56936
2023-08-07,17.79434
2023-08-08,30.49802
2023-08-09,30.01933
2023-08-10,33.33333
2023-08-11,30.70054
2023-08-12,19.16597
2023-08-13,5.21955
2023-08-14,17.3985
2023-08-15,29.13559
2023-08-16,27.76396
2023-08-17,31.98011
2023-08-18,34.08818
2023-08-19,18.14415
2023-08-20,5.4773
2023-08-21,17.21439
2023-08-22,32.2931
2023-08-23,28.93307
2023-08-24,38.31354
2023-08-25,31.16082
2023-08-26,19.212
2023-08-27,5.22875
2023-08-28,21.25563
2023-08-29,28.96069
2023-08-30,36.19626
2023-08-31,32.14581
2023-09-01,30.84783
2023-09-02,15.84276
2023-09-03,4.86053
2023-09-04,11.32283
2023-09-05,19.77354
2023-09-06,26.15299
2023-09-07,26.45677
2023-09-08,23.99889
2023-09-09,13.54137
2023-09-10,4.84212
2023-09-11,16.71729
2023-09-12,27.21163
2023-09-13,26.08855
2023-09-14,26.62247
2023-09-15,26.37392
2023-09-16,16.17416
2023-09-17,3.986
2023-09-18,14.30544
2023-09-19,23.75955
2023-09-20,23.11516
2023-09-21,28.6477
2023-09-22,28.17821
2023-09-23,17.99687
2023-09-24,4.67642
2023-09-25,14.27782
2023-09-26,25.09435
2023-09-27,24.36711
2023-09-28,21.43974
2023-09-29,22.92184
2023-09-30,14.2502
2023-10-01,5.29319
2023-10-02,12.68526
2023-10-03,24.28426
2023-10-04,30.26788
2023-10-05,25.86762
2023-10-06,23.45576
2023-10-07,17.30645
2023-10-08,5.04464
2023-10-09,13.4125
2023-10-10,27.4878
2023-10-11,29.79839
2023-10-12,28.37153
2023-10-13,26.60406
2023-10-14,13.76231
2023-10-15,3.89395
2023-10-16,14.51716
2023-10-17,24.58805
2023-10-18,22.28666
2023-10-19,24.79977
2023-10-20,25.55463
2023-10-21,16.24781
2023-10-22,4.93418
2023-10-23,17.93243
2023-10-24,26.21743
2023-10-25,26.15299
2023-10-26,35.13762
2023-10-27,31.52904
2023-10-28,15.35487
2023-10-29,5.09988
2023-10-30,15.17076
2023-10-31,25.91365
2023-11-01,24.1738
2023-11-02,31.18843
2023-11-03,31.18843
2023-11-04,24.56043
2023-11-05,5.22875
2023-11-06,20.11414
2023-11-07,27.10116
2023-11-08,28.38074
2023-11-09,26.62247
2023-11-10,23.11516
2023-11-11,20.76774
2023-11-12,4.89735
2023-11-13,15.898
2023-11-14,28.67531
2023-11-15,41.36058
2023-11-16,31.83282
2023-11-17,27.10116
2023-11-18,16.54239
2023-11-19,4.93418
2023-11-20,15.19837
2023-11-21,33.16763
2023-11-22,27.95728
2023-11-23,24.02651
2023-11-24,15.72309
2023-11-25,11.89358
2023-11-26,4.24376
2023-11-27,13.92801
2023-11-28,23.95286
2023-11-29,26.62247
2023-11-30,26.18061
2023-12-01,21.32928
2023-12-02,14.95903
2023-12-03,4.86974
2023-12-04,13.55979
2023-12-05,21.75273
2023-12-06,23.87001
2023-12-07,22.21301
2023-12-08,24.37632
2023-12-09,17.35248
2023-12-10,5.09067
2023-12-11,14.71048
2023-12-12,35.03636
2023-12-13,35.55187
2023-12-14,50.47408
2023-12-15,42.2259
2023-12-16,24.23823
2023-12-17,6.51753
2023-12-18,20.11414
2023-12-19,38.99475
2023-12-20,38.57129
2023-12-21,36.55527
2023-12-22,31.77759
2023-12-23,19.91162
2023-12-24,5.54174
2023-12-25,6.04805
2023-12-26,18.68728
2023-12-27,34.26309
2023-12-28,34.53926
2023-12-29,28.04013
2023-12-30,16.84617
2023-12-31,5.66141
2024-01-01,5.84553
2024-01-02,20.29826
2024-01-03,33.13081
