date,KODEX레버리지
2022-12-31,0.86448
2023-01-01,0.64238
2023-01-02,3.27684
2023-01-03,4.47276
2023-01-04,4.03539
2023-01-05,3.41693
2023-01-06,3.53311
2023-01-07,0.8884
2023-01-08,0.67655
2023-01-09,3.55019
2023-01-10,3.4306
2023-01-11,2.8258
2023-01-12,3.35201
2023-01-13,3.35542
2023-01-14,0.65946
2023-01-15,0.53645
2023-01-16,3.24267
2023-01-17,2.51486
2023-01-18,2.56953
2023-01-19,2.68912
2023-01-20,2.29959
2023-01-21,0.4442
2023-01-22,0.40319
2023-01-23,0.38611
2023-01-24,0.7483
2023-01-25,3.04448
2023-01-26,3.70395
2023-01-27,3.57069
2023-01-28,0.78589
2023-01-29,0.61504
2023-01-30,3.03082
2023-01-31,3.15724
2023-02-01,3.0684
2023-02-02,3.23241
2023-02-03,3.21191
2023-02-04,0.6663
2023-02-05,0.54329
2023-02-06,3.23241
2023-02-07,2.93856
2023-02-08,3.34859
2023-02-09,3.09915
2023-02-10,2.40893
2023-02-11,0.53987
2023-02-12,0.46128
2023-02-13,2.40893
2023-02-14,2.53878
2023-02-15,3.17091
2023-02-16,3.47502
2023-02-17,3.15041
2023-02-18,0.58087
2023-02-19,0.43736
2023-02-20,2.76088
2023-02-21,2.69254
2023-02-22,3.18799
2023-02-23,3.11282
2023-02-24,2.43627
2023-02-25,0.57746
2023-02-26,0.9089
2023-02-27,3.68345
2023-02-28,2.65837
2023-03-01,0.67996
2023-03-02,2.65837
2023-03-03,2.47044
2023-03-04,0.58771
2023-03-05,0.44761
2023-03-06,2.96248
2023-03-07,2.99323
2023-03-08,2.80188
2023-03-09,2.90781
2023-03-10,3.12991
2023-03-11,0.71072
2023-03-12,1.03874
2023-03-13,4.36
2023-03-14,4.78029
2023-03-15,4.35317
2023-03-16,3.83721
2023-03-17,3.36226
2023-03-18,0.73464
2023-03-19,1.10366
2023-03-20,3.85088
2023-03-21,3.59803
2023-03-22,3.74154
2023-03-23,3.62878
2023-03-24,3.21191
2023-03-25,0.68338
2023-03-26,0.57404
2023-03-27,2.8668
2023-03-28,3.05815
2023-03-29,3.23925
2023-03-30,3.03082
2023-03-31,2.80188
2023-04-01,0.90548
2023-04-02,0.67313
2023-04-03,2.63445
2023-04-04,2.69254
2023-04-05,2.60712
2023-04-06,2.79846
2023-04-07,3.04448
2023-04-08,0.43736
2023-04-09,0.42711
2023-04-10,2.93514
2023-04-11,3.71762
2023-04-12,3.36909
2023-04-13,3.45452
2023-04-14,3.12649
2023-04-15,0.69022
2023-04-16,0.46128
2023-04-17,2.63103
2023-04-18,2.60712
2023-04-19,2.71646
2023-04-20,2.6652
2023-04-21,2.31326
2023-04-22,0.55696
2023-04-23,0.35877
2023-04-24,2.22442
2023-04-25,3.18799
2023-04-26,2.94539
2023-04-27,3.04107
2023-04-28,3.21191
2023-04-29,0.68338
2023-04-30,0.44078
2023-05-01,0.69363
2023-05-02,2.31326
2023-05-03,2.68571
2023-05-04,2.42602
2023-05-05,0.69705
2023-05-06,0.51254
2023-05-07,0.37244
2023-05-08,2.23467
2023-05-09,2.16291
2023-05-10,2.44994
2023-05-11,2.48752
2023-05-12,2.36451
2023-05-13,0.51254
2023-05-14,0.38953
2023-05-15,2.77113
2023-05-16,2.51486
2023-05-17,2.37476
2023-05-18,2.48411
2023-05-19,2.72329
2023-05-20,0.53987
2023-05-21,0.38611
2023-05-22,2.92489
2023-05-23,2.85655
2023-05-24,2.64129
2023-05-25,2.44652
2023-05-26,2.14241
