date,실비보험
2022-08-02,8.5082
2022-08-03,7.87826
2022-08-04,7.84282
2022-08-05,7.30343
2022-08-06,5.13406
2022-08-07,4.55136
2022-08-08,8.93342
2022-08-09,8.18536
2022-08-10,8.92554
2022-08-11,8.22079
2022-08-12,7.98456
2022-08-13,5.04744
2022-08-14,4.31906
2022-08-15,4.61041
2022-08-16,9.36257
2022-08-17,9.28776
2022-08-18,9.38619
2022-08-19,7.85463
2022-08-20,5.29548
2022-08-21,4.40962
2022-08-22,9.89015
2022-08-23,10.13819
2022-08-24,9.79566
2022-08-25,9.09878
2022-08-26,8.27985
2022-08-27,5.24823
2022-08-28,4.26001
2022-08-29,9.74447
2022-08-30,9.55549
2022-08-31,9.13028
2022-09-01,8.75625
2022-09-02,7.50423
2022-09-03,5.06319
2022-09-04,4.77577
2022-09-05,8.17748
2022-09-06,7.87038
2022-09-07,7.90976
2022-09-08,6.7601
2022-09-09,3.65762
2022-09-10,3.82298
2022-09-11,3.91353
2022-09-12,5.47659
2022-09-13,11.18547
2022-09-14,10.3508
2022-09-15,9.34288
2022-09-16,8.73262
2022-09-17,5.85849
2022-09-18,4.7679
2022-09-19,9.96889
2022-09-20,9.44131
2022-09-21,9.19327
2022-09-22,9.35076
2022-09-23,8.48852
2022-09-24,5.25217
2022-09-25,4.67341
2022-09-26,10.42954
2022-09-27,9.27595
2022-09-28,9.02004
2022-09-29,9.39013
2022-09-30,7.7129
2022-10-01,4.78365
2022-10-02,3.50407
2022-10-03,4.77971
2022-10-04,9.00035
2022-10-05,8.69719
2022-10-06,9.14209
2022-10-07,7.6814
2022-10-08,4.83089
2022-10-09,4.06708
2022-10-10,5.07106
2022-10-11,9.17752
2022-10-12,8.62238
2022-10-13,9.03185
2022-10-14,8.38221
2022-10-15,4.88601
2022-10-16,4.36631
2022-10-17,9.42556
2022-10-18,9.69723
2022-10-19,8.48458
2022-10-20,8.49246
2022-10-21,8.46883
2022-10-22,5.53958
2022-10-23,4.74034
2022-10-24,9.93346
2022-10-25,10.33111
2022-10-26,9.51612
2022-10-27,8.40584
2022-10-28,7.88613
2022-10-29,4.92539
2022-10-30,3.79542
2022-10-31,8.96098
2022-11-01,9.0161
2022-11-02,9.24052
2022-11-03,9.24839
2022-11-04,8.55151
2022-11-05,5.00807
2022-11-06,4.11433
2022-11-07,10.05551
2022-11-08,9.398
2022-11-09,8.77199
