date,김프
2022-05-06,3.0934
2022-05-07,1.55356
2022-05-08,2.59471
2022-05-09,3.52599
2022-05-10,6.82368
2022-05-11,8.10172
2022-05-12,12.8886
2022-05-13,6.88719
2022-05-14,4.05386
2022-05-15,2.66767
2022-05-16,3.38008
2022-05-17,2.63591
2022-05-18,2.75865
2022-05-19,3.38952
2022-05-20,2.45566
2022-05-21,1.82565
2022-05-22,1.66772
2022-05-23,2.47798
2022-05-24,2.75865
2022-05-25,2.30631
2022-05-26,2.74234
2022-05-27,2.69514
2022-05-28,1.89603
2022-05-29,1.56644
2022-05-30,2.18357
2022-05-31,2.50459
2022-06-01,1.93895
2022-06-02,2.36382
2022-06-03,1.71149
2022-06-04,1.34585
2022-06-05,1.21796
2022-06-06,1.79132
2022-06-07,2.01363
2022-06-08,1.81964
2022-06-09,1.47374
2022-06-10,1.63768
2022-06-11,1.64111
2022-06-12,2.18186
2022-06-13,4.13798
2022-06-14,4.07103
2022-06-15,3.16979
2022-06-16,2.92345
2022-06-17,2.49
2022-06-18,2.55866
2022-06-19,3.18352
2022-06-20,2.73891
2022-06-21,2.37755
2022-06-22,2.23679
2022-06-23,1.85999
2022-06-24,2.1089
2022-06-25,1.63081
2022-06-26,1.44026
2022-06-27,2.05225
2022-06-28,1.84883
2022-06-29,1.85655
2022-06-30,2.24966
2022-07-01,2.5269
2022-07-02,1.26002
2022-07-03,1.17075
2022-07-04,1.58275
2022-07-05,1.97414
2022-07-06,1.58189
2022-07-07,1.50893
2022-07-08,2.08658
2022-07-09,1.31924
2022-07-10,1.31838
2022-07-11,1.63425
2022-07-12,1.66944
2022-07-13,1.76385
2022-07-14,1.57073
2022-07-15,1.63339
2022-07-16,1.20852
2022-07-17,1.62652
2022-07-18,2.34666
2022-07-19,2.3664
2022-07-20,2.4651
2022-07-21,2.04452
2022-07-22,1.64197
2022-07-23,1.3922
2022-07-24,1.32267
2022-07-25,1.71407
2022-07-26,1.86428
2022-07-27,1.61965
2022-07-28,2.07628
2022-07-29,2.22391
2022-07-30,1.56215
2022-07-31,1.51751
2022-08-01,1.95869
2022-08-02,1.98702
2022-08-03,1.67802
2022-08-04,1.60335
2022-08-05,1.78703
2022-08-06,1.39391
2022-08-07,1.17075
2022-08-08,1.80677
2022-08-09,1.74154
2022-08-10,1.8823
2022-08-11,1.98788
2022-08-12,1.89603
2022-08-13,1.6085
2022-08-14,1.53554
2022-08-15,2.01191
2022-08-16,1.82651
2022-08-17,1.88144
2022-08-18,1.48061
2022-08-19,2.96465
2022-08-20,1.92436
2022-08-21,1.47975
2022-08-22,1.74068
2022-08-23,1.73381
2022-08-24,1.40164
2022-08-25,1.57931
2022-08-26,1.5321
2022-08-27,1.78789
2022-08-28,1.46859
2022-08-29,1.9338
2022-08-30,2.07714
2022-08-31,1.65313
2022-09-01,1.51923
2022-09-02,1.52695
2022-09-03,1.16217
2022-09-04,1.0523
2022-09-05,1.45571
2022-09-06,1.83252
2022-09-07,1.91835
2022-09-08,1.61622
2022-09-09,2.31919
2022-09-10,1.57502
2022-09-11,1.87543
2022-09-12,2.33893
2022-09-13,2.55437
2022-09-14,2.41704
2022-09-15,2.03852
2022-09-16,1.99903
2022-09-17,1.34757
2022-09-18,1.2686
2022-09-19,2.37927
2022-09-20,1.6806
2022-09-21,1.59562
2022-09-22,2.06427
2022-09-23,1.96213
2022-09-24,1.38619
2022-09-25,1.07633
2022-09-26,1.71235
2022-09-27,1.76986
2022-09-28,1.91578
2022-09-29,1.51751
2022-09-30,1.53554
2022-10-01,1.25315
2022-10-02,0.93042
2022-10-03,1.0832
2022-10-04,1.44026
2022-10-05,1.40078
2022-10-06,1.25487
2022-10-07,1.25315
2022-10-08,1.19307
2022-10-09,0.89179
2022-10-10,1.21624
2022-10-11,1.45743
2022-10-12,1.27032
2022-10-13,1.6806
2022-10-14,1.45486
2022-10-15,1.25572
2022-10-16,0.87978
2022-10-17,1.35014
2022-10-18,1.27718
2022-10-19,1.2274
2022-10-20,1.18019
2022-10-21,1.35786
2022-10-22,1.09779
2022-10-23,1.09264
2022-10-24,1.43168
2022-10-25,1.3819
2022-10-26,2.0368
2022-10-27,1.74411
2022-10-28,1.46687
2022-10-29,1.40765
2022-10-30,1.70205
2022-10-31,1.6291
2022-11-01,1.6188
2022-11-02,1.45571
2022-11-03,1.60935
2022-11-04,1.49691
2022-11-05,1.39477
2022-11-06,1.08578
2022-11-07,1.52953
2022-11-08,2.27456
2022-11-09,4.71907
2022-11-10,5.64176
2022-11-11,3.56204
2022-11-12,2.51317
2022-11-13,2.31833
2022-11-14,3.65646
2022-11-15,2.14237
2022-11-16,1.86599
2022-11-17,1.58961
2022-11-18,1.51666
2022-11-19,1.27461
2022-11-20,1.43941
2022-11-21,2.01277
2022-11-22,1.92865
2022-11-23,1.65313
2022-11-24,1.73639
2022-11-25,1.52781
2022-11-26,1.23942
2022-11-27,1.13813
2022-11-28,1.50035
2022-11-29,1.48318
2022-11-30,1.42481
2022-12-01,1.52095
2022-12-02,1.28577
2022-12-03,0.93128
2022-12-04,0.94673
2022-12-05,1.23856
2022-12-06,1.27032
2022-12-07,1.51151
2022-12-08,1.34928
2022-12-09,1.21367
2022-12-10,0.91754
2022-12-11,0.89179
2022-12-12,1.31667
2022-12-13,1.60592
