date,보험비교
2022-06-14,11.72595
2022-06-15,12.71409
2022-06-16,10.14492
2022-06-17,9.88142
2022-06-18,5.33596
2022-06-19,5.27009
2022-06-20,11.79183
2022-06-21,10.01317
2022-06-22,11.06719
2022-06-23,11.5942
2022-06-24,10.73781
2022-06-25,4.21607
2022-06-26,5.53359
2022-06-27,11.5942
2022-06-28,13.57048
2022-06-29,11.8577
2022-06-30,12.18708
2022-07-01,9.42028
2022-07-02,5.66534
2022-07-03,5.53359
2022-07-04,12.58234
2022-07-05,13.57048
2022-07-06,13.37285
2022-07-07,9.81554
2022-07-08,9.55204
2022-07-09,4.21607
2022-07-10,7.37812
2022-07-11,12.9776
2022-07-12,12.64822
2022-07-13,10.34255
2022-07-14,13.96574
2022-07-15,11.46245
2022-07-16,5.20421
2022-07-17,6.52173
2022-07-18,14.22924
2022-07-19,13.10935
2022-07-20,13.63636
2022-07-21,12.18708
2022-07-22,10.73781
2022-07-23,5.73122
2022-07-24,7.04874
2022-07-25,13.2411
2022-07-26,14.42687
2022-07-27,16.2714
2022-07-28,16.53491
2022-07-29,12.9776
2022-07-30,5.7971
2022-07-31,5.99472
2022-08-01,10.86956
2022-08-02,13.04347
2022-08-03,11.72595
2022-08-04,13.50461
2022-08-05,11.66007
2022-08-06,4.61133
2022-08-07,6.65349
2022-08-08,12.71409
2022-08-09,13.70223
2022-08-10,15.01976
2022-08-11,13.76811
2022-08-12,10.34255
2022-08-13,6.78524
2022-08-14,6.19235
2022-08-15,7.37812
2022-08-16,13.43873
2022-08-17,15.08563
2022-08-18,13.37285
2022-08-19,11.79183
2022-08-20,5.59947
2022-08-21,6.0606
2022-08-22,15.81027
2022-08-23,19.16996
2022-08-24,16.53491
2022-08-25,16.99604
2022-08-26,11.72595
2022-08-27,6.32411
2022-08-28,5.73122
2022-08-29,14.75625
2022-08-30,16.73254
2022-08-31,13.83399
2022-09-01,14.29512
2022-09-02,11.72595
2022-09-03,6.58761
2022-09-04,6.0606
2022-09-05,13.30698
2022-09-06,11.46245
2022-09-07,11.92358
2022-09-08,10.40843
2022-09-09,5.13833
2022-09-10,4.08432
2022-09-11,4.87483
2022-09-12,6.71936
2022-09-13,14.22924
2022-09-14,13.83399
2022-09-15,13.83399
2022-09-16,13.63636
2022-09-17,5.13833
2022-09-18,7.83926
2022-09-19,15.67852
2022-09-20,14.6245
2022-09-21,13.30698
2022-09-22,14.361
2022-09-23,11.79183
2022-09-24,6.0606
2022-09-25,5.73122
2022-09-26,15.81027
2022-09-27,14.55862
2022-09-28,15.15151
2022-09-29,16.53491
2022-09-30,14.82213
2022-10-01,5.46772
