date,지분경매
2023-02-12,25.0
2023-02-13,26.63043
2023-02-14,35.86956
2023-02-15,25.0
2023-02-16,31.52173
2023-02-17,22.82608
2023-02-18,21.19565
2023-02-19,30.43478
2023-02-20,38.58695
2023-02-21,34.7826
2023-02-22,32.60869
2023-02-23,30.43478
2023-02-24,34.23913
2023-02-25,23.36956
2023-02-26,26.08695
2023-02-27,40.21739
2023-02-28,31.52173
2023-03-01,27.17391
2023-03-02,22.82608
2023-03-03,30.97826
2023-03-04,20.65217
2023-03-05,27.71739
2023-03-06,33.15217
2023-03-07,33.15217
2023-03-08,23.91304
2023-03-09,28.80434
2023-03-10,26.08695
2023-03-11,35.32608
2023-03-12,21.73913
2023-03-13,19.56521
2023-03-14,27.17391
2023-03-15,26.63043
2023-03-16,27.71739
2023-03-17,21.19565
2023-03-18,25.54347
2023-03-19,27.71739
2023-03-20,25.54347
2023-03-21,36.95652
2023-03-22,24.45652
2023-03-23,26.08695
2023-03-24,18.47826
2023-03-25,17.93478
2023-03-26,26.63043
2023-03-27,36.41304
2023-03-28,22.82608
2023-03-29,28.80434
2023-03-30,22.2826
2023-03-31,27.17391
2023-04-01,20.10869
2023-04-02,16.84782
2023-04-03,27.17391
2023-04-04,22.2826
2023-04-05,30.97826
2023-04-06,27.71739
2023-04-07,26.08695
2023-04-08,17.93478
2023-04-09,21.73913
2023-04-10,33.69565
2023-04-11,28.26086
2023-04-12,29.34782
2023-04-13,26.63043
2023-04-14,23.91304
2023-04-15,16.84782
2023-04-16,17.3913
2023-04-17,31.52173
2023-04-18,30.97826
2023-04-19,26.63043
2023-04-20,21.73913
2023-04-21,20.65217
2023-04-22,17.3913
2023-04-23,17.93478
2023-04-24,36.95652
2023-04-25,26.63043
2023-04-26,29.34782
2023-04-27,27.17391
2023-04-28,17.93478
2023-04-29,15.76086
2023-04-30,21.73913
2023-05-01,20.65217
2023-05-02,33.15217
2023-05-03,20.65217
2023-05-04,20.10869
2023-05-05,14.67391
2023-05-06,28.80434
2023-05-07,11.41304
2023-05-08,22.82608
2023-05-09,32.60869
2023-05-10,21.19565
2023-05-11,20.65217
2023-05-12,17.93478
2023-05-13,14.67391
2023-05-14,16.30434
2023-05-15,25.0
2023-05-16,26.08695
2023-05-17,28.26086
2023-05-18,22.2826
2023-05-19,22.82608
2023-05-20,16.84782
2023-05-21,16.84782
2023-05-22,23.36956
2023-05-23,17.93478
2023-05-24,14.13043
2023-05-25,27.17391
2023-05-26,19.02173
2023-05-27,8.69565
2023-05-28,13.04347
2023-05-29,18.47826
2023-05-30,23.36956
