date,당진부동산
2022-03-30,25.44378
2022-03-31,24.70414
2022-04-01,22.10059
2022-04-02,17.4852
2022-04-03,18.55029
2022-04-04,21.68639
2022-04-05,23.28402
2022-04-06,22.8994
2022-04-07,22.81065
2022-04-08,21.15384
2022-04-09,22.98816
2022-04-10,20.35502
2022-04-11,22.98816
2022-04-12,23.84615
2022-04-13,22.45562
2022-04-14,21.89349
2022-04-15,22.51479
2022-04-16,18.49112
2022-04-17,17.51479
2022-04-18,22.72189
2022-04-19,22.2781
2022-04-20,21.2426
2022-04-21,21.4497
2022-04-22,22.63313
2022-04-23,18.40236
2022-04-24,19.52662
2022-04-25,23.07692
2022-04-26,31.21301
2022-04-27,28.57988
2022-04-28,24.94082
2022-04-29,21.21301
2022-04-30,19.11242
2022-05-01,23.25443
2022-05-02,22.95857
2022-05-03,19.91124
2022-05-04,18.55029
2022-05-05,18.19526
2022-05-06,18.84615
2022-05-07,16.00591
2022-05-08,16.33136
2022-05-09,20.17751
2022-05-10,19.67455
2022-05-11,20.56213
2022-05-12,22.01183
2022-05-13,19.20118
2022-05-14,19.20118
2022-05-15,16.71597
2022-05-16,19.76331
2022-05-17,19.97041
2022-05-18,20.02958
2022-05-19,21.68639
2022-05-20,21.39053
2022-05-21,18.16568
2022-05-22,16.21301
2022-05-23,19.23076
2022-05-24,19.97041
2022-05-25,20.85798
2022-05-26,20.76923
2022-05-27,20.88757
2022-05-28,17.8994
2022-05-29,16.8639
2022-05-30,20.94674
2022-05-31,23.60946
2022-06-01,18.81656
2022-06-02,20.97633
2022-06-03,18.43195
2022-06-04,17.6923
2022-06-05,15.68047
2022-06-06,17.21893
2022-06-07,18.37278
2022-06-08,17.42603
2022-06-09,17.72189
2022-06-10,18.55029
2022-06-11,14.49704
2022-06-12,13.04733
2022-06-13,19.28994
2022-06-14,17.33727
2022-06-15,16.62721
2022-06-16,17.60355
2022-06-17,16.77514
2022-06-18,12.98816
2022-06-19,13.22485
2022-06-20,19.34911
2022-06-21,18.43195
2022-06-22,19.58579
2022-06-23,16.30177
2022-06-24,16.6568
2022-06-25,13.87573
2022-06-26,14.08284
2022-06-27,17.24852
2022-06-28,18.1065
2022-06-29,16.18343
2022-06-30,26.39053
2022-07-01,16.68639
2022-07-02,13.01775
2022-07-03,12.57396
2022-07-04,17.86982
2022-07-05,17.071
2022-07-06,15.59171
2022-07-07,16.4497
2022-07-08,14.34911
2022-07-09,13.40236
2022-07-10,13.25443
2022-07-11,14.55621
2022-07-12,15.0
2022-07-13,16.39053
2022-07-14,16.80473
2022-07-15,14.58579
2022-07-16,13.34319
2022-07-17,12.72189
2022-07-18,17.36686
2022-07-19,15.2071
2022-07-20,16.21301
2022-07-21,16.30177
2022-07-22,15.05917
2022-07-23,13.16568
2022-07-24,13.28402
2022-07-25,16.33136
2022-07-26,17.01183
2022-07-27,17.98816
2022-07-28,16.33136
2022-07-29,15.38461
2022-07-30,14.08284
2022-07-31,15.0
2022-08-01,17.54437
2022-08-02,17.4852
2022-08-03,16.74556
2022-08-04,16.56804
2022-08-05,13.52071
2022-08-06,14.11242
2022-08-07,14.28994
2022-08-08,18.3136
2022-08-09,16.89349
2022-08-10,18.55029
2022-08-11,15.8284
2022-08-12,16.39053
2022-08-13,14.49704
2022-08-14,12.72189
2022-08-15,15.65088
2022-08-16,19.14201
2022-08-17,16.00591
2022-08-18,17.13017
2022-08-19,15.38461
2022-08-20,13.55029
2022-08-21,13.28402
2022-08-22,16.18343
2022-08-23,16.00591
2022-08-24,17.45562
2022-08-25,16.92307
2022-08-26,16.89349
2022-08-27,16.09467
2022-08-28,14.26035
2022-08-29,16.92307
2022-08-30,17.6923
2022-08-31,15.05917
2022-09-01,15.91715
2022-09-02,13.93491
2022-09-03,12.95857
2022-09-04,15.08875
2022-09-05,16.39053
2022-09-06,18.34319
2022-09-07,17.24852
2022-09-08,14.26035
2022-09-09,13.66863
2022-09-10,10.79881
2022-09-11,12.66272
2022-09-12,14.14201
2022-09-13,15.97633
2022-09-14,16.62721
2022-09-15,16.71597
2022-09-16,15.88757
2022-09-17,15.23668
2022-09-18,14.31952
2022-09-19,17.60355
2022-09-20,14.85207
2022-09-21,17.21893
2022-09-22,16.83431
2022-09-23,16.4497
2022-09-24,12.57396
2022-09-25,12.57396
2022-09-26,17.13017
2022-09-27,16.8639
2022-09-28,16.00591
2022-09-29,14.82248
2022-09-30,14.58579
2022-10-01,13.49112
2022-10-02,13.43195
2022-10-03,14.64497
2022-10-04,16.59763
2022-10-05,15.11834
2022-10-06,15.32544
2022-10-07,17.60355
2022-10-08,16.12426
2022-10-09,13.60946
2022-10-10,16.74556
2022-10-11,18.34319
2022-10-12,18.3136
2022-10-13,18.84615
2022-10-14,16.18343
2022-10-15,15.26627
2022-10-16,14.61538
2022-10-17,18.40236
2022-10-18,18.49112
2022-10-19,17.57396
2022-10-20,16.12426
2022-10-21,16.77514
2022-10-22,14.88165
2022-10-23,14.20118
2022-10-24,17.2781
2022-10-25,17.51479
2022-10-26,17.4852
2022-10-27,16.6568
2022-10-28,15.2071
2022-10-29,14.73372
2022-10-30,17.18934
2022-10-31,20.76923
2022-11-01,18.99408
2022-11-02,17.13017
2022-11-03,20.14792
2022-11-04,16.6568
2022-11-05,14.49704
2022-11-06,13.25443
2022-11-07,18.87573
2022-11-08,18.69822
2022-11-09,20.32544
2022-11-10,17.92899
2022-11-11,23.57988
2022-11-12,19.76331
2022-11-13,16.6568
2022-11-14,21.0355
2022-11-15,18.93491
2022-11-16,18.93491
2022-11-17,18.01775
2022-11-18,17.10059
2022-11-19,13.78698
2022-11-20,14.02366
2022-11-21,16.62721
2022-11-22,15.88757
2022-11-23,17.24852
2022-11-24,16.50887
2022-11-25,15.17751
2022-11-26,13.63905
2022-11-27,12.72189
2022-11-28,17.63313
2022-11-29,15.56213
2022-11-30,16.09467
2022-12-01,18.07692
2022-12-02,16.36094
2022-12-03,12.21893
2022-12-04,12.36686
2022-12-05,16.39053
2022-12-06,19.26035
2022-12-07,17.04142
2022-12-08,18.63905
2022-12-09,17.15976
2022-12-10,14.76331
2022-12-11,14.64497
2022-12-12,18.84615
2022-12-13,18.69822
2022-12-14,20.68047
2022-12-15,19.73372
2022-12-16,17.72189
2022-12-17,16.18343
2022-12-18,17.13017
2022-12-19,20.29585
2022-12-20,18.60946
2022-12-21,19.67455
2022-12-22,18.55029
2022-12-23,16.59763
2022-12-24,14.67455
2022-12-25,13.55029
2022-12-26,15.29585
2022-12-27,17.6923
2022-12-28,18.07692
2022-12-29,17.21893
2022-12-30,18.19526
2022-12-31,13.63905
2023-01-01,16.09467
2023-01-02,19.05325
2023-01-03,20.05917
2023-01-04,19.05325
2023-01-05,18.1065
2023-01-06,17.39644
2023-01-07,16.4497
2023-01-08,15.29585
2023-01-09,18.81656
2023-01-10,18.78698
2023-01-11,19.73372
2023-01-12,18.01775
2023-01-13,18.81656
2023-01-14,15.23668
2023-01-15,15.71005
2023-01-16,19.52662
2023-01-17,17.75147
2023-01-18,18.43195
2023-01-19,17.13017
2023-01-20,16.56804
2023-01-21,12.54437
2023-01-22,11.80473
2023-01-23,13.19526
2023-01-24,15.11834
2023-01-25,18.46153
2023-01-26,20.59171
2023-01-27,17.84023
2023-01-28,15.38461
2023-01-29,15.44378
2023-01-30,19.49704
2023-01-31,18.3136
2023-02-01,18.16568
2023-02-02,17.15976
2023-02-03,17.92899
2023-02-04,15.68047
2023-02-05,16.15384
2023-02-06,17.33727
2023-02-07,19.52662
2023-02-08,17.60355
2023-02-09,19.79289
2023-02-10,17.071
2023-02-11,16.06508
2023-02-12,15.85798
2023-02-13,19.23076
2023-02-14,19.23076
2023-02-15,18.37278
2023-02-16,18.19526
2023-02-17,17.33727
2023-02-18,15.14792
2023-02-19,14.40828
2023-02-20,18.25443
2023-02-21,19.11242
2023-02-22,18.87573
2023-02-23,18.81656
2023-02-24,18.37278
2023-02-25,15.2071
2023-02-26,14.82248
2023-02-27,16.95266
2023-02-28,16.15384
2023-03-01,16.06508
2023-03-02,18.34319
2023-03-03,17.51479
2023-03-04,14.79289
2023-03-05,15.11834
2023-03-06,19.52662
2023-03-07,19.49704
2023-03-08,18.43195
2023-03-09,18.52071
2023-03-10,16.47928
2023-03-11,14.28994
2023-03-12,17.45562
2023-03-13,22.60355
2023-03-14,24.58579
2023-03-15,20.29585
2023-03-16,19.02366
2023-03-17,16.80473
2023-03-18,16.71597
2023-03-19,16.4497
2023-03-20,19.76331
2023-03-21,18.93491
2023-03-22,18.49112
2023-03-23,16.15384
2023-03-24,20.79881
2023-03-25,15.91715
2023-03-26,14.64497
2023-03-27,19.46745
2023-03-28,19.23076
2023-03-29,18.01775
2023-03-30,18.49112
2023-03-31,16.0355
2023-04-01,15.14792
2023-04-02,18.1065
2023-04-03,22.98816
2023-04-04,20.71005
2023-04-05,19.40828
2023-04-06,18.69822
2023-04-07,17.36686
2023-04-08,15.38461
2023-04-09,13.93491
2023-04-10,18.60946
2023-04-11,19.61538
2023-04-12,18.28402
2023-04-13,18.84615
2023-04-14,15.6213
2023-04-15,15.85798
2023-04-16,14.79289
2023-04-17,17.54437
2023-04-18,18.04733
2023-04-19,19.05325
2023-04-20,17.95857
2023-04-21,17.57396
2023-04-22,15.4142
2023-04-23,14.94082
2023-04-24,18.96449
2023-04-25,17.21893
2023-04-26,16.95266
2023-04-27,17.86982
2023-04-28,19.34911
2023-04-29,16.8639
2023-04-30,15.53254
2023-05-01,20.44378
2023-05-02,18.84615
2023-05-03,17.98816
2023-05-04,17.60355
2023-05-05,17.84023
2023-05-06,16.15384
2023-05-07,15.91715
2023-05-08,22.10059
2023-05-09,18.87573
2023-05-10,18.3136
2023-05-11,18.69822
2023-05-12,15.79881
2023-05-13,15.11834
2023-05-14,15.11834
2023-05-15,19.20118
2023-05-16,18.84615
2023-05-17,19.46745
2023-05-18,18.34319
2023-05-19,19.02366
2023-05-20,16.2426
2023-05-21,17.98816
2023-05-22,21.00591
2023-05-23,18.19526
2023-05-24,17.78106
2023-05-25,16.95266
2023-05-26,17.4852
2023-05-27,15.32544
