date,MMF금리
2023-06-03,9.447
2023-06-04,9.21658
2023-06-05,15.6682
2023-06-06,8.52534
2023-06-07,14.97695
2023-06-08,17.05069
2023-06-09,13.13364
2023-06-10,5.06912
2023-06-11,7.37327
2023-06-12,11.98156
2023-06-13,12.44239
2023-06-14,13.13364
2023-06-15,14.05529
2023-06-16,13.13364
2023-06-17,7.8341
2023-06-18,5.06912
2023-06-19,11.0599
2023-06-20,11.98156
2023-06-21,12.90322
2023-06-22,10.82949
2023-06-23,11.0599
2023-06-24,7.8341
2023-06-25,7.8341
2023-06-26,13.82488
2023-06-27,13.82488
2023-06-28,14.97695
2023-06-29,9.90783
2023-06-30,18.43317
2023-07-01,4.14746
2023-07-02,8.98617
2023-07-03,11.29032
2023-07-04,17.2811
2023-07-05,14.05529
2023-07-06,16.35944
2023-07-07,15.89861
2023-07-08,5.76036
2023-07-09,8.29493
2023-07-10,12.67281
2023-07-11,13.59447
2023-07-12,11.29032
2023-07-13,12.67281
2023-07-14,12.67281
2023-07-15,4.14746
2023-07-16,5.76036
2023-07-17,15.20737
2023-07-18,14.97695
2023-07-19,20.50691
2023-07-20,16.12903
2023-07-21,10.36866
2023-07-22,8.52534
2023-07-23,6.45161
2023-07-24,12.67281
2023-07-25,20.04608
2023-07-26,13.59447
2023-07-27,14.97695
2023-07-28,14.28571
2023-07-29,10.59907
2023-07-30,8.29493
2023-07-31,12.67281
2023-08-01,16.12903
2023-08-02,17.51152
2023-08-03,14.97695
2023-08-04,19.81566
2023-08-05,9.90783
2023-08-06,7.60368
2023-08-07,24.88479
2023-08-08,18.894
2023-08-09,17.51152
2023-08-10,17.51152
2023-08-11,23.73271
2023-08-12,7.37327
2023-08-13,8.29493
2023-08-14,11.52073
2023-08-15,11.98156
2023-08-16,18.66359
2023-08-17,17.97235
2023-08-18,13.36405
2023-08-19,6.91244
2023-08-20,11.52073
2023-08-21,27.88018
2023-08-22,49.53917
2023-08-23,65.89861
2023-08-24,34.56221
2023-08-25,25.1152
2023-08-26,11.75115
2023-08-27,16.82027
2023-08-28,35.71428
2023-08-29,25.1152
2023-08-30,19.81566
2023-08-31,19.12442
2023-09-01,22.11981
2023-09-02,8.29493
2023-09-03,12.21198
2023-09-04,17.2811
2023-09-05,15.43778
2023-09-06,16.82027
2023-09-07,19.81566
2023-09-08,14.74654
2023-09-09,8.06451
2023-09-10,12.21198
2023-09-11,15.89861
2023-09-12,13.59447
2023-09-13,17.97235
2023-09-14,13.36405
2023-09-15,17.2811
2023-09-16,9.447
2023-09-17,10.82949
2023-09-18,19.81566
2023-09-19,17.74193
2023-09-20,23.04147
2023-09-21,13.36405
2023-09-22,11.52073
2023-09-23,5.99078
2023-09-24,7.8341
2023-09-25,11.52073
2023-09-26,16.12903
2023-09-27,14.74654
2023-09-28,7.60368
2023-09-29,4.60829
2023-09-30,5.29953
2023-10-01,6.91244
2023-10-02,6.22119
2023-10-03,11.52073
2023-10-04,27.64976
2023-10-05,19.58525
2023-10-06,15.89861
2023-10-07,6.91244
2023-10-08,9.67741
2023-10-09,7.37327
2023-10-10,15.89861
2023-10-11,14.28571
2023-10-12,12.67281
2023-10-13,13.13364
2023-10-14,8.06451
2023-10-15,10.13824
2023-10-16,20.50691
