date,주식매매방
2023-06-09,1.47874
2023-06-10,1.10905
2023-06-11,1.10905
2023-06-15,0.92421
2023-06-19,2.03327
2023-06-29,1.84842
2023-06-30,1.10905
2023-07-03,1.10905
2023-07-05,1.2939
2023-07-08,1.2939
2023-07-12,0.92421
2023-07-16,3.32717
2023-07-18,3.14232
2023-07-19,0.92421
2023-07-20,0.92421
2023-07-28,0.92421
2023-07-30,1.10905
2023-08-05,0.92421
2023-08-07,0.92421
2023-08-08,0.92421
2023-08-10,3.69685
2023-08-11,2.77264
2023-08-21,1.10905
2023-08-25,0.92421
2023-08-29,0.92421
2023-09-02,2.77264
2023-09-07,1.10905
2023-09-09,1.2939
2023-09-10,0.92421
2023-09-11,0.92421
2023-09-17,0.92421
2023-09-18,1.66358
2023-09-21,72.45841
2023-09-22,66.17375
2023-09-23,49.1682
2023-09-24,45.84103
2023-09-25,22.73567
2023-09-26,13.49353
2023-09-27,10.90573
2023-09-28,9.98151
2023-09-29,8.31792
2023-09-30,11.82994
2023-10-01,14.60258
2023-10-02,10.3512
2023-10-03,10.72088
2023-10-04,8.13308
2023-10-05,6.09981
2023-10-06,4.99075
2023-10-07,5.54528
2023-10-08,6.4695
2023-10-09,7.57855
2023-10-10,3.8817
2023-10-11,6.83918
2023-10-12,5.91497
2023-10-13,6.4695
2023-10-14,4.80591
2023-10-15,5.54528
2023-10-16,8.13308
2023-10-17,3.8817
2023-10-18,3.51201
2023-10-19,3.32717
2023-10-20,2.77264
2023-10-21,4.25138
2023-10-22,4.62107
2023-10-23,5.1756
2023-10-24,2.95748
2023-10-25,4.80591
2023-10-26,4.06654
2023-10-27,2.77264
2023-10-28,3.69685
2023-10-29,6.09981
2023-10-30,2.03327
2023-10-31,1.10905
2023-11-01,4.25138
2023-11-02,3.14232
2023-11-03,2.5878
2023-11-04,6.09981
2023-11-05,8.68761
2023-11-06,5.73012
2023-11-07,3.51201
2023-11-08,5.91497
2023-11-09,4.25138
2023-11-10,4.25138
2023-11-11,4.06654
2023-11-12,4.43622
2023-11-13,6.09981
2023-11-14,2.21811
2023-11-15,1.84842
2023-11-16,3.32717
2023-11-17,2.95748
2023-11-18,4.43622
2023-11-19,5.91497
2023-11-20,9.24214
2023-11-21,3.14232
2023-11-22,6.65434
2023-11-23,2.77264
2023-11-24,2.21811
2023-11-25,4.99075
2023-11-26,5.36044
2023-11-27,5.1756
2023-11-28,4.06654
2023-11-29,3.51201
2023-11-30,4.43622
2023-12-01,3.32717
2023-12-02,3.32717
2023-12-03,2.95748
2023-12-04,4.25138
2023-12-05,7.02402
2023-12-06,3.69685
2023-12-07,3.14232
2023-12-08,2.40295
2023-12-09,5.54528
2023-12-10,6.09981
2023-12-11,4.43622
2023-12-12,4.06654
2023-12-13,5.1756
2023-12-14,3.69685
2023-12-15,2.77264
2023-12-16,3.51201
2023-12-17,3.8817
2023-12-18,4.25138
2023-12-19,6.28465
2023-12-20,8.13308
2023-12-21,4.43622
2023-12-22,3.32717
2023-12-23,1.84842
2023-12-24,3.8817
2023-12-25,3.14232
2023-12-26,4.06654
2023-12-27,2.21811
2023-12-28,5.36044
2023-12-29,4.80591
2023-12-30,6.4695
2023-12-31,2.77264
2024-01-01,4.25138
2024-01-02,3.14232
2024-01-03,2.40295
2024-01-04,1.66358
2024-01-05,3.14232
2024-01-06,2.21811
2024-01-07,6.09981
2024-01-08,4.25138
2024-01-09,3.8817
2024-01-10,5.36044
2024-01-11,7.02402
2024-01-12,4.25138
2024-01-13,3.51201
2024-01-14,4.62107
2024-01-15,4.06654
2024-01-16,4.25138
2024-01-17,4.62107
2024-01-18,2.5878
2024-01-19,4.80591
2024-01-20,6.65434
2024-01-21,6.28465
2024-01-22,4.43622
2024-01-23,5.1756
2024-01-24,3.32717
2024-01-25,3.14232
2024-01-26,3.69685
2024-01-27,3.14232
2024-01-28,5.1756
2024-01-29,5.91497
2024-01-30,3.51201
2024-01-31,3.14232
2024-02-01,2.5878
2024-02-02,2.77264
2024-02-03,3.8817
2024-02-04,4.06654
2024-02-05,4.25138
2024-02-06,2.40295
2024-02-07,1.47874
2024-02-08,3.32717
2024-02-09,4.06654
2024-02-10,4.62107
2024-02-11,4.25138
2024-02-12,4.62107
2024-02-13,4.06654
2024-02-14,5.91497
2024-02-15,3.69685
2024-02-16,4.99075
2024-02-17,4.25138
2024-02-18,4.62107
2024-02-19,3.69685
2024-02-20,3.32717
2024-02-21,4.62107
2024-02-22,3.14232
2024-02-23,3.32717
2024-02-24,2.95748
2024-02-25,2.40295
2024-02-26,3.14232
2024-02-28,1.10905
2024-02-29,2.95748
2024-03-01,5.91497
2024-03-02,4.06654
2024-03-03,4.99075
2024-03-04,4.80591
2024-03-05,3.32717
2024-03-06,3.14232
2024-03-07,6.28465
2024-03-08,2.40295
2024-03-09,4.25138
2024-03-10,4.62107
2024-03-11,3.14232
2024-03-12,3.69685
2024-03-13,5.54528
2024-03-14,4.62107
2024-03-15,6.65434
2024-03-16,4.43622
2024-03-17,4.80591
2024-03-18,2.95748
2024-03-19,2.77264
2024-03-20,3.51201
