date,개인연금
2023-01-26,83.91444
2023-01-27,98.62291
2023-01-28,63.78552
2023-01-29,51.80193
2023-01-30,90.53618
2023-01-31,75.94491
2023-02-01,66.0416
2023-02-02,54.32171
2023-02-03,48.19806
2023-02-04,36.94696
2023-02-05,36.82976
2023-02-06,45.91268
2023-02-07,47.99296
2023-02-08,45.59038
2023-02-09,46.90887
2023-02-10,43.4808
2023-02-11,30.35452
2023-02-12,31.93671
2023-02-13,47.55347
2023-02-14,44.91649
2023-02-15,53.73571
2023-02-16,47.34837
2023-02-17,39.02724
2023-02-18,29.44623
2023-02-19,29.15323
2023-02-20,42.83621
2023-02-21,43.27571
2023-02-22,50.19044
2023-02-23,40.60943
2023-02-24,41.60562
2023-02-25,56.90008
2023-02-26,60.44535
2023-02-27,56.87078
2023-02-28,49.54585
2023-03-01,43.21711
2023-03-02,43.7445
2023-03-03,44.56489
2023-03-04,40.84383
2023-03-05,34.83738
2023-03-06,39.55464
2023-03-07,36.27307
2023-03-08,33.138
2023-03-09,35.98007
2023-03-10,31.40931
2023-03-11,21.6818
2023-03-12,28.42074
2023-03-13,37.00556
2023-03-14,33.2845
2023-03-15,35.10108
2023-03-16,29.94433
2023-03-17,28.62584
2023-03-18,19.83592
2023-03-19,24.61177
2023-03-20,43.7152
2023-03-21,43.891
2023-03-22,36.80046
2023-03-23,32.17111
2023-03-24,30.58892
2023-03-25,22.0627
2023-03-26,22.1506
2023-03-27,30.64752
2023-03-28,30.85262
2023-03-29,30.55962
2023-03-30,31.64371
2023-03-31,29.27043
2023-04-01,22.94169
2023-04-02,27.80544
2023-04-03,32.3762
2023-04-04,30.91122
2023-04-05,38.93934
2023-04-06,28.86024
2023-04-07,26.31116
2023-04-08,24.58247
2023-04-09,23.61558
2023-04-10,28.45004
2023-04-11,31.20421
2023-04-12,27.92264
2023-04-13,23.82068
2023-04-14,24.02578
2023-04-15,17.22824
2023-04-16,19.74802
2023-04-17,26.45766
2023-04-18,25.84236
2023-04-19,23.64488
2023-04-20,27.54175
2023-04-21,22.73659
2023-04-22,16.52505
2023-04-23,21.506
2023-04-24,25.13917
2023-04-25,29.15323
2023-04-26,26.01816
2023-04-27,23.61558
2023-04-28,24.75827
2023-04-29,19.54292
2023-04-30,21.1251
2023-05-01,21.9748
2023-05-02,31.11631
2023-05-03,30.12012
2023-05-04,27.36595
2023-05-05,24.23088
2023-05-06,23.87928
2023-05-07,25.08057
2023-05-08,29.00673
2023-05-09,27.33665
2023-05-10,29.62203
2023-05-11,27.04365
2023-05-12,31.76091
2023-05-13,32.6106
2023-05-14,35.51128
2023-05-15,43.15851
2023-05-16,35.62847
2023-05-17,33.0501
2023-05-18,28.86024
2023-05-19,34.60298
2023-05-20,27.51245
2023-05-21,23.70348
2023-05-22,32.4641
2023-05-23,46.85027
2023-05-24,35.33548
2023-05-25,43.4515
2023-05-26,36.41957
2023-05-27,28.42074
2023-05-28,30.35452
