date,VOO주가
2023-08-31,23.80952
2023-09-01,23.07692
2023-09-02,15.01831
2023-09-03,5.1282
2023-09-04,13.55311
2023-09-05,19.78021
2023-09-06,20.87912
2023-09-07,25.27472
2023-09-08,19.41391
2023-09-09,14.65201
2023-09-10,7.6923
2023-09-11,15.75091
2023-09-12,23.80952
2023-09-13,19.41391
2023-09-14,23.80952
2023-09-15,22.34432
2023-09-16,13.91941
2023-09-17,9.1575
2023-09-18,11.72161
2023-09-19,19.41391
2023-09-20,18.31501
2023-09-21,22.34432
2023-09-22,27.83882
2023-09-23,26.37362
2023-09-24,7.326
2023-09-25,16.48351
2023-09-26,26.37362
2023-09-27,26.37362
2023-09-28,16.84981
2023-09-29,19.04761
2023-09-30,14.65201
2023-10-01,12.08791
2023-10-02,12.82051
2023-10-03,25.27472
2023-10-04,24.17582
2023-10-05,26.73992
2023-10-06,18.31501
2023-10-07,27.10622
2023-10-08,8.4249
2023-10-09,12.08791
2023-10-10,26.00732
2023-10-11,30.76923
2023-10-12,29.30402
2023-10-13,25.27472
2023-10-14,15.01831
2023-10-15,4.0293
2023-10-16,11.72161
2023-10-17,25.64102
2023-10-18,26.37362
2023-10-19,23.07692
2023-10-20,17.21611
2023-10-21,13.18681
2023-10-22,6.2271
2023-10-23,10.98901
2023-10-24,20.14652
2023-10-25,23.80952
2023-10-26,27.47252
2023-10-27,21.24542
2023-10-28,20.87912
2023-10-29,12.82051
2023-10-30,23.44322
2023-10-31,30.40293
2023-11-01,24.17582
2023-11-02,32.60073
2023-11-03,38.09523
2023-11-04,33.33333
2023-11-05,20.87912
2023-11-06,25.27472
2023-11-07,36.63003
2023-11-08,33.69963
2023-11-09,25.64102
2023-11-10,26.00732
2023-11-11,24.90842
2023-11-12,11.72161
2023-11-13,17.94871
2023-11-14,31.86813
2023-11-15,47.25274
2023-11-16,36.99633
2023-11-17,31.86813
2023-11-18,30.40293
2023-11-19,15.38461
2023-11-20,23.80952
2023-11-21,38.09523
2023-11-22,38.46153
2023-11-23,38.09523
2023-11-24,23.44322
2023-11-25,23.80952
2023-11-26,12.82051
2023-11-27,23.80952
2023-11-28,28.57142
2023-11-29,30.03663
2023-11-30,35.16483
2023-12-01,27.83882
2023-12-02,19.78021
2023-12-03,14.65201
2023-12-04,25.64102
2023-12-05,29.67032
2023-12-06,32.60073
2023-12-07,27.47252
2023-12-08,25.27472
2023-12-09,23.80952
2023-12-10,15.01831
2023-12-11,15.75091
2023-12-12,31.86813
2023-12-13,32.96703
2023-12-14,41.75824
2023-12-15,37.36263
2023-12-16,21.24542
2023-12-17,10.98901
2023-12-18,16.11721
2023-12-19,32.60073
2023-12-20,40.65934
2023-12-21,32.96703
2023-12-22,28.93772
2023-12-23,25.64102
2023-12-24,7.326
2023-12-25,12.45421
2023-12-26,19.04761
2023-12-27,40.29304
2023-12-28,37.72893
2023-12-29,28.20512
2023-12-30,29.30402
2023-12-31,20.51282
2024-01-01,20.51282
2024-01-02,31.13553
2024-01-03,45.42124
2024-01-04,42.85714
2024-01-05,36.63003
2024-01-06,31.86813
2024-01-07,15.38461
2024-01-08,28.57142
2024-01-09,49.81684
2024-01-10,43.22344
