date,박물관
2022-11-23,19.09547
2022-11-24,17.88107
2022-11-25,24.95812
2022-11-26,41.01758
2022-11-27,40.24288
2022-11-28,20.16331
2022-11-29,18.71859
2022-11-30,18.27889
2022-12-01,19.36767
2022-12-02,22.78056
2022-12-03,33.45896
2022-12-04,41.56197
2022-12-05,19.91206
2022-12-06,18.29983
2022-12-07,18.88609
2022-12-08,20.05862
2022-12-09,24.81155
2022-12-10,43.19514
2022-12-11,44.43048
2022-12-12,20.268
2022-12-13,19.49329
2022-12-14,19.15829
2022-12-15,17.31574
2022-12-16,22.48743
2022-12-17,32.85175
2022-12-18,35.25963
2022-12-19,22.23618
2022-12-20,19.45142
2022-12-21,18.73953
2022-12-22,20.20519
2022-12-23,22.75963
2022-12-24,35.17587
2022-12-25,40.76633
2022-12-26,34.35929
2022-12-27,33.10301
2022-12-28,34.58961
2022-12-29,36.68341
2022-12-30,37.58375
2022-12-31,41.6876
2023-01-01,46.41959
2023-01-02,38.48408
2023-01-03,33.68927
2023-01-04,33.29145
2023-01-05,31.17671
2023-01-06,37.35343
2023-01-07,54.25041
2023-01-08,59.06616
2023-01-09,31.84673
2023-01-10,32.03517
2023-01-11,32.45393
2023-01-12,32.62144
2023-01-13,39.3216
2023-01-14,60.11306
2023-01-15,52.68006
2023-01-16,28.47571
2023-01-17,26.36097
2023-01-18,26.54941
2023-01-19,22.92713
2023-01-20,25.73283
2023-01-21,32.99832
2023-01-22,44.53517
2023-01-23,65.8082
2023-01-24,52.42881
2023-01-25,30.44388
2023-01-26,25.69095
2023-01-27,37.12311
2023-01-28,60.02931
2023-01-29,55.6742
2023-01-30,26.44472
2023-01-31,24.93718
2023-02-01,27.76381
2023-02-02,26.06783
2023-02-03,34.33835
2023-02-04,54.22948
2023-02-05,48.05276
2023-02-06,30.25544
2023-02-07,27.68006
2023-02-08,27.47068
2023-02-09,27.47068
2023-02-10,31.30234
2023-02-11,53.70603
2023-02-12,57.97738
2023-02-13,29.10385
2023-02-14,28.87353
2023-02-15,28.1407
2023-02-16,27.13567
2023-02-17,31.13484
2023-02-18,52.59631
2023-02-19,55.31825
2023-02-20,30.48576
2023-02-21,28.55946
2023-02-22,26.50753
2023-02-23,30.8417
2023-02-24,32.45393
2023-02-25,50.1675
2023-02-26,51.0469
2023-02-27,31.53266
2023-02-28,36.7881
2023-03-01,45.85427
2023-03-02,16.60385
2023-03-03,26.40284
2023-03-04,46.3149
2023-03-05,42.62981
2023-03-06,18.59296
2023-03-07,17.50418
2023-03-08,17.48324
2023-03-09,20.12144
2023-03-10,24.97906
2023-03-11,44.97487
2023-03-12,49.87437
2023-03-13,20.37269
2023-03-14,19.3886
2023-03-15,19.32579
2023-03-16,18.48827
2023-03-17,26.42378
2023-03-18,42.67169
2023-03-19,42.54606
2023-03-20,19.20016
2023-03-21,19.53517
2023-03-22,17.90201
2023-03-23,19.30485
2023-03-24,26.6541
2023-03-25,40.38944
2023-03-26,36.49497
2023-03-27,18.27889
2023-03-28,19.03266
2023-03-29,18.40452
2023-03-30,17.79731
2023-03-31,19.74455
2023-04-01,27.95226
2023-04-02,25.18844
2023-04-03,17.25293
2023-04-04,17.79731
2023-04-05,20.72864
2023-04-06,17.94388
2023-04-07,24.2881
2023-04-08,41.12227
2023-04-09,34.56867
2023-04-10,17.46231
2023-04-11,18.36264
2023-04-12,19.45142
2023-04-13,19.6608
2023-04-14,23.76465
2023-04-15,46.52428
2023-04-16,40.18006
2023-04-17,17.77638
2023-04-18,17.31574
2023-04-19,15.91289
2023-04-20,16.56197
2023-04-21,20.8752
2023-04-22,36.32747
2023-04-23,32.39112
2023-04-24,19.15829
2023-04-25,19.13735
2023-04-26,19.87018
2023-04-27,22.3618
2023-04-28,24.58123
2023-04-29,46.60804
2023-04-30,46.33584
2023-05-01,37.0603
2023-05-02,23.05276
2023-05-03,26.34003
