date,전자단기사채
2022-08-05,19.48717
2022-08-06,3.07692
2022-08-07,5.1282
2022-08-08,20.51282
2022-08-09,37.43589
2022-08-10,22.5641
2022-08-11,31.79487
2022-08-12,15.38461
2022-08-15,2.5641
2022-08-16,23.58974
2022-08-17,23.58974
2022-08-18,16.41025
2022-08-19,36.41025
2022-08-20,5.64102
2022-08-21,3.07692
2022-08-22,19.48717
2022-08-23,26.15384
2022-08-24,28.71794
2022-08-25,19.48717
2022-08-26,23.07692
2022-08-28,5.64102
2022-08-29,19.48717
2022-08-30,23.58974
2022-08-31,17.43589
2022-09-01,25.1282
2022-09-02,21.53846
2022-09-03,2.5641
2022-09-04,3.07692
2022-09-05,25.1282
2022-09-06,16.92307
2022-09-07,21.53846
2022-09-08,11.79487
2022-09-09,2.5641
2022-09-13,26.66666
2022-09-14,28.20512
2022-09-15,23.58974
2022-09-16,18.97435
2022-09-18,7.6923
2022-09-19,28.20512
2022-09-20,18.97435
2022-09-21,23.07692
2022-09-22,24.61538
2022-09-23,22.5641
2022-09-24,5.1282
2022-09-25,7.17948
2022-09-26,23.07692
2022-09-27,34.87179
2022-09-28,22.5641
2022-09-29,25.1282
2022-09-30,12.82051
2022-10-01,6.15384
2022-10-03,5.64102
2022-10-04,23.07692
2022-10-05,22.5641
2022-10-06,27.6923
2022-10-07,22.5641
2022-10-08,4.10256
2022-10-09,5.64102
2022-10-11,24.61538
2022-10-12,27.17948
2022-10-13,45.1282
2022-10-14,42.05128
2022-10-15,9.23076
2022-10-17,50.76923
2022-10-18,65.64102
2022-10-19,67.17948
2022-10-20,88.71794
2022-10-21,80.51282
2022-10-22,23.07692
2022-10-23,16.41025
2022-10-24,56.41025
2022-10-25,58.97435
2022-10-26,80.51282
2022-10-27,66.15384
2022-10-28,52.82051
2022-10-29,6.15384
2022-10-30,10.25641
2022-10-31,48.20512
2022-11-01,38.97435
2022-11-02,41.53846
2022-11-03,38.46153
2022-11-04,36.41025
2022-11-05,4.61538
2022-11-06,8.71794
2022-11-07,43.58974
2022-11-08,47.17948
2022-11-09,63.07692
2022-11-10,44.61538
2022-11-11,43.58974
2022-11-12,4.61538
2022-11-13,9.23076
2022-11-14,37.94871
2022-11-15,46.66666
2022-11-16,41.02564
2022-11-17,37.43589
2022-11-18,31.28205
2022-11-19,4.10256
2022-11-20,9.23076
2022-11-21,37.94871
2022-11-22,27.6923
2022-11-23,32.30769
2022-11-24,41.02564
2022-11-25,33.33333
2022-11-26,7.6923
2022-11-27,7.6923
2022-11-28,40.0
2022-11-29,44.10256
2022-11-30,38.46153
2022-12-01,30.25641
2022-12-02,26.66666
2022-12-03,3.07692
2022-12-04,5.1282
2022-12-05,32.30769
2022-12-06,34.87179
2022-12-07,44.10256
2022-12-08,34.35897
2022-12-09,33.84615
2022-12-10,4.61538
2022-12-11,7.17948
2022-12-12,24.10256
2022-12-13,30.76923
2022-12-14,24.61538
2022-12-15,32.30769
2022-12-16,22.5641
2022-12-17,6.66666
2022-12-19,72.30769
2022-12-20,34.87179
2022-12-21,26.15384
2022-12-22,30.25641
2022-12-23,21.02564
2022-12-24,2.5641
2022-12-25,7.17948
2022-12-26,15.38461
2022-12-27,28.71794
2022-12-28,21.02564
2022-12-29,22.5641
2022-12-30,10.76923
2022-12-31,4.10256
2023-01-01,3.07692
2023-01-02,20.51282
2023-01-03,22.05128
2023-01-04,23.58974
2023-01-05,27.17948
2023-01-06,23.07692
2023-01-07,3.07692
2023-01-09,30.25641
2023-01-10,22.05128
2023-01-11,33.33333
2023-01-12,24.61538
2023-01-13,31.79487
2023-01-14,3.58974
2023-01-15,3.58974
2023-01-16,26.15384
2023-01-17,32.82051
2023-01-18,25.1282
2023-01-19,20.51282
2023-01-20,16.41025
2023-01-22,4.10256
2023-01-23,5.1282
2023-01-24,5.1282
2023-01-25,31.79487
2023-01-26,24.61538
2023-01-27,22.5641
2023-01-28,6.66666
2023-01-29,11.79487
2023-01-30,27.17948
2023-01-31,24.61538
2023-02-01,25.1282
2023-02-02,22.5641
2023-02-03,21.02564
2023-02-04,9.23076
2023-02-05,4.61538
2023-02-06,29.74358
2023-02-07,28.71794
2023-02-08,25.64102
2023-02-09,30.76923
2023-02-10,18.97435
2023-02-11,10.76923
2023-02-12,4.61538
2023-02-13,24.10256
2023-02-14,25.1282
2023-02-15,16.92307
2023-02-16,20.51282
2023-02-17,16.92307
2023-02-18,5.64102
2023-02-19,2.5641
2023-02-20,21.53846
2023-02-21,14.35897
2023-02-22,18.97435
2023-02-23,30.76923
2023-02-24,12.30769
2023-02-25,2.5641
2023-02-26,8.20512
2023-02-27,17.43589
2023-02-28,35.89743
2023-03-01,10.25641
2023-03-02,18.97435
2023-03-03,15.89743
2023-03-04,5.64102
2023-03-05,8.71794
2023-03-06,18.46153
2023-03-07,11.79487
2023-03-08,16.41025
2023-03-09,20.0
2023-03-10,9.74358
2023-03-13,16.41025
2023-03-14,20.0
2023-03-15,26.15384
2023-03-16,23.07692
2023-03-17,9.74358
2023-03-18,2.5641
2023-03-19,3.07692
2023-03-20,17.43589
2023-03-21,27.6923
2023-03-22,22.5641
2023-03-23,18.97435
2023-03-24,11.79487
2023-03-25,2.5641
2023-03-27,10.76923
2023-03-28,14.35897
2023-03-29,26.15384
2023-03-30,10.76923
2023-03-31,13.33333
2023-04-01,6.15384
2023-04-02,2.5641
2023-04-03,12.30769
2023-04-04,18.46153
2023-04-05,20.0
2023-04-06,14.35897
2023-04-07,13.33333
2023-04-10,25.64102
2023-04-11,16.41025
2023-04-12,14.87179
2023-04-13,16.92307
2023-04-14,18.97435
2023-04-16,3.58974
2023-04-17,16.92307
2023-04-18,18.46153
2023-04-19,18.97435
2023-04-20,17.94871
2023-04-21,15.38461
2023-04-22,4.61538
2023-04-24,20.51282
2023-04-25,17.94871
2023-04-26,21.02564
2023-04-27,18.97435
2023-04-28,13.33333
2023-04-30,3.58974
2023-05-02,14.35897
2023-05-03,17.94871
2023-05-04,16.92307
2023-05-05,3.07692
2023-05-08,11.28205
2023-05-09,22.05128
2023-05-10,17.43589
2023-05-11,17.94871
2023-05-12,14.35897
2023-05-13,4.61538
2023-05-15,20.51282
2023-05-16,11.79487
2023-05-17,12.30769
2023-05-18,18.46153
2023-05-19,14.87179
2023-05-21,4.10256
2023-05-22,17.43589
2023-05-23,19.48717
2023-05-24,18.97435
2023-05-25,11.79487
2023-05-26,10.25641
2023-05-27,2.5641
2023-05-30,9.23076
2023-05-31,18.46153
2023-06-01,14.35897
2023-06-02,14.35897
2023-06-05,17.43589
2023-06-07,16.92307
2023-06-08,13.33333
2023-06-09,16.92307
2023-06-10,2.5641
2023-06-11,3.07692
2023-06-12,14.87179
2023-06-13,17.43589
2023-06-14,12.82051
2023-06-15,14.87179
2023-06-16,10.25641
2023-06-18,3.07692
2023-06-19,16.41025
2023-06-20,14.87179
2023-06-21,17.94871
2023-06-22,11.28205
2023-06-23,10.76923
2023-06-25,6.15384
2023-06-26,15.38461
2023-06-27,18.97435
2023-06-28,22.05128
2023-06-29,17.43589
2023-06-30,24.10256
2023-07-01,5.1282
2023-07-02,2.5641
2023-07-03,14.35897
2023-07-04,21.02564
2023-07-05,18.97435
2023-07-06,14.35897
2023-07-07,12.30769
2023-07-08,3.58974
2023-07-10,15.38461
2023-07-11,17.43589
2023-07-12,16.41025
2023-07-13,20.0
2023-07-14,10.76923
2023-07-15,2.5641
2023-07-16,3.07692
2023-07-17,14.87179
2023-07-18,16.41025
2023-07-19,18.46153
2023-07-20,12.82051
2023-07-21,14.87179
2023-07-22,2.5641
2023-07-23,2.5641
2023-07-24,21.02564
2023-07-25,17.94871
2023-07-26,11.79487
2023-07-27,15.38461
2023-07-28,20.0
2023-07-29,5.1282
2023-07-31,21.53846
2023-08-01,14.35897
2023-08-02,11.79487
2023-08-03,14.87179
2023-08-04,23.58974
2023-08-05,2.5641
2023-08-06,2.5641
2023-08-07,14.87179
2023-08-08,8.20512
2023-08-09,21.53846
2023-08-10,19.48717
2023-08-11,12.30769
2023-08-14,15.38461
2023-08-16,22.05128
2023-08-17,11.79487
2023-08-18,10.76923
2023-08-19,5.1282
2023-08-21,15.38461
2023-08-22,19.48717
2023-08-23,24.61538
2023-08-24,17.43589
2023-08-25,11.28205
2023-08-28,9.23076
2023-08-29,20.51282
2023-08-30,9.23076
2023-08-31,10.76923
2023-09-01,9.23076
2023-09-04,11.79487
2023-09-05,9.23076
2023-09-06,14.87179
2023-09-07,8.71794
2023-09-08,11.28205
2023-09-09,5.64102
2023-09-10,3.07692
2023-09-11,12.82051
2023-09-12,17.43589
2023-09-13,12.30769
2023-09-14,8.71794
2023-09-15,12.30769
2023-09-16,3.58974
2023-09-17,3.58974
2023-09-18,16.92307
2023-09-19,16.41025
2023-09-20,14.35897
2023-09-21,14.35897
2023-09-22,14.87179
2023-09-25,13.33333
2023-09-26,15.38461
2023-09-27,10.25641
2023-10-01,3.07692
2023-10-03,4.61538
2023-10-04,17.43589
2023-10-05,14.87179
2023-10-06,8.71794
2023-10-09,4.10256
2023-10-10,13.33333
2023-10-11,11.79487
2023-10-12,20.0
2023-10-13,15.89743
2023-10-16,18.46153
2023-10-17,21.53846
2023-10-18,19.48717
2023-10-19,18.46153
2023-10-20,14.87179
2023-10-21,3.07692
2023-10-22,2.5641
2023-10-23,16.41025
2023-10-24,11.79487
2023-10-25,15.89743
2023-10-26,15.38461
2023-10-27,9.23076
2023-10-28,2.5641
2023-10-29,7.17948
2023-10-30,13.33333
2023-10-31,20.0
2023-11-01,15.38461
2023-11-02,12.30769
2023-11-03,10.25641
2023-11-04,4.61538
2023-11-05,2.5641
2023-11-06,16.41025
2023-11-07,9.23076
2023-11-08,20.51282
2023-11-09,17.94871
2023-11-10,11.28205
2023-11-13,14.35897
2023-11-14,20.0
2023-11-15,17.94871
2023-11-16,15.89743
2023-11-17,9.23076
2023-11-18,2.5641
2023-11-20,9.23076
2023-11-21,5.64102
2023-11-22,10.25641
2023-11-23,14.35897
2023-11-24,14.87179
2023-11-27,17.43589
2023-11-28,16.92307
2023-11-29,10.25641
2023-11-30,21.53846
2023-12-01,7.6923
2023-12-02,5.64102
2023-12-03,3.07692
2023-12-04,12.30769
2023-12-05,13.33333
2023-12-06,14.35897
2023-12-07,13.84615
2023-12-08,7.17948
2023-12-09,2.5641
2023-12-10,3.58974
2023-12-11,10.76923
2023-12-12,16.92307
2023-12-13,20.0
2023-12-14,14.87179
