date,증시현황
2023-01-25,15.5639
2023-01-26,16.96232
2023-01-27,16.91052
2023-01-28,5.12754
2023-01-29,2.05878
2023-01-30,15.12365
2023-01-31,16.91052
2023-02-01,17.13064
2023-02-02,18.20536
2023-02-03,18.38663
2023-02-04,5.42535
2023-02-05,1.54085
2023-02-06,14.94237
2023-02-07,16.58681
2023-02-08,17.32487
2023-02-09,18.10177
2023-02-10,18.91751
2023-02-11,5.45124
2023-02-12,2.04583
2023-02-13,15.70633
2023-02-14,17.60973
2023-02-15,23.98031
2023-02-16,20.00517
2023-02-17,19.20238
2023-02-18,5.7879
2023-02-19,2.47313
2023-02-20,16.57387
2023-02-21,17.88165
2023-02-22,23.85083
2023-02-23,21.30001
2023-02-24,19.18943
2023-02-25,6.07276
2023-02-26,2.38249
2023-02-27,18.11472
2023-02-28,16.80694
2023-03-01,8.68833
2023-03-02,18.78803
2023-03-03,17.32487
2023-03-04,5.54188
2023-03-05,2.38249
2023-03-06,16.289
2023-03-07,19.72031
2023-03-08,19.62967
2023-03-09,20.56195
2023-03-10,23.42354
2023-03-11,7.05684
2023-03-12,4.10462
2023-03-13,27.13971
2023-03-14,41.39583
2023-03-15,26.05205
2023-03-16,26.15563
2023-03-17,20.80797
2023-03-18,7.01799
2023-03-19,2.97811
2023-03-20,19.28007
2023-03-21,19.97928
2023-03-22,19.28007
2023-03-23,25.74129
2023-03-24,20.53606
2023-03-25,5.90444
2023-03-26,2.95222
2023-03-27,17.45435
2023-03-28,18.63265
2023-03-29,18.11472
2023-03-30,18.37368
2023-03-31,17.23423
2023-04-01,5.29586
2023-04-02,2.24006
2023-04-03,16.05593
2023-04-04,17.93344
2023-04-05,17.77806
2023-04-06,22.02511
2023-04-07,17.98523
2023-04-08,4.40243
2023-04-09,2.42133
2023-04-10,16.97526
2023-04-11,19.56493
2023-04-12,20.63964
2023-04-13,19.96633
2023-04-14,17.71332
2023-04-15,5.37355
2023-04-16,2.55082
2023-04-17,16.67745
2023-04-18,19.33186
2023-04-19,17.99818
2023-04-20,22.64663
2023-04-21,21.96037
2023-04-22,5.32176
2023-04-23,2.6803
2023-04-24,19.81095
2023-04-25,37.12287
2023-04-26,23.74724
2023-04-27,21.46834
2023-04-28,19.00815
2023-04-29,4.95921
2023-04-30,2.11057
2023-05-01,12.57283
2023-05-02,16.09478
2023-05-03,16.98821
2023-05-04,17.98523
2023-05-05,6.04687
2023-05-06,4.59665
2023-05-07,1.82571
2023-05-08,12.87064
2023-05-09,17.16949
2023-05-10,15.64159
2023-05-11,16.12067
2023-05-12,15.27903
2023-05-13,4.73909
2023-05-14,1.86456
2023-05-15,16.27605
2023-05-16,16.92347
2023-05-17,16.72925
2023-05-18,16.70335
2023-05-19,16.40554
2023-05-20,5.49009
2023-05-21,1.86456
2023-05-22,15.83581
2023-05-23,16.7163
2023-05-24,17.19539
2023-05-25,18.33484
2023-05-26,17.94639
2023-05-27,4.55781
