date,유한양행주가
2022-05-19,4.64807
2022-05-20,5.24868
2022-05-21,0.74533
2022-05-22,0.5403
2022-05-23,6.03502
2022-05-24,5.79863
2022-05-25,6.50055
2022-05-26,6.26175
2022-05-27,5.70456
2022-05-28,0.66573
2022-05-29,0.50171
2022-05-30,6.38477
2022-05-31,6.2907
2022-06-01,1.04443
2022-06-02,5.37652
2022-06-03,5.89029
2022-06-04,0.75498
2022-06-05,0.56925
2022-06-06,0.67055
2022-06-07,5.45853
2022-06-08,5.62738
2022-06-09,5.34516
2022-06-10,4.82657
2022-06-11,0.6392
2022-06-12,0.44141
2022-06-13,5.6129
2022-06-14,5.77693
2022-06-15,5.62014
2022-06-16,5.76969
2022-06-17,5.20768
2022-06-18,0.69226
2022-06-19,0.50171
2022-06-20,5.39823
2022-06-21,5.07742
2022-06-22,5.34034
2022-06-23,5.15702
2022-06-24,5.38858
2022-06-25,0.68744
2022-06-26,0.56442
2022-06-27,5.40064
2022-06-28,4.98818
2022-06-29,4.62636
2022-06-30,4.97129
2022-07-01,4.83621
2022-07-02,0.52824
2022-07-03,0.46794
2022-07-04,5.10154
2022-07-05,5.25592
2022-07-06,5.04607
2022-07-07,5.22215
2022-07-08,4.80245
2022-07-09,0.53789
2022-07-10,0.44141
2022-07-11,4.55883
2022-07-12,4.26214
2022-07-13,4.63601
2022-07-14,4.46958
2022-07-15,4.52747
2022-07-16,0.55236
2022-07-17,0.53789
2022-07-18,5.38617
2022-07-19,5.06777
2022-07-20,5.24627
2022-07-21,4.95923
2022-07-22,4.47681
2022-07-23,0.51377
2022-07-24,0.45347
2022-07-25,4.42134
2022-07-26,3.90033
2022-07-27,4.074
2022-07-28,4.56606
2022-07-29,4.35621
2022-07-30,0.521
2022-07-31,0.45588
2022-08-01,4.28867
2022-08-02,4.08606
2022-08-03,4.00164
2022-08-04,5.22456
2022-08-05,5.49712
2022-08-06,0.72121
2022-08-07,0.54271
2022-08-08,5.22697
2022-08-09,5.26556
2022-08-10,4.86034
2022-08-11,5.2535
2022-08-12,4.94717
2022-08-13,0.57407
2022-08-14,0.45588
2022-08-15,0.74774
2022-08-16,4.73973
2022-08-17,4.61189
2022-08-18,4.34897
2022-08-19,4.1946
2022-08-20,0.56925
2022-08-21,0.42935
2022-08-22,4.10053
2022-08-23,4.01852
2022-08-24,4.22113
2022-08-25,4.99059
2022-08-26,4.65531
2022-08-27,0.50653
2022-08-28,0.54271
2022-08-29,4.44305
2022-08-30,4.42375
2022-08-31,4.61672
2022-09-01,4.03058
2022-09-02,3.94133
2022-09-03,0.40764
2022-09-04,0.39075
2022-09-05,4.01128
2022-09-06,3.65188
2022-09-07,3.26354
2022-09-08,3.32143
2022-09-09,0.38834
2022-09-10,0.35939
2022-09-11,0.30633
2022-09-12,0.46311
2022-09-13,4.45993
2022-09-14,3.68083
2022-09-15,3.49992
2022-09-16,3.45168
2022-09-17,0.4993
2022-09-18,0.37387
2022-09-19,3.31902
2022-09-20,3.20082
2022-09-21,3.56987
2022-09-22,3.24907
2022-09-23,3.18394
2022-09-24,0.48965
2022-09-25,0.39075
2022-09-26,3.54816
2022-09-27,3.68083
2022-09-28,3.90274
2022-09-29,4.50335
2022-09-30,3.67842
2022-10-01,0.42211
2022-10-02,0.38352
2022-10-03,0.52342
2022-10-04,3.82314
2022-10-05,3.50233
2022-10-06,3.50233
2022-10-07,3.5554
2022-10-08,0.37869
2022-10-09,0.41487
2022-10-10,0.54995
2022-10-11,3.68324
2022-10-12,3.46374
2022-10-13,3.87621
2022-10-14,4.68184
2022-10-15,0.76462
2022-10-16,0.6006
2022-10-17,4.62878
2022-10-18,4.93029
2022-10-19,4.80486
2022-10-20,4.40686
2022-10-21,3.95339
2022-10-22,0.4607
2022-10-23,0.39799
2022-10-24,5.07019
2022-10-25,5.19079
2022-10-26,5.44406
2022-10-27,6.12668
2022-10-28,5.37652
2022-10-29,0.74292
2022-10-30,0.49206
2022-10-31,5.31381
2022-11-01,5.4513
2022-11-02,5.07019
2022-11-03,4.97853
2022-11-04,5.14737
2022-11-05,0.82493
2022-11-06,0.54513
2022-11-07,4.68425
2022-11-08,4.85792
2022-11-09,4.64566
2022-11-10,4.26214
2022-11-11,5.84688
2022-11-12,0.67297
2022-11-13,0.47035
2022-11-14,4.73732
2022-11-15,5.77451
2022-11-16,5.03883
2022-11-17,4.52023
2022-11-18,4.08606
2022-11-19,0.50653
2022-11-20,0.34733
2022-11-21,3.96787
2022-11-22,4.06435
2022-11-23,4.01128
2022-11-24,3.66636
2022-11-25,3.2563
2022-11-26,0.46311
2022-11-27,0.30874
2022-11-28,3.46133
2022-11-29,3.76284
2022-11-30,3.84967
2022-12-01,4.74456
2022-12-02,3.88586
2022-12-03,0.48241
