date,골절보험
2022-02-23,41.30434
2022-02-24,63.04347
2022-02-25,56.52173
2022-02-26,36.95652
2022-02-27,23.91304
2022-02-28,45.65217
2022-03-01,13.04347
2022-03-02,56.52173
2022-03-03,58.69565
2022-03-04,39.13043
2022-03-05,34.7826
2022-03-06,26.08695
2022-03-07,36.95652
2022-03-08,36.95652
2022-03-09,26.08695
2022-03-10,54.34782
2022-03-11,39.13043
2022-03-12,32.60869
2022-03-13,26.08695
2022-03-14,43.47826
2022-03-15,56.52173
2022-03-16,54.34782
2022-03-17,56.52173
2022-03-18,41.30434
2022-03-19,28.26086
2022-03-20,15.21739
2022-03-21,63.04347
2022-03-22,52.17391
2022-03-23,32.60869
2022-03-24,17.3913
2022-03-25,41.30434
2022-03-26,21.73913
2022-03-27,17.3913
2022-03-28,39.13043
2022-03-29,17.3913
2022-03-30,34.7826
2022-03-31,52.17391
2022-04-01,26.08695
2022-04-02,26.08695
2022-04-03,21.73913
2022-04-04,23.91304
2022-04-05,52.17391
2022-04-06,54.34782
2022-04-07,45.65217
2022-04-08,21.73913
2022-04-09,26.08695
2022-04-10,17.3913
2022-04-11,45.65217
2022-04-12,26.08695
2022-04-13,34.7826
2022-04-14,26.08695
2022-04-15,30.43478
2022-04-16,26.08695
2022-04-17,34.7826
2022-04-18,58.69565
2022-04-19,45.65217
2022-04-20,43.47826
2022-04-21,28.26086
2022-04-22,23.91304
2022-04-23,15.21739
2022-04-24,17.3913
2022-04-25,54.34782
2022-04-26,32.60869
2022-04-27,43.47826
2022-04-28,47.82608
2022-04-29,45.65217
2022-04-30,17.3913
2022-05-01,19.56521
2022-05-02,78.26086
2022-05-03,50.0
2022-05-04,34.7826
2022-05-05,23.91304
2022-05-06,41.30434
2022-05-07,30.43478
2022-05-08,30.43478
2022-05-09,56.52173
2022-05-10,56.52173
2022-05-11,41.30434
2022-05-12,69.56521
2022-05-13,32.60869
2022-05-14,21.73913
2022-05-15,23.91304
2022-05-16,47.82608
2022-05-17,28.26086
2022-05-18,32.60869
2022-05-19,63.04347
2022-05-20,32.60869
2022-05-21,28.26086
2022-05-22,39.13043
2022-05-23,69.56521
2022-05-24,82.60869
2022-05-25,65.21739
2022-05-26,17.3913
2022-05-27,65.21739
2022-05-28,34.7826
2022-05-29,26.08695
2022-05-30,54.34782
2022-05-31,84.7826
2022-06-01,39.13043
2022-06-02,52.17391
2022-06-03,30.43478
2022-06-04,36.95652
2022-06-05,13.04347
2022-06-06,41.30434
2022-06-07,63.04347
2022-06-08,58.69565
2022-06-09,43.47826
2022-06-10,32.60869
2022-06-11,41.30434
2022-06-12,32.60869
2022-06-13,71.73913
2022-06-14,60.86956
2022-06-15,65.21739
2022-06-16,36.95652
2022-06-17,47.82608
2022-06-18,36.95652
2022-06-19,15.21739
2022-06-20,56.52173
2022-06-21,54.34782
2022-06-22,80.43478
2022-06-23,32.60869
2022-06-24,47.82608
2022-06-25,32.60869
2022-06-26,34.7826
2022-06-27,47.82608
2022-06-28,63.04347
2022-06-29,71.73913
2022-06-30,45.65217
2022-07-01,45.65217
2022-07-02,30.43478
2022-07-03,52.17391
2022-07-04,80.43478
2022-07-05,69.56521
2022-07-06,50.0
2022-07-07,58.69565
2022-07-08,47.82608
2022-07-09,28.26086
2022-07-10,28.26086
2022-07-11,50.0
2022-07-12,67.3913
2022-07-13,45.65217
2022-07-14,56.52173
2022-07-15,54.34782
2022-07-16,28.26086
2022-07-17,23.91304
2022-07-18,58.69565
2022-07-19,47.82608
2022-07-20,56.52173
2022-07-21,50.0
2022-07-22,21.73913
2022-07-23,26.08695
2022-07-24,30.43478
2022-07-25,43.47826
2022-07-26,34.7826
2022-07-27,26.08695
2022-07-28,45.65217
2022-07-29,23.91304
2022-07-30,30.43478
2022-07-31,45.65217
2022-08-01,86.95652
2022-08-02,23.91304
2022-08-03,30.43478
2022-08-04,45.65217
2022-08-05,54.34782
2022-08-06,36.95652
2022-08-07,45.65217
2022-08-08,71.73913
2022-08-09,34.7826
2022-08-10,73.91304
2022-08-11,21.73913
2022-08-12,47.82608
2022-08-13,28.26086
2022-08-14,36.95652
2022-08-15,23.91304
2022-08-16,58.69565
2022-08-17,45.65217
2022-08-18,71.73913
2022-08-19,39.13043
2022-08-20,30.43478
2022-08-21,13.04347
2022-08-22,63.04347
2022-08-23,78.26086
2022-08-24,43.47826
2022-08-25,43.47826
2022-08-26,52.17391
2022-08-27,26.08695
2022-08-28,26.08695
2022-08-29,47.82608
2022-08-30,47.82608
2022-08-31,47.82608
2022-09-01,52.17391
2022-09-02,69.56521
2022-09-03,28.26086
2022-09-04,32.60869
2022-09-05,32.60869
2022-09-06,80.43478
2022-09-07,47.82608
2022-09-08,45.65217
2022-09-09,15.21739
2022-09-10,26.08695
2022-09-11,32.60869
2022-09-12,13.04347
2022-09-13,65.21739
2022-09-14,76.08695
2022-09-15,69.56521
2022-09-16,34.7826
2022-09-17,36.95652
2022-09-18,23.91304
2022-09-19,69.56521
2022-09-20,41.30434
2022-09-21,63.04347
2022-09-22,58.69565
2022-09-23,50.0
2022-09-24,32.60869
2022-09-25,26.08695
2022-09-26,45.65217
2022-09-27,52.17391
2022-09-28,63.04347
2022-09-29,50.0
2022-09-30,54.34782
2022-10-01,30.43478
2022-10-02,41.30434
2022-10-03,34.7826
2022-10-04,47.82608
2022-10-05,58.69565
2022-10-06,30.43478
2022-10-07,36.95652
2022-10-08,17.3913
2022-10-09,13.04347
2022-10-11,41.30434
2022-10-12,30.43478
2022-10-13,23.91304
2022-10-14,32.60869
2022-10-15,19.56521
2022-10-16,17.3913
2022-10-17,26.08695
2022-10-18,15.21739
2022-10-19,45.65217
2022-10-20,26.08695
2022-10-21,63.04347
2022-10-23,32.60869
2022-10-24,17.3913
2022-10-25,32.60869
2022-10-26,34.7826
2022-10-27,19.56521
2022-10-28,23.91304
2022-10-29,32.60869
2022-10-30,17.3913
2022-10-31,52.17391
2022-11-01,21.73913
2022-11-02,36.95652
2022-11-03,45.65217
2022-11-04,45.65217
2022-11-05,17.3913
2022-11-06,10.86956
2022-11-07,52.17391
2022-11-08,19.56521
2022-11-09,43.47826
2022-11-10,34.7826
2022-11-11,30.43478
2022-11-12,21.73913
2022-11-13,28.26086
2022-11-14,52.17391
2022-11-15,28.26086
2022-11-16,41.30434
2022-11-17,41.30434
2022-11-18,26.08695
2022-11-19,17.3913
2022-11-20,21.73913
2022-11-21,41.30434
2022-11-22,32.60869
2022-11-23,63.04347
2022-11-24,32.60869
2022-11-25,36.95652
2022-11-26,28.26086
2022-11-27,30.43478
2022-11-28,60.86956
2022-11-29,65.21739
2022-11-30,43.47826
2022-12-01,52.17391
2022-12-02,34.7826
2022-12-03,21.73913
2022-12-04,15.21739
2022-12-05,34.7826
2022-12-06,50.0
2022-12-07,52.17391
2022-12-08,76.08695
2022-12-09,28.26086
2022-12-10,19.56521
2022-12-11,26.08695
2022-12-12,76.08695
2022-12-13,65.21739
