date,자동차보험
2022-05-21,31.38742
2022-05-22,34.8065
2022-05-23,66.53474
2022-05-24,66.04001
2022-05-25,60.31222
2022-05-26,60.23526
2022-05-27,54.06772
2022-05-28,32.37686
2022-05-29,32.17897
2022-05-30,69.97581
2022-05-31,61.84036
2022-06-01,42.23834
2022-06-02,67.38126
2022-06-03,59.72955
2022-06-04,36.2357
2022-06-05,30.69481
2022-06-06,40.14951
2022-06-07,67.95294
2022-06-08,66.80958
2022-06-09,60.78496
2022-06-10,58.75109
2022-06-11,34.0919
2022-06-12,37.02726
2022-06-13,69.67897
2022-06-14,66.83157
2022-06-15,67.99692
2022-06-16,63.75329
2022-06-17,55.80474
2022-06-18,34.70756
2022-06-19,37.99472
2022-06-20,70.77836
2022-06-21,64.03913
2022-06-22,61.86235
2022-06-23,56.56332
2022-06-24,53.88082
2022-06-25,32.05804
2022-06-26,34.38874
2022-06-27,65.74318
2022-06-28,60.43315
2022-06-29,62.74186
2022-06-30,57.47581
2022-07-01,58.0255
2022-07-02,34.94942
2022-07-03,36.37862
2022-07-04,66.34784
2022-07-05,65.74318
2022-07-06,57.18997
2022-07-07,53.07827
2022-07-08,51.66007
2022-07-09,31.25549
2022-07-10,33.94898
2022-07-11,63.41248
2022-07-12,63.89621
2022-07-13,57.6627
2022-07-14,56.91512
2022-07-15,51.92392
2022-07-16,30.79375
2022-07-17,34.24582
2022-07-18,64.62181
2022-07-19,57.16798
2022-07-20,60.00439
2022-07-21,55.40897
2022-07-22,50.1649
2022-07-23,29.85927
2022-07-24,38.47845
2022-07-25,69.37115
2022-07-26,59.75153
2022-07-27,57.83861
2022-07-28,55.96965
2022-07-29,52.99032
2022-07-30,30.59586
2022-07-31,33.7401
2022-08-01,66.12796
2022-08-02,59.66358
2022-08-03,57.50879
2022-08-04,52.86939
2022-08-05,51.97889
2022-08-06,30.67282
2022-08-07,32.21196
2022-08-08,63.36851
2022-08-09,71.98768
2022-08-10,72.4824
2022-08-11,66.9635
2022-08-12,59.37774
2022-08-13,33.14643
2022-08-14,32.3109
2022-08-15,38.46745
2022-08-16,69.31618
2022-08-17,66.57871
2022-08-18,56.80518
2022-08-19,51.83597
