date,중소기업청년지원금
2022-04-27,14.9348
2022-04-28,18.09561
2022-04-29,14.30264
2022-04-30,9.64045
2022-05-01,10.62821
2022-05-02,29.8301
2022-05-03,27.18293
2022-05-04,22.16515
2022-05-05,14.30264
2022-05-06,22.12564
2022-05-07,13.19636
2022-05-08,14.46068
2022-05-09,28.88186
2022-05-10,27.77558
2022-05-11,26.6693
2022-05-12,27.0644
2022-05-13,24.37771
2022-05-14,15.01382
2022-05-15,18.29316
2022-05-16,32.04267
2022-05-17,18.92532
2022-05-18,16.00158
2022-05-19,15.36941
2022-05-20,13.27538
2022-05-21,7.50691
2022-05-22,7.19083
2022-05-23,16.51521
2022-05-24,17.2659
2022-05-25,17.34492
2022-05-26,15.21137
2022-05-27,12.32714
2022-05-28,7.78348
2022-05-29,8.6527
2022-05-30,37.73212
2022-05-31,23.70604
2022-06-01,13.43342
2022-06-02,18.49071
2022-06-03,15.09284
2022-06-04,8.88976
2022-06-05,9.16633
2022-06-06,10.07506
2022-06-07,17.30541
2022-06-08,18.37218
2022-06-09,16.43619
2022-06-10,15.52745
2022-06-11,7.50691
2022-06-12,8.88976
2022-06-13,15.01382
2022-06-14,17.50296
2022-06-15,16.00158
2022-06-16,16.83129
2022-06-17,14.38166
2022-06-18,7.0723
2022-06-19,7.26985
2022-06-20,16.15962
2022-06-21,14.50019
2022-06-22,15.36941
2022-06-23,14.06558
2022-06-24,12.05057
2022-06-25,7.34887
2022-06-26,6.75622
2022-06-27,15.17186
2022-06-28,16.12011
2022-06-29,16.55472
2022-06-30,20.18964
2022-07-01,15.64598
2022-07-02,8.09956
2022-07-03,8.57368
2022-07-04,15.96207
2022-07-05,16.31766
2022-07-06,14.46068
2022-07-07,13.94705
2022-07-08,11.33939
2022-07-09,6.55867
2022-07-10,7.11181
2022-07-11,12.9593
2022-07-12,15.92256
2022-07-13,13.67048
2022-07-14,13.78901
2022-07-15,12.99881
2022-07-16,6.04504
2022-07-17,5.76847
2022-07-18,14.46068
2022-07-19,12.48518
2022-07-20,12.24812
2022-07-21,12.01106
2022-07-22,11.89253
2022-07-23,5.17581
2022-07-24,4.85973
2022-07-25,12.52469
2022-07-26,12.5642
2022-07-27,11.22086
2022-07-28,10.31212
2022-07-29,8.69221
2022-07-30,5.21532
2022-07-31,5.29435
2022-08-01,11.22086
2022-08-02,12.68273
2022-08-03,12.44567
2022-08-04,12.52469
2022-08-05,11.65547
2022-08-06,5.57092
2022-08-07,7.4674
2022-08-08,13.55195
2022-08-09,12.80126
2022-08-10,12.20861
2022-08-11,12.28763
2022-08-12,11.14184
2022-08-13,6.08455
2022-08-14,4.7412
2022-08-15,6.83524
2022-08-16,14.81627
2022-08-17,15.76451
2022-08-18,14.97431
2022-08-19,10.90478
2022-08-20,5.68945
2022-08-21,5.61043
2022-08-22,11.3789
2022-08-23,11.10233
2022-08-24,13.23587
2022-08-25,11.81351
2022-08-26,11.81351
2022-08-27,6.00553
2022-08-28,6.12406
2022-08-29,11.81351
2022-08-30,14.42117
2022-08-31,14.77676
2022-09-01,14.06558
2022-09-02,10.94429
2022-09-03,6.00553
2022-09-04,5.92651
2022-09-05,11.29988
2022-09-06,10.31212
2022-09-07,11.3789
2022-09-08,7.34887
2022-09-09,5.33386
2022-09-10,5.21532
2022-09-11,5.80798
2022-09-12,6.32161
2022-09-13,12.88028
2022-09-14,12.5642
2022-09-15,13.07783
2022-09-16,10.47016
2022-09-17,5.29435
2022-09-18,6.71671
2022-09-19,11.89253
2022-09-20,13.43342
2022-09-21,12.64322
2022-09-22,11.69498
2022-09-23,9.36388
2022-09-24,5.17581
2022-09-25,5.01777
2022-09-26,13.94705
2022-09-27,14.26313
2022-09-28,13.47293
2022-09-29,13.7495
2022-09-30,14.06558
2022-10-01,10.39114
2022-10-02,7.70446
2022-10-03,10.11457
2022-10-04,25.60252
2022-10-05,24.97036
2022-10-06,20.70327
2022-10-07,19.08336
2022-10-08,8.02054
2022-10-09,8.41564
2022-10-10,12.1691
2022-10-11,24.41722
2022-10-12,23.31094
2022-10-13,24.25918
2022-10-14,21.73054
2022-10-15,10.39114
2022-10-16,11.45792
2022-10-17,21.53299
2022-10-18,17.62149
2022-10-19,14.89529
2022-10-20,13.98656
2022-10-21,11.18135
2022-10-22,6.75622
2022-10-23,7.34887
2022-10-24,13.67048
2022-10-25,17.30541
2022-10-26,14.65823
2022-10-27,12.1691
2022-10-28,11.41841
2022-10-29,5.61043
2022-10-30,6.16357
2022-10-31,15.17186
2022-11-01,37.77163
2022-11-02,22.91584
2022-11-03,15.88305
2022-11-04,13.67048
2022-11-05,7.0723
2022-11-06,7.62544
2022-11-07,15.44843
2022-11-08,14.57921
2022-11-09,16.98933
2022-11-10,17.38443
2022-11-11,13.19636
2022-11-12,5.80798
2022-11-13,7.34887
2022-11-14,13.98656
2022-11-15,14.85578
2022-11-16,13.3544
2022-11-17,12.60371
2022-11-18,9.60094
2022-11-19,5.92651
2022-11-20,6.2821
2022-11-21,11.29988
2022-11-22,13.3544
2022-11-23,12.12959
2022-11-24,11.06282
2022-11-25,10.70723
2022-11-26,5.80798
2022-11-27,7.74397
2022-11-28,10.90478
2022-11-29,15.36941
2022-11-30,18.96483
2022-12-01,12.88028
2022-12-02,10.15408
2022-12-03,5.41288
2022-12-04,6.79573
2022-12-05,16.4757
2022-12-06,14.89529
2022-12-07,12.28763
2022-12-08,12.32714
2022-12-09,14.30264
2022-12-10,6.44014
2022-12-11,7.42789
2022-12-12,13.27538
2022-12-13,13.11734
2022-12-14,13.59146
2022-12-15,13.31489
2022-12-16,10.47016
2022-12-17,6.91426
2022-12-18,6.51916
2022-12-19,11.57645
2022-12-20,15.09284
2022-12-21,12.48518
2022-12-22,12.88028
2022-12-23,11.49743
2022-12-24,6.99328
2022-12-25,7.70446
2022-12-26,13.70999
2022-12-27,14.77676
2022-12-28,17.38443
2022-12-29,15.21137
2022-12-30,10.62821
2022-12-31,6.87475
2023-01-01,7.19083
2023-01-02,20.8218
2023-01-03,21.25642
2023-01-04,19.55748
2023-01-05,17.93757
2023-01-06,16.31766
2023-01-07,8.02054
2023-01-08,10.35163
2023-01-09,19.6365
2023-01-10,18.49071
2023-01-11,17.74002
2023-01-12,16.4757
2023-01-13,15.44843
2023-01-14,6.32161
2023-01-15,9.0478
2023-01-16,16.71276
2023-01-17,18.41169
2023-01-18,16.27815
2023-01-19,15.84354
2023-01-20,11.53694
2023-01-21,6.79573
2023-01-22,7.98103
2023-01-23,6.99328
2023-01-24,9.24535
2023-01-25,20.86131
2023-01-26,19.39944
2023-01-27,16.8708
2023-01-28,7.74397
2023-01-29,8.21809
2023-01-30,17.93757
2023-01-31,19.12287
2023-02-01,20.94033
2023-02-02,17.50296
2023-02-03,16.31766
2023-02-04,9.16633
2023-02-05,8.45515
2023-02-06,18.17463
2023-02-07,18.76728
