date,가맹점
2022-10-20,16.34717
2022-10-21,13.36528
2022-10-22,10.33013
2022-10-23,11.23535
2022-10-24,12.8328
2022-10-25,14.37699
2022-10-26,13.84451
2022-10-27,11.1821
2022-10-28,11.50159
2022-10-29,7.98722
2022-10-30,6.92225
2022-10-31,12.51331
2022-11-01,13.31203
2022-11-02,13.15228
2022-11-03,11.3951
2022-11-04,10.80937
2022-11-05,6.92225
2022-11-06,7.56123
2022-11-07,12.67305
2022-11-08,12.24707
2022-11-09,11.23535
2022-11-10,10.75612
2022-11-11,10.91586
2022-11-12,6.81576
2022-11-13,7.02875
2022-11-14,12.30031
2022-11-15,12.56656
2022-11-16,12.99254
2022-11-17,12.7263
2022-11-18,11.82108
2022-11-19,7.72097
2022-11-20,7.13525
2022-11-21,10.91586
2022-11-22,12.93929
2022-11-23,12.14057
2022-11-24,12.51331
2022-11-25,10.70287
2022-11-26,7.98722
2022-11-27,8.14696
2022-11-28,11.12886
2022-11-29,13.25878
2022-11-30,12.14057
2022-12-01,13.36528
2022-12-02,10.27689
2022-12-03,7.24174
2022-12-04,8.78594
2022-12-05,12.46006
2022-12-06,12.30031
2022-12-07,13.25878
2022-12-08,14.2705
2022-12-09,10.01064
2022-12-10,7.45473
2022-12-11,8.09371
2022-12-12,11.98083
2022-12-13,14.0575
2022-12-14,10.54313
2022-12-15,10.70287
2022-12-16,9.7444
2022-12-17,5.85729
2022-12-18,6.60276
2022-12-19,10.54313
2022-12-20,12.67305
2022-12-21,12.08732
2022-12-22,10.06389
2022-12-23,9.37167
2022-12-24,5.6443
2022-12-25,6.01703
2022-12-26,11.23535
2022-12-27,12.14057
2022-12-28,10.33013
2022-12-29,10.48988
2022-12-30,9.05218
2022-12-31,6.49627
2023-01-01,5.85729
2023-01-02,12.8328
2023-01-03,13.04579
2023-01-04,13.41853
2023-01-05,12.6198
2023-01-06,10.91586
2023-01-07,7.02875
2023-01-08,6.60276
2023-01-09,11.66134
2023-01-10,12.24707
2023-01-11,12.93929
2023-01-12,12.67305
2023-01-13,13.20553
2023-01-14,9.26517
2023-01-15,8.62619
2023-01-16,12.35356
2023-01-17,12.88604
2023-01-18,12.67305
2023-01-19,12.8328
2023-01-20,11.07561
2023-01-21,6.70926
2023-01-22,5.48455
2023-01-23,6.70926
2023-01-24,8.35995
2023-01-25,11.87433
2023-01-26,13.63152
2023-01-27,12.14057
2023-01-28,7.50798
2023-01-29,7.82747
2023-01-30,14.164
2023-01-31,14.64323
2023-02-01,13.36528
2023-02-02,12.03407
2023-02-03,12.24707
2023-02-04,8.67944
2023-02-05,7.40149
2023-02-06,11.92758
2023-02-07,13.25878
2023-02-08,12.93929
2023-02-09,11.60809
2023-02-10,11.98083
2023-02-11,7.66773
2023-02-12,7.77422
2023-02-13,12.40681
2023-02-14,13.41853
2023-02-15,13.57827
2023-02-16,11.92758
2023-02-17,10.43663
2023-02-18,7.082
2023-02-19,7.98722
2023-02-20,12.99254
2023-02-21,12.99254
2023-02-22,11.92758
2023-02-23,11.92758
2023-02-24,12.03407
2023-02-25,8.20021
2023-02-26,7.13525
2023-02-27,12.7263
2023-02-28,13.15228
2023-03-01,8.83919
2023-03-02,11.92758
2023-03-03,9.53141
2023-03-04,7.24174
2023-03-05,8.94568
2023-03-06,10.64962
2023-03-07,12.8328
2023-03-08,13.47177
2023-03-09,11.1821
2023-03-10,11.23535
2023-03-11,5.6443
2023-03-12,7.45473
2023-03-13,12.7263
2023-03-14,11.66134
2023-03-15,12.6198
2023-03-16,11.87433
2023-03-17,11.50159
2023-03-18,6.44302
2023-03-19,8.78594
2023-03-20,13.20553
2023-03-21,13.89776
2023-03-22,13.89776
2023-03-23,14.11075
2023-03-24,14.164
2023-03-25,8.67944
2023-03-26,9.8509
2023-03-27,16.18743
2023-03-28,15.33546
2023-03-29,15.92119
2023-03-30,12.6198
2023-03-31,12.56656
2023-04-01,7.66773
2023-04-02,8.73269
2023-04-03,12.99254
2023-04-04,14.58998
2023-04-05,14.90947
2023-04-06,14.2705
2023-04-07,11.23535
2023-04-08,9.90415
2023-04-09,9.69116
2023-04-10,14.43024
2023-04-11,13.31203
2023-04-12,12.88604
2023-04-13,11.55484
2023-04-14,10.48988
2023-04-15,8.25346
2023-04-16,8.57294
2023-04-17,13.52502
2023-04-18,12.88604
2023-04-19,11.44834
2023-04-20,11.82108
2023-04-21,10.91586
2023-04-22,7.82747
2023-04-23,7.50798
2023-04-24,12.08732
2023-04-25,14.21725
2023-04-26,11.76783
2023-04-27,12.40681
2023-04-28,10.64962
2023-04-29,7.82747
2023-04-30,7.13525
2023-05-01,7.66773
2023-05-02,13.73801
2023-05-03,11.82108
2023-05-04,11.2886
2023-05-05,7.98722
2023-05-06,7.40149
2023-05-07,7.50798
2023-05-08,11.60809
2023-05-09,12.99254
2023-05-10,13.73801
2023-05-11,11.76783
2023-05-12,11.2886
2023-05-13,8.57294
2023-05-14,6.65601
2023-05-15,12.7263
2023-05-16,12.40681
2023-05-17,11.02236
2023-05-18,11.50159
2023-05-19,10.22364
2023-05-20,6.81576
2023-05-21,7.40149
2023-05-22,11.44834
2023-05-23,13.52502
2023-05-24,12.19382
2023-05-25,11.66134
2023-05-26,10.43663
2023-05-27,6.92225
