date,비과세종합저축
2022-10-27,17.83685
2022-10-28,18.30357
2022-10-29,11.181
2022-10-30,8.03571
2022-10-31,14.93506
2022-11-01,17.75568
2022-11-02,15.92938
2022-11-03,16.33522
2022-11-04,13.29139
2022-11-05,7.18344
2022-11-06,8.40097
2022-11-07,13.67694
2022-11-08,15.23944
2022-11-09,12.90584
2022-11-10,14.44805
2022-11-11,12.2362
2022-11-12,6.35146
2022-11-13,7.44724
2022-11-14,15.72646
2022-11-15,16.41639
2022-11-16,14.28571
2022-11-17,12.7435
2022-11-18,13.16964
2022-11-19,7.14285
2022-11-20,7.58928
2022-11-21,13.2711
2022-11-22,13.59577
2022-11-23,12.39853
2022-11-24,11.72889
2022-11-25,12.54058
2022-11-26,7.06168
2022-11-27,8.8474
2022-11-28,14.69155
2022-11-29,14.69155
2022-11-30,13.29139
2022-12-01,13.47402
2022-12-02,11.74918
2022-12-03,6.10795
2022-12-04,7.73133
2022-12-05,13.45373
2022-12-06,12.35795
2022-12-07,13.04788
2022-12-08,13.14935
2022-12-09,11.36363
2022-12-10,7.5284
2022-12-11,8.15746
2022-12-12,12.19561
2022-12-13,14.95535
2022-12-14,14.65097
2022-12-15,12.27678
2022-12-16,12.80438
2022-12-17,8.44155
2022-12-18,7.0211
2022-12-19,11.12012
2022-12-20,15.01623
2022-12-21,17.22808
2022-12-22,14.95535
2022-12-23,14.34659
2022-12-24,13.12905
2022-12-25,15.68587
2022-12-26,25.0
2022-12-27,24.85795
2022-12-28,21.75324
2022-12-29,20.90097
2022-12-30,19.74431
2022-12-31,9.65909
2023-01-01,9.6185
2023-01-02,15.19886
2023-01-03,12.33766
2023-01-04,12.76379
2023-01-05,12.11444
2023-01-06,10.34902
2023-01-07,7.58928
2023-01-08,8.38068
2023-01-09,10.81574
2023-01-10,12.09415
2023-01-11,11.26217
2023-01-12,9.8823
2023-01-13,9.82142
2023-01-14,6.51379
2023-01-15,6.7573
2023-01-16,10.6737
2023-01-17,10.45048
2023-01-18,9.375
2023-01-19,10.30844
2023-01-20,10.77516
2023-01-21,6.16883
2023-01-22,5.9659
2023-01-23,7.36607
2023-01-24,8.46185
2023-01-25,15.28003
2023-01-26,14.91477
2023-01-27,12.43912
2023-01-28,8.64448
2023-01-29,7.99512
2023-01-30,12.7435
2023-01-31,13.33198
2023-02-01,11.60714
2023-02-02,11.03896
2023-02-03,10.00405
2023-02-04,6.31087
2023-02-05,7.16314
2023-02-06,9.94318
2023-02-07,10.26785
2023-02-08,9.29383
2023-02-09,7.40665
2023-02-10,9.39529
2023-02-11,6.20941
2023-02-12,5.9862
2023-02-13,8.98944
2023-02-14,8.60389
2023-02-15,8.52272
2023-02-16,7.69074
2023-02-17,7.42694
2023-02-18,4.95129
2023-02-19,5.11363
2023-02-20,7.87337
2023-02-21,9.27353
2023-02-22,6.83847
2023-02-23,7.5487
2023-02-24,8.07629
2023-02-25,4.58603
2023-02-26,5.01217
2023-02-27,7.87337
2023-02-28,8.07629
2023-03-01,5.86444
2023-03-02,7.40665
2023-03-03,7.20373
2023-03-04,4.78896
2023-03-05,4.95129
2023-03-06,6.85876
2023-03-07,6.31087
2023-03-08,6.7573
2023-03-09,5.84415
2023-03-10,5.76298
2023-03-11,3.61201
2023-03-12,4.54545
2023-03-13,5.88474
2023-03-14,5.80357
2023-03-15,6.63555
2023-03-16,6.43262
2023-03-17,5.58035
2023-03-18,3.57142
2023-03-19,3.97727
2023-03-20,6.10795
2023-03-21,7.5284
2023-03-22,5.21509
2023-03-23,5.4586
2023-03-24,5.51948
2023-03-25,3.42938
2023-03-26,3.30762
2023-03-27,7.14285
2023-03-28,6.59496
2023-03-29,6.89935
