date,법정상속인
2022-04-20,74.62686
2022-04-21,79.10447
2022-04-22,64.92537
2022-04-23,40.2985
2022-04-24,34.32835
2022-04-25,64.92537
2022-04-26,63.43283
2022-04-27,74.62686
2022-04-28,70.14925
2022-04-29,53.73134
2022-04-30,29.10447
2022-05-01,28.3582
2022-05-02,51.49253
2022-05-03,66.41791
2022-05-04,45.52238
2022-05-05,29.85074
2022-05-06,55.22388
2022-05-07,27.61194
2022-05-08,32.83582
2022-05-09,47.01492
2022-05-10,63.43283
2022-05-11,55.22388
2022-05-12,47.01492
2022-05-13,42.53731
2022-05-14,21.64179
2022-05-15,14.92537
2022-05-16,48.50746
2022-05-17,44.77611
2022-05-18,48.50746
2022-05-19,49.25373
2022-05-20,47.01492
2022-05-21,22.38805
2022-05-22,17.16417
2022-05-23,42.53731
2022-05-24,56.71641
2022-05-25,46.26865
2022-05-26,49.25373
2022-05-27,48.50746
2022-05-28,12.68656
2022-05-29,15.67164
2022-05-30,46.26865
2022-05-31,41.79104
2022-06-01,35.07462
2022-06-02,53.73134
2022-06-03,56.71641
2022-06-04,35.07462
2022-06-05,18.65671
2022-06-06,29.85074
2022-06-07,62.68656
2022-06-08,68.65671
2022-06-09,50.0
2022-06-10,48.50746
2022-06-11,24.62686
2022-06-12,26.1194
2022-06-13,60.44776
2022-06-14,58.20895
2022-06-15,45.52238
2022-06-16,59.70149
2022-06-17,38.80597
2022-06-18,22.38805
2022-06-19,15.67164
2022-06-20,62.68656
2022-06-21,62.68656
2022-06-22,68.65671
2022-06-23,50.0
2022-06-24,48.50746
2022-06-25,42.53731
2022-06-26,38.80597
2022-06-27,55.22388
2022-06-28,54.47761
2022-06-29,53.73134
2022-06-30,47.76119
2022-07-01,58.95522
2022-07-02,25.37313
2022-07-03,17.91044
2022-07-04,48.50746
2022-07-05,61.19402
2022-07-06,40.2985
2022-07-07,47.76119
2022-07-08,54.47761
2022-07-09,20.14925
2022-07-10,23.88059
2022-07-11,51.49253
2022-07-12,55.22388
2022-07-13,50.74626
2022-07-14,39.55223
2022-07-15,46.26865
2022-07-16,25.37313
2022-07-17,16.41791
2022-07-18,59.70149
2022-07-19,54.47761
2022-07-20,66.41791
2022-07-21,46.26865
2022-07-22,44.77611
2022-07-23,17.91044
2022-07-24,22.38805
2022-07-25,66.41791
2022-07-26,47.76119
2022-07-27,69.40298
2022-07-28,56.71641
2022-07-29,50.74626
2022-07-30,18.65671
2022-07-31,24.62686
2022-08-01,49.25373
2022-08-02,40.2985
2022-08-03,52.98507
2022-08-04,64.92537
2022-08-05,47.76119
2022-08-06,14.92537
2022-08-07,21.64179
2022-08-08,50.74626
2022-08-09,53.73134
2022-08-10,55.22388
2022-08-11,47.01492
2022-08-12,50.0
2022-08-13,23.88059
2022-08-14,14.92537
2022-08-15,32.08955
2022-08-16,55.22388
2022-08-17,65.67164
2022-08-18,45.52238
2022-08-19,51.49253
2022-08-20,17.16417
2022-08-21,27.61194
2022-08-22,58.20895
2022-08-23,55.22388
2022-08-24,54.47761
2022-08-25,58.95522
2022-08-26,47.01492
2022-08-27,18.65671
2022-08-28,39.55223
2022-08-29,51.49253
2022-08-30,56.71641
2022-08-31,43.28358
2022-09-01,57.46268
2022-09-02,55.22388
2022-09-03,23.88059
2022-09-04,42.53731
2022-09-05,46.26865
2022-09-06,58.95522
2022-09-07,55.97014
2022-09-08,45.52238
2022-09-09,23.88059
2022-09-10,20.14925
2022-09-11,33.58208
2022-09-12,41.04477
2022-09-13,73.13432
2022-09-14,82.83582
2022-09-15,61.19402
2022-09-16,71.64179
2022-09-17,58.95522
2022-09-18,40.2985
2022-09-19,93.28358
2022-09-20,73.88059
2022-09-21,65.67164
2022-09-22,61.19402
2022-09-23,37.31343
2022-09-24,37.31343
2022-09-25,30.59701
2022-09-26,67.91044
2022-09-27,64.92537
2022-09-28,68.65671
2022-09-29,60.44776
2022-09-30,62.68656
2022-10-01,31.34328
2022-10-02,22.38805
2022-10-03,35.07462
2022-10-04,59.70149
2022-10-05,67.16417
2022-10-06,72.38805
2022-10-07,64.92537
2022-10-08,38.80597
2022-10-09,34.32835
2022-10-10,57.46268
2022-10-11,64.92537
2022-10-12,55.97014
2022-10-13,58.95522
2022-10-14,54.47761
2022-10-15,26.1194
2022-10-16,11.94029
2022-10-17,36.56716
2022-10-18,38.0597
2022-10-19,49.25373
2022-10-20,44.02985
2022-10-21,41.79104
2022-10-22,19.40298
2022-10-23,27.61194
2022-10-24,43.28358
2022-10-25,51.49253
2022-10-26,38.80597
2022-10-27,53.73134
2022-10-28,41.79104
2022-10-29,21.64179
2022-10-30,20.89552
2022-10-31,41.04477
2022-11-01,50.0
2022-11-02,41.04477
2022-11-03,41.04477
2022-11-04,40.2985
2022-11-05,18.65671
2022-11-06,17.91044
2022-11-07,34.32835
2022-11-08,50.74626
2022-11-09,44.77611
2022-11-10,50.74626
2022-11-11,46.26865
2022-11-12,19.40298
2022-11-13,20.89552
2022-11-14,45.52238
2022-11-15,38.0597
2022-11-16,47.01492
2022-11-17,58.20895
2022-11-18,38.0597
2022-11-19,10.44776
2022-11-20,23.13432
2022-11-21,49.25373
2022-11-22,50.0
2022-11-23,48.50746
2022-11-24,32.08955
2022-11-25,44.02985
2022-11-26,17.16417
2022-11-27,25.37313
2022-11-28,38.80597
2022-11-29,44.77611
2022-11-30,44.77611
2022-12-01,47.01492
2022-12-02,46.26865
2022-12-03,24.62686
2022-12-04,18.65671
2022-12-05,44.77611
2022-12-06,38.80597
2022-12-07,40.2985
2022-12-08,56.71641
2022-12-09,51.49253
2022-12-10,20.89552
2022-12-11,26.86567
2022-12-12,50.0
2022-12-13,53.73134
2022-12-14,52.98507
2022-12-15,58.95522
2022-12-16,40.2985
2022-12-17,23.13432
2022-12-18,16.41791
2022-12-19,44.77611
2022-12-20,60.44776
2022-12-21,42.53731
2022-12-22,27.61194
2022-12-23,34.32835
2022-12-24,26.86567
2022-12-25,19.40298
2022-12-26,28.3582
2022-12-27,48.50746
2022-12-28,53.73134
2022-12-29,53.73134
2022-12-30,39.55223
2022-12-31,14.1791
2023-01-01,16.41791
2023-01-02,48.50746
2023-01-03,44.02985
2023-01-04,45.52238
2023-01-05,54.47761
2023-01-06,40.2985
2023-01-07,23.13432
2023-01-08,11.94029
2023-01-09,47.76119
2023-01-10,58.20895
2023-01-11,43.28358
2023-01-12,66.41791
2023-01-13,55.97014
2023-01-14,18.65671
2023-01-15,23.13432
2023-01-16,53.73134
2023-01-17,66.41791
2023-01-18,41.04477
2023-01-19,41.79104
2023-01-20,32.83582
2023-01-21,19.40298
2023-01-22,15.67164
2023-01-23,12.68656
2023-01-24,25.37313
2023-01-25,58.20895
2023-01-26,60.44776
2023-01-27,35.82089
2023-01-28,32.08955
2023-01-29,23.88059
2023-01-30,56.71641
2023-01-31,47.01492
2023-02-01,47.01492
2023-02-02,62.68656
2023-02-03,41.04477
2023-02-04,21.64179
2023-02-05,18.65671
2023-02-06,50.0
2023-02-07,59.70149
2023-02-08,58.20895
2023-02-09,47.76119
2023-02-10,51.49253
2023-02-11,26.86567
2023-02-12,20.14925
2023-02-13,48.50746
2023-02-14,54.47761
2023-02-15,51.49253
2023-02-16,64.92537
2023-02-17,42.53731
2023-02-18,23.13432
2023-02-19,18.65671
2023-02-20,53.73134
2023-02-21,50.74626
2023-02-22,55.97014
2023-02-23,58.95522
2023-02-24,45.52238
2023-02-25,24.62686
2023-02-26,18.65671
2023-02-27,63.43283
2023-02-28,50.0
2023-03-01,27.61194
2023-03-02,44.77611
2023-03-03,46.26865
2023-03-04,23.13432
2023-03-05,27.61194
2023-03-06,46.26865
2023-03-07,55.22388
2023-03-08,48.50746
2023-03-09,51.49253
2023-03-10,43.28358
2023-03-11,11.94029
2023-03-12,17.16417
2023-03-13,42.53731
2023-03-14,46.26865
2023-03-15,48.50746
2023-03-16,52.98507
2023-03-17,47.76119
2023-03-18,10.44776
2023-03-19,20.89552
2023-03-20,44.02985
2023-03-21,51.49253
2023-03-22,55.22388
2023-03-23,67.16417
2023-03-24,49.25373
2023-03-25,24.62686
2023-03-26,26.86567
2023-03-27,57.46268
2023-03-28,58.20895
2023-03-29,63.43283
2023-03-30,42.53731
2023-03-31,40.2985
2023-04-01,16.41791
2023-04-02,14.1791
2023-04-03,34.32835
2023-04-04,61.19402
2023-04-05,47.01492
2023-04-06,41.04477
2023-04-07,46.26865
2023-04-08,29.85074
2023-04-09,24.62686
2023-04-10,41.04477
2023-04-11,53.73134
2023-04-12,53.73134
2023-04-13,38.0597
2023-04-14,41.04477
2023-04-15,12.68656
2023-04-16,26.86567
2023-04-17,35.07462
2023-04-18,42.53731
2023-04-19,50.0
2023-04-20,44.77611
2023-04-21,55.22388
2023-04-22,9.70149
2023-04-23,17.16417
2023-04-24,47.01492
2023-04-25,55.22388
2023-04-26,58.95522
2023-04-27,69.40298
2023-04-28,39.55223
2023-04-29,26.1194
2023-04-30,27.61194
2023-05-01,29.10447
2023-05-02,44.02985
2023-05-03,63.43283
2023-05-04,61.19402
2023-05-05,21.64179
2023-05-06,51.49253
2023-05-07,23.13432
2023-05-08,52.98507
2023-05-09,47.01492
2023-05-10,47.01492
2023-05-11,42.53731
2023-05-12,45.52238
2023-05-13,19.40298
2023-05-14,27.61194
2023-05-15,46.26865
2023-05-16,55.22388
2023-05-17,58.20895
2023-05-18,45.52238
2023-05-19,50.0
2023-05-20,19.40298
2023-05-21,23.13432
2023-05-22,54.47761
2023-05-23,44.02985
2023-05-24,54.47761
2023-05-25,42.53731
2023-05-26,55.22388
2023-05-27,25.37313
2023-05-28,26.86567
