date,아트포스터
2022-10-21,24.87562
2022-10-22,20.89552
2022-10-23,30.84577
2022-10-24,20.398
2022-10-25,31.84079
2022-10-26,19.90049
2022-10-27,21.89054
2022-10-28,18.40796
2022-10-29,14.92537
2022-10-30,13.93034
2022-10-31,21.89054
2022-11-01,20.398
2022-11-02,25.87064
2022-11-03,17.91044
2022-11-04,23.38308
2022-11-05,22.38805
2022-11-06,25.87064
2022-11-07,27.86069
2022-11-08,29.35323
2022-11-09,23.38308
2022-11-10,31.34328
2022-11-11,22.38805
2022-11-12,18.90547
2022-11-13,30.34825
2022-11-14,26.36815
2022-11-15,27.86069
2022-11-16,23.38308
2022-11-17,21.39303
2022-11-18,26.36815
2022-11-19,20.89552
2022-11-20,32.83582
2022-11-21,36.3184
2022-11-22,32.3383
2022-11-23,36.3184
2022-11-24,38.80597
2022-11-25,20.398
2022-11-26,22.38805
2022-11-27,33.33333
2022-11-28,30.34825
2022-11-29,27.86069
2022-11-30,28.3582
2022-12-01,20.398
2022-12-02,17.41293
2022-12-03,18.90547
2022-12-04,28.85572
2022-12-05,24.3781
2022-12-06,48.2587
2022-12-07,39.80099
2022-12-08,32.3383
2022-12-09,25.37313
2022-12-10,15.42288
2022-12-11,17.41293
2022-12-12,35.82089
2022-12-13,29.85074
2022-12-14,29.35323
2022-12-15,26.36815
2022-12-16,36.3184
2022-12-17,32.3383
2022-12-18,30.34825
2022-12-19,26.36815
2022-12-20,22.88557
2022-12-21,24.3781
2022-12-22,29.85074
2022-12-23,20.89552
2022-12-24,13.43283
2022-12-25,17.91044
2022-12-26,29.85074
2022-12-27,27.36318
2022-12-28,29.35323
2022-12-29,21.89054
2022-12-30,21.89054
2022-12-31,21.39303
2023-01-01,23.88059
2023-01-02,23.88059
2023-01-03,27.36318
2023-01-04,34.32835
2023-01-05,23.88059
2023-01-06,25.37313
2023-01-07,22.38805
2023-01-08,21.39303
2023-01-09,38.30845
2023-01-10,34.82587
2023-01-11,23.38308
2023-01-12,29.85074
2023-01-13,20.89552
2023-01-14,35.32338
2023-01-15,33.33333
2023-01-16,30.34825
2023-01-17,28.3582
2023-01-18,25.37313
2023-01-19,27.86069
2023-01-20,16.91542
2023-01-21,24.87562
2023-01-22,12.43781
