date,오늘의환율
2022-11-09,62.9068
2022-11-10,64.46005
2022-11-11,74.46375
2022-11-12,24.71338
2022-11-13,16.3369
2022-11-14,69.97041
2022-11-15,61.11316
2022-11-16,59.46745
2022-11-17,60.58616
2022-11-18,54.53957
2022-11-19,18.63905
2022-11-20,12.46301
2022-11-21,54.59504
2022-11-22,53.37463
2022-11-23,49.12167
2022-11-24,51.79363
2022-11-25,47.50369
2022-11-26,17.94563
2022-11-27,11.31656
2022-11-28,50.51775
2022-11-29,48.73335
2022-11-30,48.1139
2022-12-01,56.62906
2022-12-02,51.61797
2022-12-03,17.41863
2022-12-04,11.89903
2022-12-05,50.69341
2022-12-06,52.11723
2022-12-07,52.55177
2022-12-08,48.33579
2022-12-09,45.83949
2022-12-10,16.72522
2022-12-11,11.46449
2022-12-12,46.29252
2022-12-13,46.29252
2022-12-14,47.97522
2022-12-15,50.73039
2022-12-16,47.2818
2022-12-17,16.22596
2022-12-18,11.09467
2022-12-19,44.40643
2022-12-20,47.17085
2022-12-21,49.13091
2022-12-22,47.83653
2022-12-23,46.84726
2022-12-24,16.8639
2022-12-25,11.52921
2022-12-26,44.00887
2022-12-27,43.72226
2022-12-28,44.07359
2022-12-29,43.3247
2022-12-30,36.56619
2022-12-31,15.99482
2023-01-01,11.57544
2023-01-02,44.89644
2023-01-03,48.32655
2023-01-04,45.64534
2023-01-05,43.64829
2023-01-06,43.223
2023-01-07,17.93639
2023-01-08,11.90828
2023-01-09,49.06619
2023-01-10,52.48705
2023-01-11,49.45451
2023-01-12,45.98742
2023-01-13,47.44822
2023-01-14,16.8639
2023-01-15,10.94674
2023-01-16,44.22152
2023-01-17,42.19674
2023-01-18,44.65606
2023-01-19,45.03513
2023-01-20,37.66642
2023-01-21,13.38757
2023-01-22,9.10687
2023-01-23,11.81582
2023-01-24,15.48631
2023-01-25,42.90865
2023-01-26,39.7744
2023-01-27,37.39829
2023-01-28,14.75591
2023-01-29,9.83727
2023-01-30,39.39534
2023-01-31,40.38461
2023-02-01,40.13498
2023-02-02,44.3602
2023-02-03,39.83912
2023-02-04,17.77921
2023-02-05,12.13942
2023-02-06,49.75961
2023-02-07,46.81028
2023-02-08,47.19859
2023-02-09,44.89644
2023-02-10,44.85022
2023-02-11,18.36168
2023-02-12,11.77884
2023-02-13,48.96449
2023-02-14,47.93823
2023-02-15,53.13424
2023-02-16,51.10022
2023-02-17,56.92492
2023-02-18,21.50517
2023-02-19,13.86834
2023-02-20,52.87536
2023-02-21,49.90754
2023-02-22,54.17899
2023-02-23,54.77071
2023-02-24,54.2622
2023-02-25,22.78106
2023-02-26,14.96856
2023-02-27,62.14866
2023-02-28,56.90643
2023-03-01,29.58579
2023-03-02,55.63979
2023-03-03,52.04326
2023-03-04,19.35096
2023-03-05,13.40606
2023-03-06,52.12647
2023-03-07,48.28957
2023-03-08,58.26553
2023-03-09,54.79844
2023-03-10,56.22226
2023-03-11,20.57137
2023-03-12,13.91457
2023-03-13,62.68491
2023-03-14,61.49223
2023-03-15,56.58284
2023-03-16,60.40125
2023-03-17,54.19748
2023-03-18,19.16605
2023-03-19,12.67566
2023-03-20,54.12352
2023-03-21,53.78143
2023-03-22,50.78587
2023-03-23,66.25369
2023-03-24,58.91272
2023-03-25,21.10761
2023-03-26,12.74038
2023-03-27,55.48261
2023-03-28,50.31434
2023-03-29,47.89201
2023-03-30,47.73483
2023-03-31,47.44822
2023-04-01,17.80695
2023-04-02,11.50147
2023-04-03,55.21449
2023-04-04,51.25739
2023-04-05,50.62869
2023-04-06,51.16494
2023-04-07,45.94119
2023-04-08,16.07803
2023-04-09,10.82655
2023-04-10,48.54844
2023-04-11,49.01072
2023-04-12,48.24334
2023-04-13,52.06176
2023-04-14,52.35761
2023-04-15,18.24149
2023-04-16,11.1409
2023-04-17,47.72559
2023-04-18,48.19711
2023-04-19,48.18786
2023-04-20,50.44378
2023-04-21,47.72559
2023-04-22,18.02884
2023-04-23,13.24889
2023-04-24,48.60392
2023-04-25,51.5625
2023-04-26,52.29289
2023-04-27,49.03846
2023-04-28,44.64681
2023-04-29,17.71449
2023-04-30,11.51997
2023-05-01,23.2156
2023-05-02,45.80251
2023-05-03,45.0906
2023-05-04,48.15088
2023-05-05,22.24482
2023-05-06,17.696
2023-05-07,10.90976
2023-05-08,44.62832
2023-05-09,44.71153
2023-05-10,43.70377
2023-05-11,42.60355
2023-05-12,43.26923
2023-05-13,18.23224
2023-05-14,12.15791
2023-05-15,45.11834
2023-05-16,44.48964
2023-05-17,44.87795
2023-05-18,43.09356
2023-05-19,43.31545
2023-05-20,15.79142
2023-05-21,10.49371
2023-05-22,45.77477
2023-05-23,46.6531
2023-05-24,44.21227
2023-05-25,45.1923
2023-05-26,41.38313
2023-05-27,14.73742
