date,코인만들기
2022-12-08,14.01869
2022-12-09,14.95327
2022-12-10,4.67289
2022-12-11,5.60747
2022-12-12,4.2056
2022-12-13,6.07476
2022-12-14,8.41121
2022-12-15,2.80373
2022-12-16,7.00934
2022-12-17,2.33644
2022-12-18,4.67289
2022-12-19,5.60747
2022-12-20,7.00934
2022-12-21,3.27102
2022-12-22,2.33644
2022-12-23,6.07476
2022-12-24,3.73831
2022-12-25,2.80373
2022-12-26,6.54205
2022-12-27,14.95327
2022-12-28,11.68224
2022-12-29,13.08411
2022-12-30,6.54205
2022-12-31,10.28037
2023-01-01,9.34579
2023-01-02,8.8785
2023-01-03,7.47663
2023-01-04,3.27102
2023-01-05,5.60747
2023-01-06,3.73831
2023-01-09,2.33644
2023-01-10,3.73831
2023-01-11,3.27102
2023-01-12,8.41121
2023-01-13,2.80373
2023-01-14,4.67289
2023-01-15,3.27102
2023-01-16,6.07476
2023-01-17,7.00934
2023-01-18,10.74766
2023-01-19,12.61682
2023-01-20,3.27102
2023-01-21,2.33644
2023-01-22,3.27102
2023-01-23,2.80373
2023-01-24,5.14018
2023-01-25,7.94392
2023-01-26,7.47663
2023-01-28,5.14018
2023-01-29,5.60747
2023-01-30,4.67289
2023-01-31,2.80373
2023-02-01,6.54205
2023-02-02,5.14018
2023-02-03,2.80373
2023-02-04,4.67289
2023-02-05,8.8785
2023-02-06,8.41121
2023-02-07,4.67289
2023-02-08,2.80373
2023-02-09,7.94392
2023-02-10,7.47663
2023-02-12,6.07476
2023-02-13,8.41121
2023-02-14,6.07476
2023-02-15,6.54205
2023-02-16,7.94392
2023-02-17,6.54205
2023-02-18,13.5514
2023-02-19,6.54205
2023-02-20,8.8785
2023-02-21,8.41121
2023-02-22,7.94392
2023-02-23,7.00934
2023-02-24,7.00934
2023-02-25,3.73831
2023-02-26,2.33644
2023-02-27,5.60747
2023-02-28,6.07476
2023-03-01,7.47663
2023-03-02,4.67289
2023-03-03,10.28037
2023-03-04,4.67289
2023-03-06,2.33644
2023-03-07,4.2056
2023-03-08,8.41121
2023-03-09,8.8785
2023-03-11,3.73831
2023-03-13,7.00934
2023-03-15,5.60747
2023-03-16,7.47663
2023-03-17,7.47663
2023-03-18,4.2056
2023-03-19,6.07476
2023-03-20,3.27102
2023-03-22,5.60747
2023-03-23,4.2056
2023-03-24,7.94392
2023-03-25,6.07476
2023-03-26,4.67289
2023-03-27,8.8785
2023-03-28,8.8785
2023-03-29,7.47663
2023-03-30,13.08411
2023-03-31,7.00934
2023-04-01,5.14018
2023-04-02,2.33644
2023-04-03,3.73831
2023-04-04,4.67289
2023-04-05,14.48598
2023-04-06,8.8785
2023-04-07,12.61682
2023-04-08,4.67289
2023-04-09,5.14018
2023-04-10,6.07476
2023-04-11,3.73831
2023-04-12,2.33644
2023-04-13,10.74766
2023-04-14,9.34579
2023-04-15,3.27102
2023-04-16,3.73831
2023-04-17,4.2056
2023-04-18,9.34579
2023-04-19,9.34579
2023-04-20,4.67289
2023-04-21,9.81308
2023-04-22,6.07476
2023-04-23,7.00934
2023-04-24,7.47663
2023-04-25,8.8785
2023-04-26,5.14018
2023-04-27,3.73831
2023-04-28,2.80373
2023-04-29,9.34579
2023-04-30,8.8785
2023-05-01,7.94392
2023-05-02,10.74766
2023-05-03,8.41121
2023-05-04,6.07476
2023-05-05,7.00934
2023-05-06,13.08411
2023-05-07,14.01869
2023-05-08,17.757
2023-05-09,14.48598
2023-05-10,13.08411
2023-05-11,9.34579
2023-05-12,11.21495
2023-05-13,9.34579
2023-05-14,9.81308
2023-05-15,15.42056
2023-05-16,21.49532
2023-05-17,15.42056
2023-05-18,20.56074
2023-05-19,7.94392
2023-05-20,11.68224
2023-05-21,7.94392
2023-05-22,6.07476
2023-05-23,10.74766
2023-05-24,7.00934
2023-05-25,6.54205
2023-05-26,11.21495
2023-05-27,3.73831
2023-05-28,4.67289
2023-05-29,6.07476
2023-05-30,3.27102
2023-05-31,7.47663
2023-06-01,14.95327
2023-06-02,25.70093
2023-06-03,6.07476
2023-06-04,8.41121
2023-06-05,2.33644
2023-06-07,7.00934
2023-06-08,3.73831
2023-06-09,5.60747
2023-06-10,6.07476
2023-06-11,5.60747
2023-06-12,8.8785
2023-06-13,13.08411
2023-06-14,5.60747
2023-06-15,6.54205
2023-06-16,4.67289
2023-06-17,4.67289
2023-06-18,4.2056
2023-06-20,4.2056
2023-06-21,9.34579
2023-06-22,7.94392
2023-06-23,3.27102
2023-06-24,4.2056
2023-06-25,4.2056
2023-06-28,6.07476
2023-06-29,5.14018
2023-06-30,4.67289
2023-07-01,5.60747
2023-07-02,2.33644
2023-07-04,6.54205
2023-07-05,2.80373
2023-07-06,3.27102
2023-07-07,2.80373
2023-07-08,5.60747
2023-07-09,3.27102
2023-07-10,2.80373
2023-07-11,3.27102
2023-07-12,5.60747
2023-07-13,2.33644
2023-07-14,5.60747
2023-07-15,2.80373
2023-07-16,5.14018
2023-07-17,3.73831
2023-07-18,7.00934
2023-07-19,3.73831
2023-07-20,2.80373
2023-07-21,5.60747
2023-07-22,5.60747
2023-07-23,5.14018
2023-07-25,7.47663
2023-07-26,2.80373
2023-07-27,6.07476
2023-07-28,2.80373
2023-07-29,2.80373
2023-07-30,5.14018
2023-07-31,3.27102
2023-08-01,2.33644
2023-08-02,2.80373
2023-08-03,3.27102
2023-08-04,2.33644
2023-08-06,4.67289
2023-08-08,3.27102
2023-08-09,5.14018
2023-08-10,3.73831
2023-08-11,6.54205
2023-08-12,7.00934
2023-08-14,3.73831
2023-08-15,5.60747
2023-08-16,8.41121
2023-08-17,4.67289
2023-08-18,3.73831
2023-08-20,2.33644
2023-08-21,3.27102
2023-08-22,2.33644
2023-08-23,3.73831
2023-08-24,4.2056
2023-08-25,2.80373
2023-08-26,3.27102
2023-08-28,2.33644
2023-08-29,4.2056
2023-08-31,2.33644
2023-09-02,4.67289
2023-09-03,3.73831
2023-09-04,6.54205
2023-09-06,3.73831
2023-09-07,2.80373
2023-09-08,4.67289
2023-09-10,2.33644
2023-09-11,2.80373
2023-09-12,2.33644
2023-09-13,7.47663
2023-09-14,2.33644
2023-09-15,3.27102
2023-09-16,7.00934
2023-09-17,2.80373
2023-09-18,2.80373
2023-09-19,7.47663
2023-09-20,11.21495
2023-09-21,7.47663
2023-09-22,2.80373
2023-09-23,2.80373
2023-09-24,5.60747
2023-09-26,5.60747
2023-10-02,3.73831
2023-10-03,2.80373
2023-10-04,5.14018
2023-10-05,2.33644
2023-10-06,3.27102
2023-10-08,6.07476
2023-10-10,2.33644
2023-10-11,3.73831
2023-10-12,2.80373
2023-10-13,2.80373
2023-10-14,2.33644
2023-10-16,3.27102
2023-10-19,3.27102
2023-10-20,2.33644
2023-10-21,2.80373
2023-10-23,3.27102
2023-10-24,6.07476
2023-10-25,4.67289
2023-10-26,2.80373
2023-10-27,2.33644
2023-10-28,2.33644
2023-10-29,3.73831
2023-10-30,4.2056
2023-10-31,5.14018
2023-11-01,5.60747
2023-11-02,7.00934
2023-11-03,7.00934
2023-11-04,2.33644
2023-11-05,2.80373
2023-11-06,6.07476
2023-11-07,5.14018
2023-11-08,5.60747
2023-11-09,7.47663
2023-11-10,4.2056
2023-11-11,5.14018
2023-11-12,4.2056
2023-11-13,2.80373
2023-11-14,2.33644
2023-11-15,5.60747
2023-11-16,6.07476
2023-11-17,6.54205
2023-11-18,2.80373
2023-11-19,4.2056
2023-11-20,4.67289
2023-11-21,3.27102
2023-11-22,2.80373
2023-11-23,2.33644
2023-11-24,7.94392
2023-11-25,5.60747
2023-11-26,3.27102
2023-11-27,2.33644
2023-11-28,3.73831
2023-11-29,5.14018
2023-11-30,6.54205
2023-12-01,4.2056
2023-12-02,2.80373
2023-12-03,2.80373
2023-12-04,3.73831
2023-12-05,5.14018
2023-12-06,7.00934
2023-12-07,10.28037
2023-12-08,8.41121
2023-12-09,9.34579
2023-12-10,6.54205
2023-12-11,8.8785
2023-12-12,10.28037
2023-12-13,12.14953
2023-12-14,2.33644
2023-12-15,14.95327
2023-12-16,7.47663
2023-12-17,5.14018
2023-12-18,6.07476
2023-12-19,10.28037
2023-12-20,7.94392
2023-12-21,4.67289
2023-12-22,6.54205
2023-12-23,5.60747
2023-12-24,6.54205
2023-12-25,4.67289
2023-12-26,8.41121
2023-12-27,7.00934
2023-12-28,3.73831
2023-12-29,2.33644
2023-12-30,5.60747
2023-12-31,4.67289
2024-01-01,7.00934
2024-01-02,7.94392
2024-01-03,7.94392
2024-01-04,2.80373
2024-01-05,7.94392
2024-01-06,7.00934
2024-01-07,6.54205
2024-01-08,7.47663
2024-01-09,12.61682
2024-01-10,7.94392
2024-01-11,12.14953
2024-01-12,9.81308
2024-01-13,8.41121
2024-01-14,4.67289
2024-01-15,4.2056
2024-01-16,9.34579
2024-01-17,6.54205
2024-01-18,6.54205
2024-01-19,3.27102
2024-01-20,3.27102
2024-01-22,7.47663
2024-01-23,6.07476
2024-01-24,5.14018
2024-01-25,7.47663
2024-01-26,5.14018
2024-01-27,5.60747
2024-01-28,6.54205
2024-01-29,7.00934
2024-01-30,3.73831
2024-01-31,4.67289
2024-02-01,8.41121
2024-02-02,5.14018
2024-02-03,5.14018
2024-02-04,5.60747
2024-02-05,2.80373
2024-02-06,7.94392
2024-02-07,2.80373
2024-02-08,2.80373
2024-02-09,2.33644
2024-02-10,6.07476
2024-02-11,14.95327
2024-02-12,25.23364
2024-02-13,18.69158
2024-02-14,12.14953
2024-02-15,14.01869
2024-02-16,5.60747
2024-02-17,9.34579
2024-02-18,7.94392
2024-02-19,8.41121
2024-02-20,13.5514
2024-02-21,15.88785
2024-02-22,17.28971
2024-02-23,16.35514
2024-02-24,13.5514
2024-02-25,9.81308
2024-02-26,10.28037
2024-02-27,13.08411
2024-02-28,20.09345
2024-02-29,19.15887
2024-03-01,13.08411
2024-03-02,20.56074
2024-03-03,21.02803
2024-03-04,23.83177
2024-03-05,37.38317
2024-03-06,26.63551
2024-03-07,26.16822
2024-03-08,34.57943
2024-03-09,20.56074
2024-03-10,15.42056
2024-03-11,31.7757
2024-03-12,38.31775
2024-03-13,34.57943
2024-03-14,43.45794
2024-03-15,23.36448
2024-03-16,18.69158
2024-03-17,20.56074
2024-03-18,19.62616
2024-03-19,20.09345
2024-03-20,14.95327
