date,한국조선해양주가
2022-12-16,21.80469
2022-12-17,2.72059
2022-12-18,1.49992
2022-12-19,18.75698
2022-12-20,17.51236
2022-12-21,19.20775
2022-12-22,21.44566
2022-12-23,17.65996
2022-12-24,1.73129
2022-12-25,1.65549
2022-12-26,19.02425
2022-12-27,19.51093
2022-12-28,20.12924
2022-12-29,17.68788
2022-12-30,7.0568
2022-12-31,1.34434
2023-01-01,1.25658
2023-01-02,18.3062
2023-01-03,20.47231
2023-01-04,40.7691
2023-01-05,26.22466
2023-01-06,25.4388
2023-01-07,2.78841
2023-01-08,2.0185
2023-01-09,27.63682
2023-01-10,23.64368
2023-01-11,22.73416
2023-01-12,24.05457
2023-01-13,25.35503
2023-01-14,2.70863
2023-01-15,1.82703
2023-01-16,23.11712
2023-01-17,21.21828
2023-01-18,18.71708
2023-01-19,19.17185
2023-01-20,19.33939
2023-01-21,2.15812
2023-01-22,1.5438
2023-01-23,1.55576
2023-01-24,2.00654
2023-01-25,22.27541
2023-01-26,23.64767
2023-01-27,30.0343
2023-01-28,3.43066
2023-01-29,2.7565
2023-01-30,24.61704
2023-01-31,32.52752
2023-02-01,31.01962
2023-02-02,28.72985
2023-02-03,35.10052
2023-02-04,4.38806
2023-02-05,3.13547
2023-02-06,28.1953
2023-02-07,28.79368
2023-02-08,28.75378
2023-02-09,28.28705
2023-02-10,28.52241
2023-02-11,3.54635
2023-02-12,2.70464
2023-02-13,33.50087
2023-02-14,30.88798
2023-02-15,35.38774
2023-02-16,31.89723
2023-02-17,27.85623
2023-02-18,2.92803
2023-02-19,2.15812
2023-02-20,26.69937
2023-02-21,29.87872
2023-02-22,27.59294
2023-02-23,26.97063
2023-02-24,24.54124
2023-02-25,2.43737
2023-02-26,1.81506
2023-02-27,22.18764
2023-02-28,23.03733
2023-03-01,3.39077
2023-03-02,28.15541
2023-03-03,24.67288
2023-03-04,2.34163
2023-03-05,2.02648
2023-03-06,25.14759
2023-03-07,24.5213
2023-03-08,21.33397
2023-03-09,23.06925
2023-03-10,20.27684
2023-03-11,2.42939
2023-03-12,1.89883
2023-03-13,22.47087
2023-03-14,20.71166
2023-03-15,23.75538
2023-03-16,20.26886
2023-03-17,21.04276
2023-03-18,2.1302
2023-03-19,1.57172
2023-03-20,21.29009
2023-03-21,22.21557
2023-03-22,21.1744
2023-03-23,20.04946
2023-03-24,18.14664
2023-03-25,1.9108
2023-03-26,1.50789
2023-03-27,19.57475
2023-03-28,26.44008
2023-03-29,23.24876
2023-03-30,24.1144
2023-03-31,25.6981
2023-04-01,2.48524
2023-04-02,1.67943
2023-04-03,27.42939
2023-04-04,28.10355
2023-04-05,25.94143
2023-04-06,21.80868
2023-04-07,22.22754
2023-04-08,2.27381
2023-04-09,1.87888
2023-04-10,22.3153
2023-04-11,23.67161
2023-04-12,27.99984
2023-04-13,29.40402
2023-04-14,34.80134
2023-04-15,3.68198
2023-04-16,2.64879
2023-04-17,30.50502
2023-04-18,27.70863
2023-04-19,33.61656
2023-04-20,31.63395
2023-04-21,25.72602
2023-04-22,2.62486
2023-04-23,3.8575
2023-04-24,32.66315
2023-04-25,29.43992
2023-04-26,26.6515
2023-04-27,25.07579
2023-04-28,24.33381
2023-04-29,2.26982
2023-04-30,1.36029
2023-05-01,5.8441
2023-05-02,22.46689
2023-05-03,21.25019
2023-05-04,18.3421
2023-05-05,2.30173
2023-05-06,1.29248
2023-05-07,0.96537
2023-05-08,20.75155
2023-05-09,27.76846
2023-05-10,21.80868
2023-05-11,23.55592
2023-05-12,18.00303
2023-05-13,1.65549
2023-05-14,1.33237
2023-05-15,21.9483
2023-05-16,19.51491
2023-05-17,18.60539
2023-05-18,24.24605
2023-05-19,24.01468
2023-05-20,2.30173
2023-05-21,1.38024
2023-05-22,35.92229
2023-05-23,30.84011
2023-05-24,33.95564
2023-05-25,26.88686
