date,채권투자
2022-02-25,5.78279
2022-02-26,3.94922
2022-02-27,8.03949
2022-02-28,6.84062
2022-03-01,4.79548
2022-03-02,6.41748
2022-03-03,5.43018
2022-03-04,5.14809
2022-03-05,6.41748
2022-03-06,8.18053
2022-03-07,8.18053
2022-03-08,7.1227
2022-03-09,5.57122
2022-03-10,6.77009
2022-03-11,7.54583
2022-03-12,6.55853
2022-03-13,9.66149
2022-03-14,9.73201
2022-03-15,8.81523
2022-03-16,7.89844
2022-03-17,12.48236
2022-03-18,8.32157
2022-03-19,8.46262
2022-03-20,8.25105
2022-03-21,7.68688
2022-03-22,9.16784
2022-03-23,8.95627
2022-03-24,8.3921
2022-03-25,9.80253
2022-03-26,5.99435
2022-03-27,7.96897
2022-03-28,10.15514
2022-03-29,13.8928
2022-03-30,12.55289
2022-03-31,12.20028
2022-04-01,8.67418
2022-04-02,7.89844
2022-04-03,7.26375
2022-04-04,9.87306
2022-04-05,14.5275
2022-04-06,32.5811
2022-04-07,21.08603
2022-04-08,14.24541
2022-04-09,12.97602
2022-04-10,9.52045
2022-04-11,14.80959
2022-04-12,19.11142
2022-04-13,14.59802
2022-04-14,14.66854
2022-04-15,13.54019
2022-04-16,10.0141
2022-04-17,10.71932
2022-04-18,12.05923
2022-04-19,13.61071
2022-04-20,15.44428
2022-04-21,11.6361
2022-04-22,10.86036
2022-04-23,9.3794
2022-04-24,10.78984
2022-04-25,11.35401
2022-04-26,13.46967
2022-04-27,14.17489
2022-04-28,11.28349
2022-04-29,9.16784
2022-04-30,17.91255
2022-05-01,20.73342
2022-05-02,16.99576
2022-05-03,20.45133
2022-05-04,17.13681
2022-05-05,12.41184
2022-05-06,20.38081
2022-05-07,11.14245
2022-05-08,13.61071
2022-05-09,15.09167
2022-05-10,14.95063
2022-05-11,13.46967
2022-05-12,20.38081
2022-05-13,12.62341
2022-05-14,10.29619
2022-05-15,10.22566
2022-05-16,13.04654
2022-05-17,24.96473
2022-05-18,16.07898
2022-05-19,16.7842
2022-05-20,11.98871
2022-05-21,8.88575
2022-05-22,16.99576
2022-05-23,13.82228
2022-05-24,16.00846
2022-05-25,14.95063
2022-05-26,13.39915
2022-05-27,11.42454
2022-05-28,9.02679
2022-05-29,10.15514
2022-05-30,11.70662
2022-05-31,16.07898
2022-06-01,14.24541
2022-06-02,17.84203
2022-06-03,21.43864
2022-06-04,13.68124
