date,환율계산기
2022-02-03,55.70041
2022-02-04,53.19719
2022-02-05,38.54709
2022-02-06,34.77541
2022-02-07,55.77547
2022-02-08,55.88118
2022-02-09,53.2263
2022-02-10,54.39518
2022-02-11,51.56565
2022-02-12,35.77425
2022-02-13,33.04124
2022-02-14,53.18953
2022-02-15,54.16232
2022-02-16,53.28145
2022-02-17,51.50744
2022-02-18,49.8851
2022-02-19,33.75206
2022-02-20,32.51884
2022-02-21,51.14283
2022-02-22,53.87585
2022-02-23,53.85899
2022-02-24,63.6099
2022-02-25,59.43072
2022-02-26,37.4977
2022-02-27,34.90716
2022-02-28,57.06538
2022-03-01,48.19841
2022-03-02,58.51155
2022-03-03,53.63226
2022-03-04,55.38023
2022-03-05,36.07911
2022-03-06,32.56633
2022-03-07,65.14951
2022-03-08,67.81512
2022-03-09,44.91543
2022-03-10,59.33114
2022-03-11,60.40351
2022-03-12,40.27054
2022-03-13,36.75317
2022-03-14,61.80985
2022-03-15,62.30927
2022-03-16,62.56817
2022-03-17,65.64893
2022-03-18,59.62834
2022-03-19,40.53404
2022-03-20,34.57472
2022-03-21,55.06464
2022-03-22,59.90563
2022-03-23,59.40314
2022-03-24,59.92707
2022-03-25,58.98032
2022-03-26,37.48238
2022-03-27,35.23806
2022-03-28,63.10895
2022-03-29,62.66162
2022-03-30,63.04001
2022-03-31,61.29052
2022-04-01,56.08952
2022-04-02,37.60187
2022-04-03,33.49776
2022-04-04,55.90875
2022-04-05,55.75096
2022-04-06,56.2994
2022-04-07,55.23929
2022-04-08,52.51394
2022-04-09,33.21281
2022-04-10,31.46485
2022-04-11,57.31202
2022-04-12,59.18867
2022-04-13,61.29205
2022-04-14,57.32888
2022-04-15,48.97818
2022-04-16,31.0788
2022-04-17,30.64219
2022-04-18,54.19602
2022-04-19,58.93437
2022-04-20,59.89184
2022-04-21,58.71836
2022-04-22,55.64372
2022-04-23,36.15264
2022-04-24,34.66358
2022-04-25,66.06409
2022-04-26,65.73166
2022-04-27,69.92922
2022-04-28,72.20877
2022-04-29,69.30112
2022-04-30,37.81175
2022-05-01,34.17948
2022-05-02,61.62448
2022-05-03,61.19094
2022-05-04,56.11097
2022-05-05,41.20197
2022-05-06,57.07763
2022-05-07,34.32195
2022-05-08,34.29591
2022-05-09,63.66198
2022-05-10,69.32869
2022-05-11,66.63092
2022-05-12,74.87131
2022-05-13,66.66615
2022-05-14,39.56737
2022-05-15,35.55518
2022-05-16,63.9454
2022-05-17,61.82057
2022-05-18,59.84282
2022-05-19,60.42802
2022-05-20,58.29554
2022-05-21,36.50499
2022-05-22,36.53256
2022-05-23,60.75739
2022-05-24,61.84049
2022-05-25,61.31503
2022-05-26,59.2668
2022-05-27,56.85703
2022-05-28,35.91365
2022-05-29,33.0106
2022-05-30,62.36901
2022-05-31,61.69189
2022-06-01,46.88859
2022-06-02,62.34603
2022-06-03,56.95508
2022-06-04,35.4127
2022-06-05,32.63527
2022-06-06,43.11998
2022-06-07,60.80182
2022-06-08,64.07408
2022-06-09,60.7145
2022-06-10,60.77425
2022-06-11,40.15411
2022-06-12,38.19014
2022-06-13,74.56186
2022-06-14,76.15356
2022-06-15,69.74845
2022-06-16,69.37005
2022-06-17,65.29505
2022-06-18,40.17862
2022-06-19,37.32305
2022-06-20,66.02426
2022-06-21,62.0136
2022-06-22,68.00355
2022-06-23,72.28384
2022-06-24,67.51332
2022-06-25,40.70715
2022-06-26,38.0538
2022-06-27,71.15938
2022-06-28,65.30731
2022-06-29,66.01047
2022-06-30,66.12077
2022-07-01,63.10895
2022-07-02,38.74318
2022-07-03,36.19094
2022-07-04,62.40731
2022-07-05,66.30767
2022-07-06,71.47803
2022-07-07,65.3931
2022-07-08,61.60303
2022-07-09,36.94313
2022-07-10,37.25718
2022-07-11,65.125
2022-07-12,69.93994
2022-07-13,67.79367
2022-07-14,67.23144
2022-07-15,75.4749
2022-07-16,41.35363
2022-07-17,40.55855
2022-07-18,71.59752
2022-07-19,68.33139
2022-07-20,68.92732
2022-07-21,66.08094
2022-07-22,61.54022
2022-07-23,38.25602
2022-07-24,37.37208
2022-07-25,65.81438
2022-07-26,61.61069
2022-07-27,60.06035
2022-07-28,64.34217
2022-07-29,62.20663
2022-07-30,40.17096
2022-07-31,38.77841
2022-08-01,64.62252
2022-08-02,63.39696
2022-08-03,61.89104
2022-08-04,61.26141
2022-08-05,58.97573
2022-08-06,39.0848
2022-08-07,35.89987
2022-08-08,63.58998
2022-08-09,58.0826
2022-08-10,62.08866
2022-08-11,62.22348
2022-08-12,59.63141
2022-08-13,39.60107
2022-08-14,37.56664
2022-08-15,45.81469
2022-08-16,67.36779
2022-08-17,62.78111
2022-08-18,62.39199
2022-08-19,64.83087
2022-08-20,43.29156
2022-08-21,40.00857
2022-08-22,81.52
2022-08-23,79.26956
2022-08-24,71.78442
2022-08-25,71.32789
2022-08-26,65.93388
2022-08-27,42.04301
2022-08-28,39.95496
2022-08-29,79.59433
2022-08-30,73.00998
2022-08-31,71.18236
2022-09-01,70.91427
2022-09-02,69.92615
2022-09-03,43.30075
2022-09-04,42.44438
2022-09-05,78.62154
2022-09-06,75.20375
2022-09-07,84.48434
2022-09-08,80.31742
2022-09-09,48.38684
2022-09-10,41.70139
2022-09-11,41.37048
2022-09-12,52.12941
2022-09-13,83.16379
2022-09-14,93.32526
2022-09-15,83.33997
2022-09-16,77.20142
2022-09-17,45.8438
2022-09-18,42.62669
2022-09-19,77.37453
2022-09-20,72.73117
2022-09-21,71.71548
2022-09-22,92.26821
2022-09-23,77.61504
2022-09-24,48.17697
2022-09-25,45.00428
2022-09-26,93.17513
2022-09-27,85.57816
2022-09-28,87.32459
2022-09-29,78.02714
2022-09-30,72.61167
2022-10-01,43.17819
2022-10-02,39.55818
2022-10-03,49.07316
2022-10-04,73.12948
2022-10-05,69.89092
2022-10-06,71.54084
2022-10-07,63.40002
2022-10-08,40.23377
2022-10-09,38.2698
2022-10-10,49.16967
2022-10-11,72.69593
2022-10-12,68.56425
2022-10-13,66.6876
2022-10-14,64.49537
2022-10-15,43.55965
2022-10-16,40.18934
2022-10-17,70.82082
2022-10-18,71.26968
2022-10-19,69.69943
2022-10-20,70.0196
2022-10-21,72.8767
2022-10-22,42.96065
2022-10-23,39.08174
2022-10-24,67.82584
2022-10-25,67.99436
2022-10-26,68.15828
2022-10-27,64.82627
2022-10-28,60.36062
2022-10-29,39.3437
2022-10-30,34.55328
2022-10-31,61.91096
2022-11-01,66.15448
2022-11-02,64.47086
2022-11-03,66.22954
2022-11-04,62.74281
2022-11-05,41.77952
2022-11-06,38.68496
2022-11-07,68.84919
2022-11-08,76.23169
2022-11-09,81.57056
2022-11-10,82.49433
2022-11-11,91.0549
2022-11-12,52.28567
2022-11-13,46.8748
2022-11-14,83.22201
2022-11-15,84.60996
2022-11-16,74.7748
2022-11-17,71.79514
2022-11-18,68.29003
2022-11-19,44.2812
2022-11-20,42.77069
2022-11-21,74.24627
2022-11-22,72.73117
2022-11-23,70.17433
2022-11-24,73.0682
2022-11-25,70.46081
2022-11-26,47.61933
2022-11-27,43.96868
2022-11-28,69.88479
2022-11-29,68.66689
2022-11-30,69.89552
2022-12-01,77.00686
2022-12-02,66.90514
2022-12-03,38.83663
2022-12-04,39.82168
2022-12-05,70.4746
2022-12-06,70.37655
2022-12-07,71.60824
2022-12-08,68.0633
2022-12-09,66.60181
2022-12-10,43.66076
2022-12-11,42.50873
2022-12-12,68.6531
2022-12-13,68.03112
2022-12-14,68.49531
2022-12-15,66.52368
2022-12-16,62.50842
2022-12-17,41.1652
2022-12-18,41.27857
2022-12-19,66.93884
2022-12-20,68.81395
2022-12-21,68.99013
2022-12-22,67.63435
2022-12-23,62.85464
2022-12-24,42.26821
2022-12-25,41.2755
2022-12-26,66.39959
2022-12-27,66.37202
2022-12-28,66.44249
2022-12-29,64.76652
2022-12-30,57.80378
2022-12-31,41.13456
2023-01-01,38.69875
2023-01-02,64.64703
2023-01-03,67.67111
2023-01-04,71.56228
2023-01-05,71.81353
2023-01-06,67.31417
2023-01-07,47.32213
2023-01-08,45.1774
2023-01-09,75.43047
2023-01-10,75.54231
2023-01-11,73.42055
2023-01-12,73.514
2023-01-13,70.7289
2023-01-14,51.9226
2023-01-15,47.38495
2023-01-16,72.97628
2023-01-17,69.21073
2023-01-18,72.30528
2023-01-19,70.71664
2023-01-20,61.12966
2023-01-21,43.06636
2023-01-22,39.36056
2023-01-23,46.12568
2023-01-24,52.88314
2023-01-25,73.80354
2023-01-26,73.46191
2023-01-27,68.99473
2023-01-28,49.93412
2023-01-29,49.04252
2023-01-30,75.29107
2023-01-31,75.44273
2023-02-01,74.47913
2023-02-02,78.99534
2023-02-03,73.85409
2023-02-04,53.52196
2023-02-05,51.59783
2023-02-06,79.09951
2023-02-07,80.17648
2023-02-08,78.71346
2023-02-09,76.33127
2023-02-10,75.45499
2023-02-11,58.30933
2023-02-12,52.44959
2023-02-13,82.69348
2023-02-14,77.91224
2023-02-15,84.19786
2023-02-16,92.76456
2023-02-17,89.0128
2023-02-18,62.36901
2023-02-19,55.39555
2023-02-20,84.65592
2023-02-21,81.6303
2023-02-22,81.39745
2023-02-23,79.75059
2023-02-24,74.2907
2023-02-25,52.92756
