date,미국ETF
2022-10-15,9.0136
2022-10-16,7.73809
2022-10-17,12.84013
2022-10-18,14.20068
2022-10-19,13.43537
2022-10-20,13.2653
2022-10-21,12.15986
2022-10-22,8.41836
2022-10-23,6.20748
2022-10-24,11.73469
2022-10-25,11.73469
2022-10-26,13.94557
2022-10-27,17.7721
2022-10-28,17.94217
2022-10-29,10.20408
2022-10-30,6.63265
2022-10-31,10.62925
2022-11-01,13.0102
2022-11-02,12.24489
2022-11-03,15.05102
2022-11-04,11.81972
2022-11-05,9.35374
2022-11-06,6.12244
2022-11-07,11.47959
2022-11-08,13.09523
2022-11-09,15.56122
2022-11-10,15.90136
2022-11-11,18.87755
2022-11-12,12.15986
2022-11-13,9.0136
2022-11-14,15.05102
2022-11-15,14.79591
2022-11-16,14.54081
2022-11-17,12.84013
2022-11-18,15.98639
2022-11-19,8.58843
2022-11-20,6.80272
2022-11-21,11.05442
2022-11-22,20.32312
2022-11-23,61.90476
2022-11-24,19.98299
2022-11-25,13.0102
2022-11-26,9.5238
2022-11-27,7.05782
2022-11-28,14.37074
2022-11-29,11.39455
2022-11-30,11.90476
2022-12-01,13.35034
2022-12-02,12.7551
2022-12-03,6.46258
2022-12-04,6.80272
2022-12-05,11.98979
2022-12-06,12.7551
2022-12-07,12.24489
2022-12-08,11.98979
2022-12-09,13.5204
2022-12-10,8.58843
2022-12-11,7.05782
2022-12-12,11.47959
2022-12-13,13.77551
2022-12-14,16.24149
2022-12-15,11.22448
2022-12-16,11.64965
2022-12-17,7.05782
2022-12-18,7.73809
2022-12-19,10.28911
2022-12-20,14.20068
2022-12-21,13.94557
2022-12-22,11.64965
2022-12-23,12.92517
2022-12-24,7.65306
2022-12-25,7.65306
2022-12-26,11.90476
2022-12-27,14.71088
2022-12-28,15.05102
2022-12-29,13.94557
2022-12-30,12.07482
2022-12-31,8.24829
2023-01-01,6.20748
2023-01-02,9.77891
2023-01-03,12.32993
2023-01-04,14.88095
2023-01-05,12.24489
2023-01-06,14.54081
2023-01-07,10.54421
2023-01-08,8.5034
2023-01-09,11.47959
2023-01-10,14.11564
2023-01-11,13.43537
2023-01-12,14.03061
2023-01-13,14.54081
2023-01-14,11.98979
2023-01-15,8.67346
2023-01-16,12.24489
2023-01-17,13.60544
2023-01-18,13.2653
2023-01-19,11.13945
2023-01-20,10.62925
2023-01-21,8.7585
2023-01-22,9.0136
2023-01-23,11.47959
2023-01-24,16.83673
2023-01-25,17.17687
2023-01-26,15.39115
2023-01-27,19.47278
2023-01-28,12.67006
2023-01-29,11.13945
2023-01-30,16.41156
2023-01-31,17.43197
2023-02-01,16.83673
2023-02-02,21.93877
2023-02-03,21.5136
2023-02-04,13.18027
2023-02-05,10.03401
2023-02-06,17.0068
2023-02-07,18.28231
2023-02-08,21.08843
2023-02-09,16.66666
2023-02-10,15.39115
2023-02-11,10.28911
2023-02-12,10.28911
2023-02-13,13.18027
2023-02-14,17.60204
2023-02-15,15.13605
2023-02-16,16.7517
2023-02-17,14.62585
2023-02-18,8.41836
2023-02-19,9.69387
2023-02-20,11.30952
2023-02-21,13.0102
2023-02-22,14.54081
2023-02-23,13.0102
2023-02-24,14.96598
2023-02-25,7.73809
2023-02-26,9.09863
2023-02-27,12.24489
2023-02-28,14.20068
2023-03-01,11.05442
2023-03-02,11.64965
2023-03-03,11.05442
2023-03-04,9.86394
2023-03-05,9.86394
2023-03-06,15.13605
2023-03-07,13.0102
2023-03-08,13.60544
2023-03-09,11.47959
2023-03-10,10.79931
2023-03-11,8.16326
2023-03-12,8.7585
2023-03-13,14.03061
2023-03-14,14.96598
2023-03-15,15.81632
2023-03-16,15.73129
2023-03-17,13.69047
2023-03-18,8.84353
2023-03-19,7.31292
2023-03-20,15.13605
2023-03-21,14.79591
2023-03-22,14.03061
2023-03-23,18.87755
2023-03-24,14.96598
2023-03-25,9.60884
2023-03-26,8.58843
2023-03-27,15.47619
2023-03-28,11.13945
2023-03-29,11.81972
2023-03-30,14.54081
2023-03-31,13.94557
2023-04-01,11.73469
2023-04-02,8.92857
2023-04-03,12.15986
2023-04-04,16.24149
2023-04-05,15.98639
2023-04-06,14.54081
2023-04-07,12.92517
2023-04-08,7.99319
2023-04-09,7.99319
2023-04-10,12.32993
2023-04-11,15.90136
2023-04-12,12.7551
2023-04-13,14.37074
2023-04-14,13.69047
2023-04-15,8.5034
2023-04-16,7.73809
2023-04-17,11.13945
2023-04-18,15.73129
2023-04-19,13.2653
2023-04-20,10.37414
2023-04-21,10.62925
2023-04-22,8.41836
2023-04-23,5.86734
2023-04-24,9.43877
2023-04-25,12.07482
2023-04-26,14.20068
2023-04-27,11.73469
2023-04-28,12.41496
2023-04-29,7.99319
2023-04-30,6.37755
2023-05-01,7.73809
2023-05-02,10.88435
2023-05-03,10.28911
2023-05-04,12.15986
2023-05-05,9.35374
2023-05-06,7.05782
2023-05-07,7.39795
2023-05-08,9.5238
2023-05-09,12.67006
2023-05-10,10.88435
2023-05-11,10.37414
2023-05-12,11.05442
2023-05-13,5.78231
2023-05-14,4.59183
2023-05-15,10.03401
2023-05-16,11.13945
2023-05-17,12.92517
2023-05-18,12.92517
2023-05-19,14.88095
2023-05-20,7.65306
2023-05-21,6.88775
2023-05-22,10.79931
2023-05-23,13.18027
2023-05-24,11.05442
2023-05-25,16.41156
2023-05-26,15.39115
2023-05-27,12.7551
