date,압류
2022-11-24,6.17183
2022-11-25,6.09026
2022-11-26,2.93637
2022-11-27,3.8336
2022-11-28,6.03588
2022-11-29,6.57966
2022-11-30,6.14464
2022-12-01,6.14464
2022-12-02,5.57368
2022-12-03,3.37139
2022-12-04,2.74605
2022-12-05,6.06307
2022-12-06,5.764
2022-12-07,7.17781
2022-12-08,7.36813
2022-12-09,6.30777
2022-12-10,5.30179
2022-12-11,3.99673
2022-12-12,6.4709
2022-12-13,6.68841
2022-12-14,6.41653
2022-12-15,6.57966
2022-12-16,5.73681
2022-12-17,3.18107
2022-12-18,3.56171
2022-12-19,5.05709
2022-12-20,5.38336
2022-12-21,6.06307
2022-12-22,5.54649
2022-12-23,4.43175
2022-12-24,3.23545
2022-12-25,2.82762
2022-12-26,4.86677
2022-12-27,5.70962
2022-12-28,6.25339
2022-12-29,6.17183
2022-12-30,5.38336
2022-12-31,3.28983
2023-01-01,3.20826
2023-01-02,6.09026
2023-01-03,6.85154
2023-01-04,6.03588
2023-01-05,6.09026
2023-01-06,6.06307
2023-01-07,3.80641
2023-01-08,3.01794
2023-01-09,5.0299
2023-01-10,7.69439
2023-01-11,6.41653
2023-01-12,6.49809
2023-01-13,9.81511
2023-01-14,4.35019
2023-01-15,3.53452
2023-01-16,6.09026
2023-01-17,6.52528
2023-01-18,6.0087
2023-01-19,6.06307
2023-01-20,5.30179
2023-01-21,2.33822
2023-01-22,2.03915
2023-01-23,3.42577
2023-01-24,2.93637
2023-01-25,5.68243
2023-01-26,6.4709
2023-01-27,5.95432
2023-01-28,3.37139
2023-01-29,3.53452
2023-01-30,6.44371
2023-01-31,6.60685
2023-02-01,7.50407
2023-02-02,6.93311
2023-02-03,6.36215
2023-02-04,3.86079
2023-02-05,3.5889
2023-02-06,9.02664
2023-02-07,10.22294
2023-02-08,16.15008
2023-02-09,63.18651
2023-02-10,100.0
2023-02-11,81.13104
2023-02-12,74.82327
2023-02-13,50.73409
2023-02-14,34.14899
2023-02-15,21.28874
2023-02-16,16.36759
2023-02-17,11.93583
2023-02-18,6.30777
2023-02-19,12.42523
2023-02-20,12.37085
2023-02-21,9.54323
2023-02-22,7.9119
2023-02-23,6.85154
2023-02-24,6.9603
2023-02-25,4.35019
2023-02-26,4.323
2023-02-27,7.09624
2023-02-28,6.7156
2023-03-01,3.39858
2023-03-02,6.0087
2023-03-03,6.14464
2023-03-04,4.86677
2023-03-05,3.15388
2023-03-06,5.89994
2023-03-07,6.52528
2023-03-08,6.11745
2023-03-09,5.79119
2023-03-10,5.41054
2023-03-11,3.48015
2023-03-12,3.31702
2023-03-13,5.84556
2023-03-14,6.25339
2023-03-15,7.31375
2023-03-16,6.36215
2023-03-17,7.25938
2023-03-18,3.45296
2023-03-19,5.68243
2023-03-20,6.49809
2023-03-21,6.98749
2023-03-22,6.98749
2023-03-23,6.63404
2023-03-24,6.55247
2023-03-25,2.90918
2023-03-26,3.80641
2023-03-27,8.12941
2023-03-28,8.07504
2023-03-29,7.15062
2023-03-30,7.06905
2023-03-31,6.14464
2023-04-01,4.54051
2023-04-02,3.23545
2023-04-03,6.09026
2023-04-04,6.03588
2023-04-05,7.42251
2023-04-06,7.04187
2023-04-07,6.06307
2023-04-08,3.42577
2023-04-09,4.24143
2023-04-10,6.52528
2023-04-11,7.15062
2023-04-12,7.205
2023-04-13,7.01468
2023-04-14,6.4709
2023-04-15,3.37139
2023-04-16,5.19303
2023-04-17,7.4497
2023-04-18,7.69439
2023-04-19,7.61283
2023-04-20,7.74877
2023-04-21,6.0087
2023-04-22,3.99673
2023-04-23,3.8336
2023-04-24,6.82436
2023-04-25,7.66721
2023-04-26,6.63404
2023-04-27,6.74279
2023-04-28,6.68841
2023-04-29,4.37737
2023-04-30,3.50734
2023-05-01,4.67645
2023-05-02,7.61283
2023-05-03,6.2262
2023-05-04,5.98151
2023-05-05,3.64328
2023-05-06,3.01794
2023-05-07,3.04513
2023-05-08,6.55247
2023-05-09,6.52528
2023-05-10,6.0087
2023-05-11,6.49809
2023-05-12,5.87275
2023-05-13,2.52854
2023-05-14,3.09951
2023-05-15,5.62805
2023-05-16,6.36215
2023-05-17,6.17183
2023-05-18,7.06905
2023-05-19,6.36215
2023-05-20,3.28983
2023-05-21,2.77324
2023-05-22,5.95432
2023-05-23,6.9603
2023-05-24,6.98749
2023-05-25,6.36215
2023-05-26,5.87275
2023-05-27,2.96356
2023-05-28,3.18107
2023-05-29,3.75203
