date,애플주가
2022-06-18,4.71658
2022-06-19,2.3601
2022-06-20,4.95065
2022-06-21,5.63971
2022-06-22,7.19757
2022-06-23,6.43833
2022-06-24,5.90773
2022-06-25,4.11852
2022-06-26,1.68009
2022-06-27,3.80025
2022-06-28,5.3065
2022-06-29,5.52924
2022-06-30,5.78821
2022-07-01,5.2911
2022-07-02,3.49601
2022-07-03,1.60901
2022-07-04,2.85268
2022-07-05,4.10041
2022-07-06,5.42511
2022-07-07,5.07515
2022-07-08,4.86644
2022-07-09,3.11979
2022-07-10,1.26765
2022-07-11,3.01883
2022-07-12,4.89315
2022-07-13,5.06066
2022-07-14,4.83927
2022-07-15,5.00452
2022-07-16,3.27508
2022-07-17,1.35775
2022-07-18,3.55894
2022-07-19,6.62305
2022-07-20,6.55016
2022-07-21,6.08927
2022-07-22,6.12323
2022-07-23,3.4616
2022-07-24,1.35639
2022-07-25,3.20536
2022-07-26,4.81211
2022-07-27,4.90673
2022-07-28,6.41886
2022-07-29,7.53667
2022-07-30,4.47754
2022-07-31,1.54518
2022-08-01,3.9741
2022-08-02,5.71305
2022-08-03,5.79002
2022-08-04,6.9626
2022-08-05,5.65284
2022-08-06,3.32171
2022-08-07,1.28802
2022-08-08,3.80387
2022-08-09,5.46495
2022-08-10,5.64424
2022-08-11,6.61128
2022-08-12,5.66461
2022-08-13,4.48433
2022-08-14,1.76657
2022-08-15,3.09489
2022-08-16,6.50172
2022-08-17,6.80233
2022-08-18,6.74393
2022-08-19,5.79319
2022-08-20,3.43172
2022-08-21,1.4415
2022-08-22,3.77218
2022-08-23,5.862
2022-08-24,5.59489
2022-08-25,5.59353
2022-08-26,5.32868
2022-08-27,4.69847
2022-08-28,1.69322
2022-08-29,4.26838
2022-08-30,5.94712
2022-08-31,5.44096
2022-09-01,5.39342
2022-09-02,5.13129
2022-09-03,3.31401
2022-09-04,1.4166
2022-09-05,2.83547
2022-09-06,3.84643
2022-09-07,5.58402
2022-09-08,5.7547
2022-09-09,3.79436
2022-09-10,3.04011
2022-09-11,1.76068
2022-09-12,2.97808
2022-09-13,8.01385
2022-09-14,9.17738
2022-09-15,6.60856
2022-09-16,5.93399
2022-09-17,3.61372
2022-09-18,1.62033
2022-09-19,3.74003
2022-09-20,5.54373
2022-09-21,5.98333
2022-09-22,6.39396
2022-09-23,5.41289
2022-09-24,3.38917
2022-09-25,1.47863
2022-09-26,5.03078
2022-09-27,6.05804
2022-09-28,8.57388
2022-09-29,7.96178
2022-09-30,9.43408
2022-10-01,4.93842
2022-10-02,1.93996
2022-10-03,4.83611
2022-10-04,8.61055
2022-10-05,6.67557
2022-10-06,5.87513
2022-10-07,5.68
2022-10-08,4.24302
2022-10-09,2.04273
2022-10-10,3.46885
2022-10-11,6.62531
2022-10-12,5.84118
2022-10-13,5.99511
2022-10-14,5.9856
2022-10-15,4.1475
2022-10-16,1.82316
2022-10-17,4.18009
2022-10-18,6.0191
2022-10-19,5.65103
2022-10-20,5.22953
2022-10-21,4.58665
2022-10-22,3.24384
2022-10-23,1.23822
2022-10-24,3.12432
2022-10-25,5.19648
2022-10-26,5.82895
2022-10-27,6.34779
2022-10-28,8.33801
2022-10-29,6.92185
2022-10-30,1.73985
2022-10-31,4.54319
2022-11-01,6.14949
2022-11-02,5.38301
2022-11-03,6.39034
2022-11-04,6.60268
2022-11-05,4.34081
2022-11-06,1.42566
2022-11-07,3.87314
2022-11-08,6.26403
2022-11-09,5.90275
2022-11-10,6.88609
2022-11-11,9.51104
2022-11-12,4.93027
2022-11-13,1.54608
2022-11-14,3.65628
2022-11-15,5.85883
2022-11-16,5.81356
2022-11-17,4.86372
2022-11-18,4.73696
2022-11-19,2.99257
2022-11-20,1.10784
2022-11-21,2.5756
2022-11-22,4.53549
2022-11-23,4.35349
2022-11-24,4.10584
2022-11-25,3.14876
2022-11-26,2.40945
2022-11-27,1.03585
2022-11-28,2.30306
2022-11-29,4.30686
2022-11-30,4.25796
2022-12-01,5.22681
2022-12-02,3.99447
2022-12-03,2.34878
2022-12-04,0.94259
2022-12-05,2.21749
2022-12-06,3.88355
2022-12-07,4.16334
2022-12-08,4.29328
2022-12-09,4.03839
2022-12-10,2.63129
2022-12-11,1.10286
2022-12-12,2.18444
2022-12-13,4.78268
2022-12-14,4.93299
2022-12-15,4.4789
2022-12-16,5.08013
2022-12-17,3.39098
2022-12-18,1.7068
2022-12-19,2.99936
2022-12-20,5.50977
2022-12-21,5.73478
2022-12-22,5.40927
2022-12-23,5.96432
2022-12-24,3.48288
2022-12-25,1.55469
2022-12-26,2.58556
2022-12-27,3.72102
2022-12-28,6.89197
2022-12-29,7.46106
2022-12-30,5.16705
2022-12-31,3.2796
2023-01-01,1.59815
2023-01-02,2.6494
2023-01-03,4.17783
2023-01-04,11.65836
2023-01-05,7.17086
2023-01-06,6.49447
2023-01-07,4.68127
2023-01-08,1.77698
2023-01-09,3.77625
2023-01-10,6.05532
2023-01-11,5.67004
2023-01-12,5.69313
2023-01-13,5.53558
2023-01-14,3.93697
2023-01-15,1.51258
2023-01-16,2.61182
2023-01-17,3.96685
2023-01-18,5.35901
2023-01-19,4.8515
2023-01-20,4.25887
2023-01-21,3.45164
2023-01-22,1.48361
2023-01-23,2.13871
2023-01-24,5.16162
2023-01-25,5.65374
2023-01-26,6.10195
2023-01-27,6.23913
2023-01-28,4.61562
2023-01-29,1.58955
2023-01-30,3.49827
2023-01-31,5.54509
2023-02-01,5.49755
2023-02-02,6.94947
2023-02-03,10.60123
2023-02-04,6.13183
2023-02-05,1.7883
2023-02-06,3.8908
2023-02-07,5.74384
2023-02-08,6.35412
2023-02-09,6.00461
2023-02-10,5.78956
2023-02-11,3.60738
2023-02-12,1.37676
2023-02-13,3.04916
2023-02-14,5.78866
2023-02-15,5.83393
2023-02-16,6.05577
2023-02-17,5.36626
2023-02-18,3.29681
2023-02-19,1.20472
2023-02-20,2.23696
2023-02-21,3.58294
2023-02-22,4.87278
2023-02-23,4.84471
2023-02-24,4.62196
2023-02-25,2.634
2023-02-26,1.03132
2023-02-27,2.36689
2023-02-28,4.06419
2023-03-01,3.45255
2023-03-02,3.84552
2023-03-03,3.88355
2023-03-04,3.12749
2023-03-05,1.18027
2023-03-06,2.7078
2023-03-07,5.08058
2023-03-08,4.41551
2023-03-09,4.17919
2023-03-10,4.08502
2023-03-11,2.76892
2023-03-12,1.16035
2023-03-13,3.0976
2023-03-14,5.02897
2023-03-15,4.62241
2023-03-16,4.33493
2023-03-17,4.6781
2023-03-18,2.72998
2023-03-19,1.06437
2023-03-20,2.70689
2023-03-21,4.83203
2023-03-22,4.97283
2023-03-23,5.40474
2023-03-24,4.88726
2023-03-25,2.96269
2023-03-26,1.08746
2023-03-27,2.77616
2023-03-28,4.25344
2023-03-29,3.97908
2023-03-30,4.62106
2023-03-31,4.29373
2023-04-01,3.02245
2023-04-02,1.12368
2023-04-03,3.14741
2023-04-04,5.04889
2023-04-05,4.48433
2023-04-06,4.26204
2023-04-07,4.17285
2023-04-08,1.80278
2023-04-09,1.01005
2023-04-10,2.75217
2023-04-11,4.60431
2023-04-12,4.34896
2023-04-13,4.06691
2023-04-14,4.6206
2023-04-15,2.43344
2023-04-16,0.96341
2023-04-17,2.39813
2023-04-18,4.2136
2023-04-19,4.34715
2023-04-20,4.37205
2023-04-21,4.05197
2023-04-22,2.35512
2023-04-23,0.94123
2023-04-24,2.16542
2023-04-25,3.81157
2023-04-26,4.27019
2023-04-27,4.1063
2023-04-28,4.38337
2023-04-29,2.64306
2023-04-30,0.93172
2023-05-01,1.89107
2023-05-02,3.8256
2023-05-03,4.0402
2023-05-04,4.55315
2023-05-05,5.61934
2023-05-06,4.96015
2023-05-07,1.66379
2023-05-08,3.58203
2023-05-09,4.62332
2023-05-10,4.23895
2023-05-11,4.64777
2023-05-12,4.10177
2023-05-13,2.38047
2023-05-14,0.99284
2023-05-15,2.2863
2023-05-16,3.89804
2023-05-17,4.06555
2023-05-18,4.52915
2023-05-19,5.22183
2023-05-20,2.73859
2023-05-21,1.16307
2023-05-22,2.92285
2023-05-23,4.28467
2023-05-24,3.97048
2023-05-25,4.83067
2023-05-26,5.09869
2023-05-27,3.35068
2023-05-28,1.21423
