date,삼부토건주가
2022-04-28,13.37983
2022-04-29,18.10549
2022-04-30,3.10851
2022-05-01,2.45838
2022-05-02,15.77451
2022-05-03,13.4566
2022-05-04,29.47287
2022-05-05,4.67991
2022-05-06,21.90496
2022-05-07,2.6054
2022-05-08,2.19866
2022-05-09,16.93428
2022-05-10,15.64873
2022-05-11,14.38115
2022-05-12,14.90713
2022-05-13,14.65884
2022-05-14,1.85236
2022-05-15,1.46523
2022-05-16,13.31122
2022-05-17,12.54512
2022-05-18,12.15472
2022-05-19,11.06845
2022-05-20,12.19392
2022-05-21,1.70208
2022-05-22,1.35742
2022-05-23,10.85283
2022-05-24,10.139
2022-05-25,10.39873
2022-05-26,11.48989
2022-05-27,10.34482
2022-05-28,1.39172
2022-05-29,1.12546
2022-05-30,11.52746
2022-05-31,10.90347
2022-06-01,1.79682
2022-06-02,10.02139
2022-06-03,9.13278
2022-06-04,1.16957
2022-06-05,0.89024
2022-06-06,1.21857
2022-06-07,8.30787
2022-06-08,7.96648
2022-06-09,8.00568
2022-06-10,7.19874
2022-06-11,0.89024
2022-06-12,0.81673
2022-06-13,8.53003
2022-06-14,9.30593
2022-06-15,8.35688
2022-06-16,9.08051
2022-06-17,8.42548
2022-06-18,1.09443
2022-06-19,0.92291
2022-06-20,7.99425
2022-06-21,7.73616
2022-06-22,7.71819
2022-06-23,33.86203
2022-06-24,28.41601
2022-06-25,2.625
2022-06-26,2.14475
2022-06-27,16.14368
2022-06-28,18.79645
2022-06-29,17.31651
2022-06-30,20.17184
2022-07-01,31.59149
2022-07-02,3.24572
2022-07-03,3.06604
2022-07-04,21.88209
2022-07-05,17.09926
2022-07-06,15.20769
2022-07-07,13.7588
2022-07-08,13.17238
2022-07-09,1.5665
2022-07-10,1.22674
2022-07-11,14.06752
2022-07-12,11.9293
2022-07-13,11.1926
2022-07-14,11.09296
2022-07-15,10.39056
2022-07-16,1.30841
2022-07-17,1.08953
2022-07-18,11.72021
2022-07-19,10.49837
2022-07-20,10.15044
2022-07-21,9.67346
2022-07-22,10.20598
2022-07-23,1.18263
2022-07-24,1.00622
2022-07-25,9.10664
2022-07-26,8.89103
2022-07-27,9.22589
2022-07-28,9.3631
2022-07-29,8.44835
2022-07-30,0.97355
2022-07-31,0.80367
2022-08-01,8.38955
2022-08-02,9.05601
2022-08-03,8.57576
2022-08-04,9.3092
2022-08-05,9.43824
2022-08-06,0.99805
2022-08-07,0.88371
2022-08-08,8.56923
2022-08-09,8.14779
2022-08-10,12.51735
2022-08-11,12.61046
2022-08-12,14.57063
2022-08-13,1.70861
2022-08-14,1.19244
2022-08-15,1.66614
2022-08-16,11.60914
2022-08-17,9.41537
2022-08-18,8.81099
2022-08-19,7.54994
2022-08-20,0.8102
2022-08-21,0.63052
2022-08-22,7.60548
2022-08-23,7.4944
2022-08-24,8.09552
2022-08-25,8.08082
2022-08-26,8.28174
