date,실손보험
2023-01-16,8.66819
2023-01-17,8.9141
2023-01-18,8.20432
2023-01-19,8.23226
2023-01-20,7.80752
2023-01-21,3.95126
2023-01-22,4.35365
2023-01-23,3.80036
2023-01-24,4.7784
2023-01-25,10.10451
2023-01-26,10.23305
2023-01-27,8.27139
2023-01-28,5.02989
2023-01-29,4.35924
2023-01-30,8.6123
2023-01-31,8.35522
2023-02-01,7.64544
2023-02-02,8.14284
2023-02-03,6.08617
2023-02-04,4.281
2023-02-05,3.99038
2023-02-06,8.85262
2023-02-07,7.84664
2023-02-08,7.65662
2023-02-09,7.77398
2023-02-10,7.366
2023-02-11,4.26982
2023-02-12,3.683
2023-02-13,8.32169
2023-02-14,7.41071
2023-02-15,7.9137
2023-02-16,7.45542
2023-02-17,6.37679
2023-02-18,3.82272
2023-02-19,3.10736
2023-02-20,7.44425
2023-02-21,8.67937
2023-02-22,7.08098
2023-02-23,7.43866
2023-02-24,6.42709
2023-02-25,3.94008
2023-02-26,3.36444
2023-02-27,7.27658
2023-02-28,6.28178
2023-03-01,4.31453
2023-03-02,6.64505
2023-03-03,6.10294
2023-03-04,3.8339
2023-03-05,3.41474
2023-03-06,6.84625
2023-03-07,6.9692
2023-03-08,6.5221
2023-03-09,6.74006
2023-03-10,5.84586
2023-03-11,3.15765
2023-03-12,3.18001
2023-03-13,7.67898
2023-03-14,6.89655
2023-03-15,7.09215
2023-03-16,7.19834
2023-03-17,6.90214
2023-03-18,3.57681
2023-03-19,3.64388
2023-03-20,7.39954
2023-03-21,8.87497
2023-03-22,7.43866
2023-03-23,7.52808
2023-03-24,6.768
2023-03-25,3.96244
2023-03-26,3.20795
2023-03-27,7.63985
2023-03-28,7.18157
2023-03-29,6.92449
2023-03-30,6.79036
2023-03-31,5.91851
2023-04-01,3.07941
2023-04-02,2.76085
2023-04-03,6.49974
2023-04-04,6.28178
2023-04-05,6.4718
2023-04-06,6.51651
2023-04-07,6.03587
2023-04-08,3.36444
2023-04-09,2.86704
2023-04-10,6.49415
2023-04-11,7.42189
2023-04-12,7.14804
2023-04-13,6.57799
2023-04-14,6.32649
2023-04-15,3.59358
2023-04-16,3.12412
2023-04-17,6.72888
2023-04-18,8.39993
2023-04-19,7.65662
2023-04-20,6.74565
2023-04-21,7.03068
2023-04-22,3.47063
2023-04-23,3.02911
2023-04-24,6.55004
2023-04-25,6.73447
2023-04-26,7.06421
2023-04-27,5.9241
2023-04-28,5.46582
2023-04-29,3.15765
2023-04-30,2.5373
2023-05-01,4.3816
2023-05-02,6.34885
2023-05-03,5.6726
2023-05-04,5.62789
2023-05-05,3.16324
2023-05-06,3.39238
2023-05-07,2.83351
2023-05-08,7.0698
2023-05-09,7.15363
2023-05-10,7.53367
2023-05-11,6.6227
2023-05-12,6.34326
2023-05-13,3.47063
2023-05-14,3.25266
2023-05-15,7.36042
2023-05-16,9.07617
2023-05-17,10.65779
2023-05-18,9.18236
2023-05-19,7.0698
2023-05-20,4.53249
2023-05-21,3.69418
2023-05-22,8.34963
2023-05-23,8.64583
2023-05-24,8.64583
2023-05-25,7.7181
2023-05-26,6.6227
2023-05-27,2.97881
