date,보험조회
2022-06-16,31.01482
2022-06-17,31.35689
2022-06-18,17.90193
2022-06-19,16.98973
2022-06-20,34.66362
2022-06-21,33.75142
2022-06-22,31.81299
2022-06-23,31.35689
2022-06-24,30.10262
2022-06-25,13.91106
2022-06-26,15.16533
2022-06-27,35.68985
2022-06-28,38.76852
2022-06-29,36.374
2022-06-30,33.86545
2022-07-01,27.70809
2022-07-02,13.11288
2022-07-03,14.82326
2022-07-04,36.48802
2022-07-05,35.68985
2022-07-06,29.98859
2022-07-07,30.33067
2022-07-08,26.90992
2022-07-09,16.19156
2022-07-10,17.21778
2022-07-11,32.95324
2022-07-12,35.68985
2022-07-13,30.33067
2022-07-14,30.90079
2022-07-15,24.97149
2022-07-16,17.67388
2022-07-17,12.99885
2022-07-18,38.42645
2022-07-19,34.66362
2022-07-20,33.06727
2022-07-21,32.04104
2022-07-22,25.76966
2022-07-23,16.53363
2022-07-24,14.25313
2022-07-25,35.9179
2022-07-26,35.23375
2022-07-27,35.34777
2022-07-28,34.5496
2022-07-29,25.88369
2022-07-30,16.41961
2022-07-31,16.76168
2022-08-01,31.92702
2022-08-02,32.49714
2022-08-03,30.78677
2022-08-04,34.66362
2022-08-05,27.82212
2022-08-06,16.98973
2022-08-07,16.07753
2022-08-08,31.24287
2022-08-09,34.89167
2022-08-10,37.51425
2022-08-11,35.57582
2022-08-12,27.82212
2022-08-13,17.44583
2022-08-14,15.84948
2022-08-15,18.70011
2022-08-16,41.61915
2022-08-17,39.33865
2022-08-18,41.8472
2022-08-19,32.38312
2022-08-20,22.12086
2022-08-21,16.76168
2022-08-22,50.62713
2022-08-23,46.86431
2022-08-24,41.3911
2022-08-25,42.64538
2022-08-26,39.45267
2022-08-27,17.90193
2022-08-28,19.95438
2022-08-29,44.81185
2022-08-30,42.87343
2022-08-31,40.25085
2022-09-01,39.1106
2022-09-02,40.0228
2022-09-03,22.12086
2022-09-04,16.64766
2022-09-05,40.36488
2022-09-06,40.25085
2022-09-07,34.32155
2022-09-08,29.07639
2022-09-09,16.19156
2022-09-10,19.49828
2022-09-11,14.13911
2022-09-12,23.14709
2022-09-13,44.24173
2022-09-14,35.80387
2022-09-15,40.4789
2022-09-16,34.66362
2022-09-17,19.95438
2022-09-18,14.36716
2022-09-19,39.45267
2022-09-20,44.1277
2022-09-21,33.52337
2022-09-22,37.97035
2022-09-23,33.40935
2022-09-24,19.84036
2022-09-25,19.61231
2022-09-26,39.1106
2022-09-27,35.80387
2022-09-28,34.5496
2022-09-29,36.71607
2022-09-30,35.34777
2022-10-01,27.25199
2022-10-02,22.00684
2022-10-03,25.19954
2022-10-04,53.93386
2022-10-05,52.10946
2022-10-06,50.51311
2022-10-07,46.52223
2022-10-08,26.22576
2022-10-09,24.97149
2022-10-10,32.49714
2022-10-11,60.77537
2022-10-12,54.27594
2022-10-13,49.71493
2022-10-14,50.05701
2022-10-15,36.71607
2022-10-16,29.41847
2022-10-17,59.74914
2022-10-18,56.21436
2022-10-19,48.91676
2022-10-20,53.93386
2022-10-21,53.02166
2022-10-22,31.24287
2022-10-23,28.50627
2022-10-24,60.77537
2022-10-25,62.48574
2022-10-26,60.54732
2022-10-27,52.67958
2022-10-28,51.65336
2022-10-29,34.43557
2022-10-30,26.79589
2022-10-31,56.89851
2022-11-01,54.04789
2022-11-02,51.42531
2022-11-03,53.13568
2022-11-04,52.90763
2022-11-05,27.70809
2022-11-06,24.51539
2022-11-07,59.29304
2022-11-08,57.24059
2022-11-09,49.94298
2022-11-10,56.78449
2022-11-11,48.11858
2022-11-12,23.60319
2022-11-13,26.56784
2022-11-14,57.01254
2022-11-15,67.7309
2022-11-16,54.73204
2022-11-17,55.75826
2022-11-18,46.18015
2022-11-19,29.98859
2022-11-20,35.9179
2022-11-21,63.28392
2022-11-22,60.31927
2022-11-23,57.69669
2022-11-24,49.60091
2022-11-25,48.11858
2022-11-26,31.92702
2022-11-27,29.07639
2022-11-28,59.06499
2022-11-29,51.42531
2022-11-30,52.79361
2022-12-01,52.10946
2022-12-02,46.75028
2022-12-03,28.62029
2022-12-04,28.05017
2022-12-05,59.17901
2022-12-06,55.98631
2022-12-07,51.76738
2022-12-08,53.81984
2022-12-09,55.75826
2022-12-10,29.76054
2022-12-11,29.53249
2022-12-12,64.08209
2022-12-13,58.72291
2022-12-14,64.99429
2022-12-15,61.80159
2022-12-16,53.81984
2022-12-17,28.84834
2022-12-18,32.15507
2022-12-19,57.35461
2022-12-20,65.79247
2022-12-21,57.81071
2022-12-22,58.95096
2022-12-23,54.38996
2022-12-24,26.68187
2022-12-25,30.21664
2022-12-26,72.97605
2022-12-27,65.67844
2022-12-28,68.98517
2022-12-29,67.95895
2022-12-30,56.78449
2022-12-31,31.69897
2023-01-01,33.52337
2023-01-02,72.748
2023-01-03,64.19612
2023-01-04,64.65222
2023-01-05,66.36259
2023-01-06,59.97719
2023-01-07,37.85632
2023-01-08,31.92702
2023-01-09,64.88027
2023-01-10,66.93272
2023-01-11,70.4675
2023-01-12,67.04675
2023-01-13,58.60889
2023-01-14,36.60205
2023-01-15,36.71607
2023-01-16,73.6602
2023-01-17,69.0992
2023-01-18,62.25769
2023-01-19,60.77537
2023-01-20,51.42531
2023-01-21,39.1106
2023-01-22,40.59293
2023-01-23,36.94412
2023-01-24,43.78563
2023-01-25,100.0
2023-01-26,87.00114
2023-01-27,72.40592
2023-01-28,38.54047
2023-01-29,36.94412
2023-01-30,72.97605
2023-01-31,76.51083
2023-02-01,69.78335
2023-02-02,56.32839
2023-02-03,56.89851
2023-02-04,35.34777
2023-02-05,36.48802
