date,종합부동산세계산기
2022-02-13,1.86503
2022-02-14,1.98773
2022-02-15,2.66257
2022-02-16,2.09815
2022-02-17,2.63803
2022-02-18,2.29447
2022-02-19,1.69325
2022-02-20,1.6319
2022-02-21,3.32515
2022-02-22,4.51533
2022-02-23,2.85889
2022-02-24,2.09815
2022-02-25,2.04907
2022-02-26,2.02453
2022-02-27,1.8773
2022-02-28,2.07361
2022-03-01,2.56441
2022-03-02,2.46625
2022-03-03,2.36809
2022-03-04,1.80368
2022-03-05,1.74233
2022-03-06,1.55828
2022-03-07,1.93865
2022-03-08,1.92638
2022-03-09,1.43558
2022-03-10,3.06748
2022-03-11,1.96319
2022-03-12,2.08588
2022-03-13,2.1595
2022-03-14,2.11042
2022-03-15,2.20858
2022-03-16,2.62576
2022-03-17,1.97546
2022-03-18,1.85276
2022-03-19,1.81595
2022-03-20,1.32515
2022-03-21,1.92638
2022-03-22,2.26993
2022-03-23,7.15337
2022-03-24,32.2822
2022-03-25,9.64417
2022-03-26,5.10429
2022-03-27,3.30061
2022-03-28,4.80981
2022-03-29,3.59509
2022-03-30,2.83435
2022-03-31,3.8773
2022-04-01,3.17791
2022-04-02,1.80368
2022-04-03,1.80368
2022-04-04,3.73006
2022-04-05,3.10429
2022-04-06,2.58895
2022-04-07,2.84662
2022-04-08,2.42944
2022-04-09,1.47239
2022-04-10,1.65644
2022-04-11,3.32515
2022-04-12,3.06748
2022-04-13,3.10429
2022-04-14,2.99386
2022-04-15,2.49079
2022-04-16,1.81595
2022-04-17,1.58282
2022-04-18,3.15337
2022-04-19,2.76073
2022-04-20,2.36809
2022-04-21,2.5276
2022-04-22,2.31901
2022-04-23,1.70552
2022-04-24,1.71779
2022-04-25,2.38036
2022-04-26,2.51533
2022-04-27,2.35582
2022-04-28,2.6503
2022-04-29,3.68098
2022-04-30,2.33128
2022-05-01,2.0
2022-05-02,3.03067
2022-05-03,3.06748
2022-05-04,3.04294
2022-05-05,1.57055
2022-05-06,2.44171
2022-05-07,1.55828
2022-05-08,1.73006
2022-05-09,3.43558
2022-05-10,2.96932
2022-05-11,3.97546
2022-05-12,3.09202
2022-05-13,3.10429
2022-05-14,2.04907
2022-05-15,2.07361
2022-05-16,3.65644
2022-05-17,3.65644
2022-05-18,3.17791
2022-05-19,2.79754
2022-05-20,2.66257
2022-05-21,1.86503
2022-05-22,1.96319
2022-05-23,4.26993
2022-05-24,3.91411
2022-05-25,3.43558
2022-05-26,3.09202
2022-05-27,2.47852
2022-05-28,2.13496
2022-05-29,2.29447
2022-05-30,3.68098
2022-05-31,2.73619
2022-06-01,2.1595
2022-06-02,2.18404
2022-06-03,2.20858
2022-06-04,1.20245
2022-06-05,1.71779
2022-06-06,2.49079
2022-06-07,3.27607
2022-06-08,2.13496
2022-06-09,2.08588
2022-06-10,1.68098
2022-06-11,1.30061
2022-06-12,1.5092
2022-06-13,2.1595
2022-06-14,2.11042
2022-06-15,2.01226
2022-06-16,5.6319
2022-06-17,4.78527
