date,상속세세율
2022-02-09,4.58086
2022-02-10,4.81262
2022-02-11,4.41814
2022-02-12,4.31459
2022-02-13,4.39842
2022-02-14,5.57692
2022-02-15,5.55226
2022-02-16,5.14792
2022-02-17,4.59072
2022-02-18,4.0138
2022-02-19,4.37376
2022-02-20,3.97435
2022-02-21,4.72386
2022-02-22,5.14792
2022-02-23,4.54142
2022-02-24,4.50197
2022-02-25,4.30966
2022-02-26,4.39349
2022-02-27,4.93589
2022-02-28,4.19625
2022-03-01,3.68836
2022-03-02,5.93195
2022-03-03,4.83727
2022-03-04,4.61045
2022-03-05,4.02366
2022-03-06,3.61932
2022-03-07,4.49704
2022-03-08,3.90532
2022-03-09,3.42702
2022-03-10,4.60552
2022-03-11,4.13214
2022-03-12,3.8067
2022-03-13,4.06311
2022-03-14,5.02958
2022-03-15,4.81262
2022-03-16,5.46351
2022-03-17,4.70414
2022-03-18,4.62524
2022-03-19,4.61045
2022-03-20,4.24556
2022-03-21,4.80276
2022-03-22,5.0493
2022-03-23,5.63609
2022-03-24,6.15877
2022-03-25,5.27613
2022-03-26,4.63017
2022-03-27,4.75838
2022-03-28,4.98027
2022-03-29,5.07889
2022-03-30,5.13806
2022-03-31,5.48816
2022-04-01,5.03944
2022-04-02,4.571
2022-04-03,4.32445
2022-04-04,5.2712
2022-04-05,5.22189
2022-04-06,5.16272
2022-04-07,4.93096
2022-04-08,5.02958
2022-04-09,4.47238
2022-04-10,4.06311
2022-04-11,5.48323
2022-04-12,4.9211
2022-04-13,4.91617
2022-04-14,5.0493
2022-04-15,4.26528
2022-04-16,4.43293
2022-04-17,4.43786
2022-04-18,5.68047
2022-04-19,5.38461
2022-04-20,5.38461
2022-04-21,4.74852
2022-04-22,4.2357
2022-04-23,4.48717
2022-04-24,4.68934
2022-04-25,4.99013
2022-04-26,5.23175
2022-04-27,4.68934
2022-04-28,5.15285
2022-04-29,4.39349
2022-04-30,4.50197
2022-05-01,4.12721
2022-05-02,4.97534
2022-05-03,5.04437
2022-05-04,4.71893
2022-05-05,4.04339
2022-05-06,4.66469
2022-05-07,5.4142
2022-05-08,5.66568
2022-05-09,6.33629
2022-05-10,5.59664
2022-05-11,5.67554
2022-05-12,5.38461
2022-05-13,4.80769
2022-05-14,4.51183
2022-05-15,4.13214
2022-05-16,5.75443
2022-05-17,5.92702
2022-05-18,5.17258
2022-05-19,4.87179
2022-05-20,4.61538
2022-05-21,3.97435
2022-05-22,4.10256
2022-05-23,4.58579
2022-05-24,4.69921
2022-05-25,4.66469
2022-05-26,4.48224
2022-05-27,4.39842
2022-05-28,3.77218
2022-05-29,3.60946
2022-05-30,4.87179
2022-05-31,4.59072
2022-06-01,3.76232
2022-06-02,4.08284
2022-06-03,3.92504
2022-06-04,3.89546
2022-06-05,3.99901
2022-06-06,4.15187
2022-06-07,4.53648
2022-06-08,5.35009
2022-06-09,4.78303
2022-06-10,5.23668
2022-06-11,4.56114
2022-06-12,4.13214
2022-06-13,4.60552
2022-06-14,4.91124
2022-06-15,4.56114
2022-06-16,5.17751
2022-06-17,5.17751
2022-06-18,4.1568
2022-06-19,5.01972
2022-06-20,5.18244
2022-06-21,5.30078
2022-06-22,4.68934
2022-06-23,4.06804
2022-06-24,3.95956
2022-06-25,3.69822
2022-06-26,3.6785
2022-06-27,4.76331
2022-06-28,4.32445
2022-06-29,4.285
2022-06-30,4.28007
2022-07-01,3.84122
2022-07-02,3.60453
2022-07-03,3.90039
2022-07-04,4.34418
2022-07-05,4.05818
2022-07-06,4.27021
2022-07-07,4.54635
