date,SPDRS&P500
2022-10-12,7.82918
2022-10-13,11.3879
2022-10-14,5.69395
2022-10-15,6.40569
2022-10-16,4.62633
2022-10-17,9.60854
2022-10-18,16.01423
2022-10-19,7.82918
2022-10-20,10.67615
2022-10-21,11.3879
2022-10-22,9.60854
2022-10-23,3.55871
2022-10-24,10.32028
2022-10-25,17.08185
2022-10-26,17.43772
2022-10-27,11.3879
2022-10-28,16.01423
2022-10-29,8.54092
2022-10-30,3.55871
2022-10-31,16.3701
2022-11-01,9.96441
2022-11-02,8.18505
2022-11-03,10.67615
2022-11-04,9.96441
2022-11-05,7.82918
2022-11-06,5.33807
2022-11-07,7.4733
2022-11-08,6.40569
2022-11-09,10.67615
2022-11-10,17.08185
2022-11-11,22.06405
2022-11-12,10.67615
2022-11-13,7.11743
2022-11-14,18.8612
2022-11-15,15.30249
2022-11-16,18.8612
2022-11-17,16.01423
2022-11-18,11.74377
2022-11-19,8.54092
2022-11-20,8.54092
2022-11-21,11.03202
2022-11-22,10.32028
2022-11-23,13.52313
2022-11-24,12.09964
2022-11-25,5.69395
2022-11-26,5.33807
2022-11-27,4.9822
2022-11-28,10.32028
2022-11-29,12.45551
2022-11-30,7.82918
2022-12-01,12.45551
2022-12-02,11.3879
2022-12-03,3.91459
2022-12-04,6.76156
2022-12-05,8.54092
2022-12-06,12.09964
2022-12-07,13.879
2022-12-08,16.01423
2022-12-09,17.79359
2022-12-10,6.04982
2022-12-11,7.82918
2022-12-12,12.45551
2022-12-13,18.50533
2022-12-14,18.14946
2022-12-15,12.81138
2022-12-16,11.74377
2022-12-17,7.82918
2022-12-18,4.62633
2022-12-19,11.74377
2022-12-20,18.14946
2022-12-21,19.92882
2022-12-22,17.08185
2022-12-23,21.70818
2022-12-24,7.82918
2022-12-25,6.40569
2022-12-26,12.45551
2022-12-27,11.3879
2022-12-28,16.01423
2022-12-29,16.01423
2022-12-30,9.96441
2022-12-31,8.18505
2023-01-01,5.33807
2023-01-02,10.32028
2023-01-03,20.64056
2023-01-04,15.65836
2023-01-05,12.81138
2023-01-06,14.94661
2023-01-07,13.879
2023-01-08,8.54092
2023-01-09,18.50533
2023-01-10,22.41992
2023-01-11,14.94661
2023-01-12,15.65836
2023-01-13,21.35231
2023-01-14,15.30249
2023-01-15,9.96441
2023-01-16,16.3701
2023-01-17,16.72597
2023-01-18,14.94661
2023-01-19,14.23487
2023-01-20,10.32028
2023-01-21,8.18505
2023-01-22,10.67615
2023-01-23,13.16725
2023-01-24,19.92882
2023-01-25,29.18149
2023-01-26,25.62277
2023-01-27,18.50533
2023-01-28,11.74377
2023-01-29,8.89679
2023-01-30,23.13167
2023-01-31,21.70818
2023-02-01,33.09608
2023-02-02,36.6548
2023-02-03,29.53736
2023-02-04,18.8612
2023-02-05,12.81138
2023-02-06,29.18149
2023-02-07,23.84341
2023-02-08,25.62277
2023-02-09,24.55516
2023-02-10,21.70818
2023-02-11,19.21708
2023-02-12,14.59074
2023-02-13,20.99644
2023-02-14,25.97864
2023-02-15,27.04626
2023-02-16,22.06405
2023-02-17,20.28469
2023-02-18,11.03202
2023-02-19,10.32028
2023-02-20,21.35231
2023-02-21,13.16725
2023-02-22,20.28469
2023-02-23,22.41992
2023-02-24,17.43772
2023-02-25,14.94661
2023-02-26,9.60854
2023-02-27,16.3701
2023-02-28,19.92882
2023-03-01,17.43772
2023-03-02,14.59074
2023-03-03,16.3701
2023-03-04,13.879
2023-03-05,10.67615
2023-03-06,23.48754
2023-03-07,16.01423
2023-03-08,16.01423
2023-03-09,19.57295
2023-03-10,25.97864
2023-03-11,15.65836
2023-03-12,11.74377
2023-03-13,24.19928
2023-03-14,26.33451
2023-03-15,23.48754
2023-03-16,20.28469
2023-03-17,17.43772
2023-03-18,13.879
2023-03-19,12.45551
2023-03-20,19.21708
2023-03-21,31.31672
2023-03-22,26.69039
2023-03-23,25.62277
2023-03-24,21.35231
2023-03-25,8.89679
2023-03-26,8.54092
2023-03-27,13.879
2023-03-28,19.21708
2023-03-29,20.64056
2023-03-30,20.99644
2023-03-31,15.30249
2023-04-01,11.74377
2023-04-02,5.33807
2023-04-03,19.21708
2023-04-04,23.48754
2023-04-05,24.19928
2023-04-06,24.19928
2023-04-07,18.8612
2023-04-08,5.69395
2023-04-09,5.69395
2023-04-10,18.50533
2023-04-11,20.64056
2023-04-12,20.28469
2023-04-13,17.79359
2023-04-14,20.64056
2023-04-15,8.54092
2023-04-16,8.89679
2023-04-17,17.08185
2023-04-18,26.33451
2023-04-19,18.50533
2023-04-20,17.08185
2023-04-21,19.21708
2023-04-22,9.96441
2023-04-23,6.40569
2023-04-24,18.14946
2023-04-25,16.72597
2023-04-26,13.879
2023-04-27,21.35231
2023-04-28,11.74377
2023-04-29,10.67615
2023-04-30,7.4733
2023-05-01,8.89679
2023-05-02,18.50533
2023-05-03,13.879
2023-05-04,14.23487
2023-05-05,16.3701
2023-05-06,12.45551
2023-05-07,7.4733
2023-05-08,17.43772
2023-05-09,17.79359
2023-05-10,16.72597
2023-05-11,21.70818
2023-05-12,14.94661
2023-05-13,12.45551
2023-05-14,6.04982
2023-05-15,14.59074
2023-05-16,17.79359
2023-05-17,11.03202
2023-05-18,23.13167
2023-05-19,21.70818
2023-05-20,7.82918
2023-05-21,6.04982
2023-05-22,11.03202
2023-05-23,19.21708
2023-05-24,16.01423
2023-05-25,24.55516
2023-05-26,24.91103
2023-05-27,15.65836
2023-05-28,9.25266
