date,베트남환율
2022-04-05,11.4111
2022-04-06,11.1946
2022-04-07,10.27445
2022-04-08,10.31265
2022-04-09,8.09666
2022-04-10,7.00458
2022-04-11,11.48751
2022-04-12,12.79291
2022-04-13,12.99668
2022-04-14,12.2421
2022-04-15,11.59577
2022-04-16,8.81304
2022-04-17,8.2272
2022-04-18,13.13996
2022-04-19,12.99032
2022-04-20,13.58571
2022-04-21,12.49681
2022-04-22,12.10201
2022-04-23,8.73344
2022-04-24,8.67294
2022-04-25,14.09195
2022-04-26,14.4963
2022-04-27,17.26948
2022-04-28,17.45733
2022-04-29,16.03094
2022-04-30,10.03565
2022-05-01,10.06431
2022-05-02,14.29572
2022-05-03,13.40104
2022-05-04,13.97096
2022-05-05,11.69447
2022-05-06,14.88474
2022-05-07,10.2235
2022-05-08,10.63423
2022-05-09,17.69294
2022-05-10,18.15461
2022-05-11,17.80756
2022-05-12,18.3138
2022-05-13,17.8585
2022-05-14,11.73904
2022-05-15,12.67829
2022-05-16,19.45045
2022-05-17,19.07475
2022-05-18,20.58711
2022-05-19,19.60965
2022-05-20,19.2435
2022-05-21,12.93301
2022-05-22,12.37264
2022-05-23,19.99808
2022-05-24,19.54597
2022-05-25,20.24961
2022-05-26,18.36474
2022-05-27,17.86805
2022-05-28,13.09538
2022-05-29,13.63028
2022-05-30,23.65639
2022-05-31,24.0098
2022-06-01,19.63512
2022-06-02,21.71102
2022-06-03,21.58048
2022-06-04,15.65843
2022-06-05,16.32705
2022-06-06,18.07501
2022-06-07,20.42154
2022-06-08,20.87366
2022-06-09,20.13818
2022-06-10,20.14454
2022-06-11,16.13283
2022-06-12,15.2095
2022-06-13,24.43963
2022-06-14,23.93976
2022-06-15,23.05781
2022-06-16,23.16288
2022-06-17,21.23025
2022-06-18,16.44485
2022-06-19,17.21535
2022-06-20,25.79279
2022-06-21,23.9111
2022-06-22,25.56991
2022-06-23,26.29903
2022-06-24,23.40168
2022-06-25,17.02432
2022-06-26,18.4316
2022-06-27,26.5219
2022-06-28,24.27725
2022-06-29,23.46535
2022-06-30,24.51923
2022-07-01,23.89836
2022-07-02,19.01426
2022-07-03,20.16683
2022-07-04,27.83048
2022-07-05,28.14887
2022-07-06,27.9451
2022-07-07,26.48369
2022-07-08,25.39798
2022-07-09,19.06202
2022-07-10,20.59666
2022-07-11,28.76655
2022-07-12,29.10404
2022-07-13,28.11704
2022-07-14,28.26986
2022-07-15,30.31711
2022-07-16,20.88958
2022-07-17,21.41174
2022-07-18,30.58456
2022-07-19,29.73127
2022-07-20,29.26006
2022-07-21,27.44842
2022-07-22,25.30247
2022-07-23,21.33214
2022-07-24,21.80017
2022-07-25,29.64531
2022-07-26,27.22873
2022-07-27,26.7798
2022-07-28,28.96395
2022-07-29,28.02152
2022-07-30,22.68211
2022-07-31,24.61156
2022-08-01,30.96344
2022-08-02,30.23115
2022-08-03,29.54661
2022-08-04,29.58163
2022-08-05,28.42587
2022-08-06,23.55132
2022-08-07,24.50331
2022-08-08,30.52725
2022-08-09,28.70924
2022-08-10,31.03986
2022-08-11,29.50203
2022-08-12,28.51821
2022-08-13,23.08965
2022-08-14,22.77445
2022-08-15,26.05068
2022-08-16,30.58774
2022-08-17,28.47682
2022-08-18,29.51158
2022-08-19,29.80132
2022-08-20,24.23904
2022-08-21,23.72007
2022-08-22,39.15562
2022-08-23,38.5666
2022-08-24,37.60188
2022-08-25,34.08685
2022-08-26,31.61614
2022-08-27,23.45899
2022-08-28,23.615
2022-08-29,35.63741
2022-08-30,32.16696
2022-08-31,31.1895
2022-09-01,31.06851
2022-09-02,30.72147
2022-09-03,23.30616
2022-09-04,23.84742
2022-09-05,40.74439
2022-09-06,35.99719
2022-09-07,41.22834
2022-09-08,34.26197
2022-09-09,28.49592
2022-09-10,24.06711
2022-09-11,24.3473
2022-09-12,31.37098
2022-09-13,39.22249
2022-09-14,45.18912
2022-09-15,41.12009
2022-09-16,38.07947
2022-09-17,27.28285
2022-09-18,27.77636
2022-09-19,39.24796
2022-09-20,36.89187
2022-09-21,35.74248
2022-09-22,47.54521
2022-09-23,41.21879
2022-09-24,32.43759
2022-09-25,31.93772
2022-09-26,54.40333
2022-09-27,47.06444
2022-09-28,48.99388
2022-09-29,43.08774
2022-09-30,42.78846
2022-10-01,33.23675
2022-10-02,32.06189
2022-10-03,40.42919
2022-10-04,47.3096
2022-10-05,45.80361
2022-10-06,53.1234
2022-10-07,45.18275
2022-10-08,32.24656
2022-10-09,30.93479
2022-10-10,38.27687
2022-10-11,44.72109
2022-10-12,42.24401
2022-10-13,39.73828
2022-10-14,40.55973
2022-10-15,36.69128
2022-10-16,41.16148
2022-10-17,45.89913
2022-10-18,49.89811
2022-10-19,51.43593
2022-10-20,45.68262
2022-10-21,42.86487
2022-10-22,35.47822
2022-10-23,32.62544
2022-10-24,48.01961
2022-10-25,46.02967
2022-10-26,50.55399
2022-10-27,50.11462
2022-10-28,41.30476
2022-10-29,30.15155
2022-10-30,26.50598
2022-10-31,40.81125
2022-11-01,43.32017
2022-11-02,41.27292
2022-11-03,41.25382
2022-11-04,39.66823
2022-11-05,34.18874
2022-11-06,32.69867
2022-11-07,53.96077
2022-11-08,62.93937
2022-11-09,67.43823
2022-11-10,58.48828
2022-11-11,100.0
2022-11-12,53.50866
2022-11-13,42.36181
2022-11-14,70.95644
2022-11-15,64.69689
2022-11-16,55.1611
