date,선물거래소
2023-06-27,17.83783
2023-06-28,11.89189
2023-06-29,19.45945
2023-06-30,19.45945
2023-07-01,11.89189
2023-07-02,6.48648
2023-07-03,16.21621
2023-07-04,16.21621
2023-07-05,12.97297
2023-07-06,13.51351
2023-07-07,16.75675
2023-07-08,10.27027
2023-07-09,8.64864
2023-07-10,18.91891
2023-07-11,14.05405
2023-07-12,15.13513
2023-07-13,15.13513
2023-07-14,20.54054
2023-07-15,5.4054
2023-07-16,9.72972
2023-07-17,24.86486
2023-07-18,22.16216
2023-07-19,20.54054
2023-07-20,16.21621
2023-07-21,17.83783
2023-07-22,17.29729
2023-07-23,10.81081
2023-07-24,21.62162
2023-07-25,18.91891
2023-07-26,22.7027
2023-07-27,25.94594
2023-07-28,25.4054
