date,집에서할수있는부업
2022-04-08,39.24646
2022-04-09,26.05965
2022-04-10,24.48979
2022-04-11,45.05494
2022-04-12,33.12401
2022-04-13,38.61852
2022-04-14,45.05494
2022-04-15,40.50235
2022-04-16,26.05965
2022-04-17,29.9843
2022-04-18,46.93877
2022-04-19,46.46781
2022-04-20,46.15384
2022-04-21,41.13029
2022-04-22,38.61852
2022-04-23,26.37362
2022-04-24,33.281
2022-04-25,53.06122
2022-04-26,41.91522
2022-04-27,45.36891
2022-04-28,43.95604
2022-04-29,30.76923
2022-04-30,27.78649
2022-05-01,25.58869
2022-05-02,41.91522
2022-05-03,38.46153
2022-05-04,33.75196
2022-05-05,27.15855
2022-05-06,31.71114
2022-05-07,26.21664
2022-05-08,30.45525
2022-05-09,47.56671
2022-05-10,50.54945
2022-05-11,41.75824
2022-05-12,37.83359
2022-05-13,34.69387
2022-05-14,24.33281
2022-05-15,34.22291
2022-05-16,49.45054
2022-05-17,49.13657
2022-05-18,50.86342
2022-05-19,37.83359
2022-05-20,37.20565
2022-05-21,26.21664
2022-05-22,28.41444
2022-05-23,45.36891
2022-05-24,44.11302
2022-05-25,50.86342
2022-05-26,45.36891
2022-05-27,38.46153
2022-05-28,31.55416
2022-05-29,32.33908
2022-05-30,49.9215
2022-05-31,49.45054
2022-06-01,32.65306
2022-06-02,44.74097
2022-06-03,38.77551
2022-06-04,24.96075
2022-06-05,32.49607
2022-06-06,35.94976
2022-06-07,45.36891
2022-06-08,44.58398
2022-06-09,41.60125
2022-06-10,32.65306
2022-06-11,34.22291
2022-06-12,29.51334
2022-06-13,55.72998
2022-06-14,49.76452
2022-06-15,51.64835
2022-06-16,47.88069
2022-06-17,40.65934
2022-06-18,26.84458
2022-06-19,35.63579
2022-06-20,45.21193
2022-06-21,46.93877
2022-06-22,49.29356
2022-06-23,41.60125
2022-06-24,35.4788
2022-06-25,22.135
2022-06-26,32.02511
2022-06-27,45.99686
2022-06-28,50.23547
2022-06-29,45.83987
2022-06-30,44.27001
2022-07-01,35.00784
2022-07-02,29.67032
2022-07-03,34.22291
2022-07-04,48.19466
2022-07-05,53.68916
2022-07-06,50.23547
2022-07-07,47.40973
2022-07-08,37.36263
2022-07-09,21.97802
2022-07-10,29.9843
2022-07-11,49.9215
2022-07-12,47.40973
2022-07-13,44.27001
2022-07-14,45.36891
2022-07-15,39.40345
2022-07-16,23.86185
2022-07-17,38.46153
2022-07-18,41.75824
2022-07-19,49.9215
2022-07-20,49.13657
2022-07-21,38.77551
2022-07-22,39.40345
2022-07-23,31.71114
2022-07-24,33.43799
2022-07-25,53.68916
2022-07-26,44.427
2022-07-27,46.46781
2022-07-28,39.71742
2022-07-29,35.00784
2022-07-30,30.61224
2022-07-31,32.1821
2022-08-01,42.54317
2022-08-02,53.37519
2022-08-03,46.93877
2022-08-04,42.70015
2022-08-05,41.91522
2022-08-06,37.83359
2022-08-07,31.24018
2022-08-08,43.64207
2022-08-09,35.63579
2022-08-10,39.56043
2022-08-11,34.69387
2022-08-12,34.22291
2022-08-13,24.01883
2022-08-14,28.57142
2022-08-15,30.29827
2022-08-16,42.22919
2022-08-17,40.03139
2022-08-18,44.27001
2022-08-19,35.63579
2022-08-20,35.16483
2022-08-21,35.94976
2022-08-22,41.60125
2022-08-23,40.81632
2022-08-24,47.56671
2022-08-25,38.30455
2022-08-26,30.76923
2022-08-27,22.91993
2022-08-28,28.72841
2022-08-29,38.30455
2022-08-30,42.54317
2022-08-31,37.36263
2022-09-01,35.32182
2022-09-02,25.74568
2022-09-03,23.54788
2022-09-04,28.41444
2022-09-05,29.82731
2022-09-06,26.21664
2022-09-07,23.39089
2022-09-08,25.43171
2022-09-09,16.48351
2022-09-10,15.22762
2022-09-11,20.72213
2022-09-12,31.24018
2022-09-13,39.40345
2022-09-14,45.5259
2022-09-15,36.42072
2022-09-16,35.63579
2022-09-17,31.24018
2022-09-18,30.76923
2022-09-19,54.47409
2022-09-20,45.21193
2022-09-21,47.40973
2022-09-22,39.87441
2022-09-23,41.44427
2022-09-24,32.49607
2022-09-25,33.90894
2022-09-26,54.00313
2022-09-27,45.68288
2022-09-28,46.6248
2022-09-29,47.09576
2022-09-30,44.27001
2022-10-01,32.02511
2022-10-02,29.51334
2022-10-03,55.72998
2022-10-04,59.9686
2022-10-05,53.53218
2022-10-06,47.09576
2022-10-07,43.79905
2022-10-08,33.281
