date,메타마스크지갑
2023-08-06,6.15034
2023-08-07,9.22551
2023-08-08,7.97266
2023-08-09,9.22551
2023-08-10,9.79498
2023-08-11,5.69476
2023-08-12,7.17539
2023-08-13,7.28929
2023-08-14,8.31435
2023-08-15,7.63097
2023-08-16,6.37813
2023-08-17,9.3394
2023-08-18,8.08656
2023-08-19,7.40318
2023-08-20,5.80865
2023-08-21,7.17539
2023-08-22,10.13667
2023-08-23,9.11161
2023-08-24,7.40318
2023-08-25,8.65603
2023-08-26,4.21412
2023-08-27,3.98633
2023-08-28,14.00911
2023-08-29,8.31435
2023-08-30,8.65603
2023-08-31,7.28929
2023-09-01,7.28929
2023-09-02,5.69476
2023-09-03,6.26423
2023-09-04,7.17539
2023-09-05,7.51708
2023-09-06,8.31435
2023-09-07,6.49202
2023-09-08,6.37813
2023-09-09,5.35307
2023-09-10,5.58086
2023-09-11,6.15034
2023-09-12,10.47835
2023-09-13,9.90888
2023-09-14,8.54214
2023-09-15,9.56719
2023-09-16,6.71981
2023-09-17,7.0615
2023-09-18,9.68109
2023-09-19,10.93394
2023-09-20,9.3394
2023-09-21,6.49202
2023-09-22,8.08656
2023-09-23,6.15034
2023-09-24,6.37813
2023-09-25,10.70615
2023-09-26,17.19817
2023-09-27,8.76993
2023-09-28,7.40318
2023-09-29,3.87243
2023-09-30,4.10022
2023-10-01,4.21412
2023-10-02,4.89749
2023-10-03,5.23917
2023-10-04,9.22551
2023-10-05,10.47835
2023-10-06,6.71981
2023-10-07,3.87243
2023-10-08,4.89749
2023-10-09,5.58086
2023-10-10,7.28929
2023-10-11,6.49202
2023-10-12,6.03644
2023-10-13,7.0615
2023-10-14,4.21412
2023-10-15,4.78359
2023-10-16,8.99772
2023-10-17,6.83371
2023-10-18,8.20045
2023-10-19,8.54214
2023-10-20,7.0615
2023-10-21,5.58086
2023-10-22,4.44191
2023-10-23,9.90888
2023-10-24,10.25056
2023-10-25,12.30068
2023-10-26,10.47835
2023-10-27,9.22551
2023-10-28,4.5558
2023-10-29,4.21412
2023-10-30,7.17539
2023-10-31,7.28929
2023-11-01,9.11161
2023-11-02,9.22551
2023-11-03,6.15034
2023-11-04,3.98633
2023-11-05,5.46697
2023-11-06,8.31435
2023-11-07,8.54214
2023-11-08,9.56719
2023-11-09,11.50341
2023-11-10,8.20045
2023-11-11,6.49202
2023-11-12,6.49202
2023-11-13,8.88382
2023-11-14,11.95899
2023-11-15,11.04783
2023-11-16,11.7312
2023-11-17,7.97266
2023-11-18,5.12528
2023-11-19,7.51708
2023-11-20,7.97266
2023-11-21,8.76993
2023-11-22,11.8451
2023-11-23,11.8451
2023-11-24,7.85876
2023-11-25,7.40318
2023-11-26,8.20045
2023-11-27,10.36446
2023-11-28,12.41457
2023-11-29,8.54214
2023-11-30,8.76993
2023-12-01,6.49202
2023-12-02,7.63097
2023-12-03,6.83371
2023-12-04,9.22551
2023-12-05,10.93394
2023-12-06,13.89521
2023-12-07,15.03416
2023-12-08,15.03416
2023-12-09,8.76993
2023-12-10,10.36446
2023-12-11,15.37585
2023-12-12,12.64236
2023-12-13,12.75626
2023-12-14,13.21184
2023-12-15,12.30068
2023-12-16,9.68109
2023-12-17,9.79498
2023-12-18,10.70615
2023-12-19,15.14806
2023-12-20,13.21184
2023-12-21,12.30068
2023-12-22,12.75626
2023-12-23,7.74487
2023-12-24,6.60592
2023-12-25,8.54214
2023-12-26,11.7312
2023-12-27,13.32574
2023-12-28,14.92027
2023-12-29,10.82004
2023-12-30,9.22551
2023-12-31,9.4533
2024-01-01,9.56719
2024-01-02,17.31207
2024-01-03,34.16856
2024-01-04,12.75626
2024-01-05,15.26195
2024-01-06,12.07289
2024-01-07,10.25056
2024-01-08,12.87015
2024-01-09,11.95899
2024-01-10,12.98405
2024-01-11,20.04555
2024-01-12,17.19817
2024-01-13,13.55353
2024-01-14,11.04783
2024-01-15,20.61503
2024-01-16,22.32346
2024-01-17,17.19817
2024-01-18,15.94533
2024-01-19,13.43963
2024-01-20,8.88382
2024-01-21,9.22551
2024-01-22,12.30068
2024-01-23,7.74487
2024-01-24,12.30068
2024-01-25,11.50341
2024-01-26,10.47835
2024-01-27,11.61731
2024-01-28,9.79498
2024-01-29,11.95899
2024-01-30,13.66742
2024-01-31,12.18678
2024-02-01,10.59225
2024-02-02,10.25056
2024-02-03,10.13667
2024-02-04,8.76993
2024-02-05,11.27562
2024-02-06,11.61731
2024-02-07,12.64236
2024-02-08,8.88382
2024-02-09,8.42824
2024-02-10,7.74487
2024-02-11,6.49202
2024-02-12,8.88382
2024-02-13,13.43963
2024-02-14,12.07289
2024-02-15,12.52847
2024-02-16,14.2369
2024-02-17,10.02277
2024-02-18,13.09794
2024-02-19,18.45102
2024-02-20,18.33712
2024-02-21,15.94533
2024-02-22,17.19817
2024-02-23,16.85649
2024-02-24,10.59225
2024-02-25,13.89521
2024-02-26,15.26195
2024-02-27,19.81776
2024-02-28,20.72892
2024-02-29,26.082
2024-03-01,17.19817
2024-03-02,17.42596
2024-03-03,21.75398
2024-03-04,28.81548
2024-03-05,42.02733
2024-03-06,29.15717
2024-03-07,32.91571
2024-03-08,30.06833
2024-03-09,26.53758
2024-03-10,26.42369
2024-03-11,47.26651
2024-03-12,60.93394
2024-03-13,43.28018
2024-03-14,42.7107
2024-03-15,31.89066
2024-03-16,30.06833
2024-03-17,22.32346
2024-03-18,30.52391
2024-03-19,29.84054
2024-03-20,28.58769
