date,NH투자증권고객센터
2022-12-15,8.15899
2022-12-16,15.27196
2022-12-17,1.04602
2022-12-19,10.87866
2022-12-20,13.38912
2022-12-21,7.74058
2022-12-22,7.11297
2022-12-23,11.50627
2022-12-26,14.22594
2022-12-27,10.87866
2022-12-28,11.08786
2022-12-29,8.99581
2022-12-30,12.13389
2023-01-02,9.83263
2023-01-03,11.50627
2023-01-04,11.71548
2023-01-05,9.62343
2023-01-06,10.66945
2023-01-07,1.25523
2023-01-08,1.04602
2023-01-09,14.85355
2023-01-10,14.22594
2023-01-11,12.5523
2023-01-12,11.92468
2023-01-13,10.46025
2023-01-16,13.59832
2023-01-17,15.48117
2023-01-18,13.38912
2023-01-19,7.94979
2023-01-20,12.34309
2023-01-25,15.27196
2023-01-26,17.36401
2023-01-27,13.80753
2023-01-28,1.67364
2023-01-30,16.10878
2023-01-31,12.34309
2023-02-01,13.80753
2023-02-02,15.48117
2023-02-03,18.41004
2023-02-04,2.51046
2023-02-06,24.47698
2023-02-07,14.85355
2023-02-08,21.1297
2023-02-09,19.24686
2023-02-10,17.78242
2023-02-11,3.55648
2023-02-12,1.25523
2023-02-13,15.27196
2023-02-14,18.82845
2023-02-15,15.69037
2023-02-16,15.48117
2023-02-17,24.47698
2023-02-18,1.25523
2023-02-19,1.25523
2023-02-20,24.05857
2023-02-21,19.87447
2023-02-22,16.31799
2023-02-23,17.36401
2023-02-24,18.41004
2023-02-25,1.25523
2023-02-26,2.30125
2023-02-27,25.52301
2023-02-28,26.56903
2023-03-01,4.1841
2023-03-02,20.29288
2023-03-03,18.41004
2023-03-05,1.04602
2023-03-06,22.80334
2023-03-07,16.31799
2023-03-08,15.89958
2023-03-09,17.36401
2023-03-10,18.61924
2023-03-12,3.34728
2023-03-13,22.59414
2023-03-14,15.27196
2023-03-15,14.64435
2023-03-16,12.5523
2023-03-17,10.66945
2023-03-18,1.67364
2023-03-19,2.09205
2023-03-20,21.75732
2023-03-21,13.38912
2023-03-22,15.27196
2023-03-23,16.31799
2023-03-24,18.41004
2023-03-27,18.41004
2023-03-28,16.9456
2023-03-29,13.80753
2023-03-30,14.22594
2023-03-31,17.15481
2023-04-02,1.04602
2023-04-03,19.45606
2023-04-04,17.57322
2023-04-05,16.10878
2023-04-06,21.33891
2023-04-07,19.45606
2023-04-09,1.25523
2023-04-10,20.50209
2023-04-11,23.22175
2023-04-12,16.7364
2023-04-13,17.57322
2023-04-14,21.96652
2023-04-15,1.04602
2023-04-16,1.46443
2023-04-17,19.03765
2023-04-18,15.48117
2023-04-19,16.9456
2023-04-20,17.99163
2023-04-21,18.20083
2023-04-22,1.25523
2023-04-23,1.25523
2023-04-24,16.31799
2023-04-25,19.03765
2023-04-26,21.54811
2023-04-27,18.61924
2023-04-28,21.96652
2023-04-29,4.1841
2023-05-01,9.20502
2023-05-02,26.98744
2023-05-03,26.98744
2023-05-04,18.20083
2023-05-05,1.67364
2023-05-06,1.46443
2023-05-07,6.06694
2023-05-08,25.52301
2023-05-09,18.20083
2023-05-10,20.71129
2023-05-11,21.96652
2023-05-12,17.99163
2023-05-13,2.92887
2023-05-14,2.30125
2023-05-15,17.99163
2023-05-16,12.34309
2023-05-17,14.22594
2023-05-18,13.59832
2023-05-19,14.85355
2023-05-20,1.88284
2023-05-21,1.04602
2023-05-22,15.89958
2023-05-23,15.06276
2023-05-24,14.85355
2023-05-25,16.9456
2023-05-26,17.57322
2023-05-27,1.88284
2023-05-29,1.88284
2023-05-30,26.77824
2023-05-31,24.05857
2023-06-01,19.45606
2023-06-02,17.36401
2023-06-03,1.46443
2023-06-04,1.67364
2023-06-05,19.45606
2023-06-06,2.09205
2023-06-07,24.47698
2023-06-08,21.1297
2023-06-09,15.69037
2023-06-10,1.25523
2023-06-11,1.04602
2023-06-12,19.03765
2023-06-13,19.87447
2023-06-14,21.1297
2023-06-15,22.80334
2023-06-16,23.01255
2023-06-17,3.13807
2023-06-18,2.71966
2023-06-19,45.39748
2023-06-20,64.43514
2023-06-21,100.0
2023-06-22,21.75732
2023-06-23,34.93723
2023-06-24,2.92887
2023-06-25,1.25523
2023-06-26,23.64016
2023-06-27,18.82845
2023-06-28,19.66527
2023-06-29,18.41004
2023-06-30,27.40585
2023-07-01,1.88284
2023-07-02,1.46443
2023-07-03,27.40585
2023-07-04,24.89539
2023-07-05,22.38493
2023-07-06,22.59414
2023-07-07,21.54811
2023-07-08,3.34728
2023-07-09,1.46443
2023-07-10,24.26778
2023-07-11,21.33891
2023-07-12,20.9205
2023-07-13,17.99163
2023-07-14,29.70711
2023-07-15,3.55648
2023-07-16,1.67364
2023-07-17,26.77824
2023-07-18,24.26778
2023-07-19,25.52301
2023-07-20,26.15062
2023-07-21,26.98744
2023-07-22,2.92887
2023-07-23,2.09205
2023-07-24,34.10041
2023-07-25,41.00418
2023-07-26,49.58158
2023-07-27,59.62343
2023-07-28,50.83682
2023-07-29,1.46443
2023-07-30,1.04602
2023-07-31,36.61087
2023-08-01,34.93723
2023-08-02,24.05857
2023-08-03,19.03765
2023-08-04,22.80334
2023-08-05,2.09205
2023-08-06,1.67364
2023-08-07,28.87029
2023-08-08,24.47698
2023-08-09,22.80334
2023-08-10,18.20083
2023-08-11,18.41004
2023-08-12,2.09205
2023-08-13,1.46443
2023-08-14,27.61506
2023-08-15,3.55648
2023-08-16,26.77824
2023-08-17,25.52301
2023-08-18,23.64016
2023-08-19,1.46443
2023-08-20,1.04602
2023-08-21,24.26778
2023-08-22,19.66527
2023-08-23,19.03765
2023-08-24,17.15481
2023-08-25,19.45606
2023-08-27,2.30125
2023-08-28,24.47698
2023-08-29,20.08368
2023-08-30,24.05857
2023-08-31,20.71129
2023-09-01,22.38493
2023-09-02,2.92887
2023-09-03,1.46443
2023-09-04,29.70711
2023-09-05,28.87029
2023-09-06,21.54811
2023-09-07,19.24686
2023-09-08,21.75732
2023-09-09,1.46443
2023-09-10,2.09205
2023-09-11,25.73221
2023-09-12,23.64016
2023-09-13,14.85355
2023-09-14,18.20083
2023-09-15,21.96652
2023-09-16,1.67364
2023-09-18,21.33891
2023-09-19,22.80334
2023-09-20,23.84937
2023-09-21,37.44769
2023-09-22,45.81589
2023-09-23,1.67364
2023-09-24,2.51046
2023-09-25,23.01255
2023-09-26,20.29288
2023-09-27,16.52719
2023-09-28,1.04602
2023-09-29,1.67364
2023-09-30,1.25523
2023-10-02,2.30125
2023-10-04,26.98744
2023-10-05,25.52301
2023-10-06,20.08368
2023-10-07,1.67364
2023-10-09,2.09205
2023-10-10,25.94142
2023-10-11,23.84937
2023-10-12,22.80334
2023-10-13,20.71129
2023-10-14,1.88284
2023-10-16,21.96652
2023-10-17,19.24686
2023-10-18,13.17991
2023-10-19,19.03765
2023-10-20,25.73221
2023-10-21,1.25523
2023-10-23,43.51464
2023-10-24,53.55648
2023-10-25,20.9205
2023-10-26,24.26778
2023-10-27,19.03765
2023-10-29,1.46443
2023-10-30,21.1297
2023-10-31,19.87447
2023-11-01,25.94142
2023-11-02,23.22175
2023-11-03,25.1046
2023-11-04,1.67364
2023-11-05,3.55648
2023-11-06,34.72803
2023-11-07,31.79916
2023-11-08,30.96234
2023-11-09,32.42677
2023-11-10,18.41004
2023-11-11,1.04602
2023-11-12,1.25523
2023-11-13,21.54811
2023-11-14,26.77824
2023-11-15,21.54811
2023-11-16,23.43096
2023-11-17,19.87447
2023-11-19,1.04602
2023-11-20,20.9205
2023-11-21,25.3138
2023-11-22,16.7364
2023-11-23,23.43096
2023-11-24,20.71129
2023-11-26,3.13807
2023-11-27,23.43096
2023-11-28,23.64016
2023-11-29,20.71129
2023-11-30,23.43096
2023-12-01,22.17573
2023-12-02,3.97489
2023-12-03,2.30125
2023-12-04,36.40167
2023-12-05,25.52301
2023-12-06,27.61506
2023-12-07,17.57322
2023-12-08,24.05857
2023-12-09,2.92887
2023-12-10,2.51046
2023-12-11,28.24267
2023-12-12,27.19665
2023-12-13,25.3138
2023-12-14,48.32635
2023-12-15,65.89958
2023-12-16,2.30125
2023-12-17,2.71966
2023-12-18,34.30962
2023-12-19,35.14644
2023-12-20,25.52301
2023-12-21,32.42677
2023-12-22,30.12552
2023-12-23,1.67364
2023-12-24,1.46443
2023-12-25,3.55648
2023-12-26,47.07112
2023-12-27,40.79497
2023-12-28,44.56066
2023-12-29,32.21757
2023-12-30,1.88284
2023-12-31,1.46443
2024-01-01,1.46443
2024-01-02,39.74895
2024-01-03,30.12552
2024-01-04,20.50209
2024-01-05,26.15062
2024-01-06,2.71966
2024-01-07,1.04602
2024-01-08,22.17573
2024-01-09,19.66527
2024-01-10,21.75732
2024-01-11,21.75732
2024-01-12,28.24267
2024-01-13,2.71966
2024-01-14,2.30125
2024-01-15,32.00836
2024-01-16,41.841
2024-01-17,49.58158
2024-01-18,28.87029
2024-01-19,31.58995
2024-01-20,1.25523
2024-01-21,2.71966
2024-01-22,30.75313
2024-01-23,24.89539
2024-01-24,27.61506
2024-01-25,30.96234
2024-01-26,30.12552
2024-01-27,4.1841
2024-01-28,1.88284
2024-01-29,38.28451
2024-01-30,30.12552
2024-01-31,25.94142
2024-02-01,28.24267
2024-02-02,31.38075
2024-02-03,1.46443
2024-02-04,1.46443
2024-02-05,35.56485
2024-02-06,25.1046
2024-02-07,23.22175
2024-02-08,27.40585
2024-02-09,2.51046
2024-02-10,1.25523
2024-02-11,1.04602
2024-02-12,3.76569
2024-02-13,74.68619
2024-02-14,76.98744
2024-02-15,34.72803
2024-02-16,37.23849
2024-02-17,3.34728
2024-02-18,1.88284
2024-02-19,41.841
2024-02-20,36.82008
2024-02-21,35.35564
2024-02-22,38.91213
2024-02-23,36.82008
2024-02-24,3.76569
