date,채권ETF
2023-04-10,35.64875
2023-04-11,47.83748
2023-04-12,44.56094
2023-04-13,38.79423
2023-04-14,40.23591
2023-04-15,28.83355
2023-04-16,46.52686
2023-04-17,44.42988
2023-04-18,43.38138
2023-04-19,37.48361
2023-04-20,32.89646
2023-04-21,32.76539
2023-04-22,19.92136
2023-04-23,19.92136
2023-04-24,28.70249
2023-04-25,24.24639
2023-04-26,23.85321
2023-04-27,30.14416
2023-04-28,17.95543
2023-04-29,16.77588
2023-04-30,12.58191
2023-05-01,15.3342
2023-05-02,29.75098
2023-05-03,26.99868
2023-05-04,24.63958
2023-05-05,14.15465
2023-05-06,19.00393
2023-05-07,14.54783
2023-05-08,26.6055
2023-05-09,22.67365
2023-05-10,21.23197
2023-05-11,17.56225
2023-05-12,17.43119
2023-05-13,11.9266
2023-05-14,10.74705
2023-05-15,18.34862
2023-05-16,17.69331
2023-05-17,16.12057
2023-05-18,19.13499
2023-05-19,19.00393
2023-05-20,9.69855
2023-05-21,15.72739
2023-05-22,22.41153
2023-05-23,20.83879
2023-05-24,23.06684
2023-05-25,18.7418
2023-05-26,22.54259
2023-05-27,11.40235
